race_id,election_date,state_code,office,jurisdiction,endorsed_candidates,non_person_ballot_options,other_candidates,source_reviewed_candidates,unreviewed_candidates,comparison_count,documented_topics,policy_comparison_count,campaign_frame_comparison_count,agenda_comparison_count,unspecified_comparison_count,paired_evidence_types,agreements,differences_and_emphases,study_status,completeness,identity_review_alert,identity_review_notes
national-recihG0fIKbvStGIg-dem-primary,2023-05-16,PA,"Pittsburgh City Council, District 7",City of Pittsburgh / Allegheny County,Deb Gross,,Jordan Botta,Deb Gross | Jordan Botta,,4,housing | justice_and_public_safety,4,0,0,0,policy_position,"[{""pair"": ""Deb Gross / Jordan Botta"", ""analysis"": ""Both support public housing. Gross emphasizes expanding public and collective ownership; Botta specifies short- and medium-term public housing with other tenant measures. Shared support does not imply identical delivery models."", ""comparison_id"": ""pa23-gross-botta-public-housing""}, {""pair"": ""Deb Gross / Jordan Botta"", ""analysis"": ""Both support inclusionary zoning. Gross invokes neighborhood mandates and says the tool is insufficient alone; Botta calls for citywide coverage. No Gross opposition to expansion is inferred."", ""comparison_id"": ""pa23-gross-botta-inclusionary""}, {""pair"": ""Deb Gross / Jordan Botta"", ""analysis"": ""Both support public investment in youth and community services as violence prevention, while naming different programs and levels of funding."", ""comparison_id"": ""pa23-gross-botta-youth""}]","[{""pair"": ""Deb Gross / Jordan Botta"", ""relationship"": ""different_mechanism"", ""analysis"": ""Gross proposes civilianizing duties that need not be done by officers; Botta emphasizes staffing, retention, pay and wellness. These measures can coexist and neither answer establishes opposition to every other intervention."", ""comparison_id"": ""pa23-gross-botta-police""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
national-recxFBpmHW4uAhpHQ-dem-primary,2021-09-14,CT,"Legislative Council, Hamden District 5",Hamden,Justin Farmer,,,,Justin Farmer,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-recz9WOUNjTC3V34x-dem-primary,2026-06-02,NJ,"Plainfield City Council, Ward 1",Plainfield,Meg Anandarangam,,Robert Graham | Yasmin Griffin,Meg Anandarangam,Robert Graham | Yasmin Griffin,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
nyc-mayor-dem-primary-2025,2025-06-24,NY,Mayor,New York City,Zohran Mamdani,,Adrienne E. Adams | Andrew M. Cuomo | Brad Lander | Jessica Ramos | Michael Blake | Paperboy Love Prince | Scott M. Stringer | Selma K. Bartholomew | Whitney R. Tilson | Zellnor Myrie,,Adrienne E. Adams | Andrew M. Cuomo | Brad Lander | Jessica Ramos | Michael Blake | Paperboy Love Prince | Scott M. Stringer | Selma K. Bartholomew | Whitney R. Tilson | Zellnor Myrie | Zohran Mamdani,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0159b30b2abfcca8ea6b,2025-06-24,NY,City Council,District 38,Alexa Avilés,,Ling Ye,Alexa Avilés | Ling Ye,,1,housing,1,0,0,0,policy_position,[],"[{""pair"": ""Alexa Avilés / Ling Ye"", ""relationship"": ""different_strategy"", ""analysis"": ""Both address housing supply and affordability. Avilés emphasizes public investment, preservation, and tenant protections; Ye emphasizes developer incentives. Neither excerpt establishes opposition to the other mechanism."", ""comparison_id"": ""cmp-hd-25-ling-ye""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-017fe96eb07366f790ea,2024-06-25,NY,State Assembly,District 56,Eon Tyrell Huntley,,Stefani L. Zinerman,Eon Tyrell Huntley | Stefani L. Zinerman,,1,housing,1,0,0,0,policy_position,"[{""pair"": ""Eon Tyrell Huntley / Stefani L. Zinerman"", ""analysis"": ""Both explicitly commit to protecting tenants. Zinerman supplies a particular receivership/repair mechanism; Huntley's short statement does not specify the same mechanism. Their campaign-finance conflict does not establish opposing tenant-protection goals."", ""comparison_id"": ""ny24-huntley-zinerman-tenants""}]",[],paired_reviewed_evidence,not_a_complete_platform_census,,
race-0218abea5bd67b0db8de,2024-06-11,NV,State Assembly,District 10,Valerie Thomason,,Kyle Greenwood | Venise L. Karris,,Kyle Greenwood | Valerie Thomason | Venise L. Karris,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0237c4a27ae65d01b793,2024-06-04,DC,City Council,Ward 4,Janeese Lewis George,,Lisa Gore | Paul Johnson,,Janeese Lewis George | Lisa Gore | Paul Johnson,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0238993b2ccb424dc347,2026-08-04,MI,US House,District 12,Rashida Tlaib,,Byron H. Nolen | Shanelle Jackson,Byron H. Nolen | Rashida Tlaib | Shanelle Jackson,,2,civil_rights | immigration,2,0,0,0,policy_position,"[{""pair"": ""Rashida Tlaib / Byron H. Nolen"", ""analysis"": ""Both excerpts support access to abortion care and personal reproductive choice. Tlaib's campaign states the policy as abortion access; Nolen frames it as bodily autonomy. This comparison does not impute positions on other reproductive-health mechanisms."", ""comparison_id"": ""cmp-mi12-abortion-access""}]","[{""pair"": ""Rashida Tlaib / Shanelle Jackson"", ""relationship"": ""different_strategy"", ""analysis"": ""Tlaib's campaign calls for abolishing and defunding ICE, while Jackson's campaign calls for reform, oversight, and accountability within ICE. Jackson's excerpt does not explicitly oppose abolition, so this is classified as a different institutional strategy rather than an explicit disagreement."", ""comparison_id"": ""cmp-mi12-ice-strategy""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-026beb7df1654b4ca5c4,2018-06-12,NV,District Attorney,Clark County,Robert L. Langford,,Steve Wolfson,Robert L. Langford | Steve Wolfson,,4,campaign_strategy_and_framing | justice_and_public_safety,3,1,0,0,campaign_frame | policy_position,"[{""pair"": ""Robert L. Langford / Steve Wolfson"", ""analysis"": ""Both say defendants who present neither flight risk nor danger should be released. This agreement in stated criteria does not establish identical bail procedures."", ""comparison_id"": ""f2-langford-wolfson-pretrial""}]","[{""pair"": ""Robert L. Langford / Steve Wolfson"", ""relationship"": ""different_emphasis"", ""analysis"": ""Langford foregrounds cash bail's burden on poor defendants; Wolfson prefers risk-assessment reform and is unsure about complete abolition. Both acknowledge problems with detention driven by inability to pay."", ""comparison_id"": ""f2-langford-wolfson-bail""}, {""pair"": ""Robert L. Langford / Steve Wolfson"", ""relationship"": ""different_emphasis"", ""analysis"": ""Langford foregrounds the opportunity cost of capital litigation and redirecting resources; Wolfson foregrounds preserving the jury's option. Langford is not inaccurately coded as pledging blanket abolition."", ""comparison_id"": ""f2-langford-wolfson-capital""}, {""pair"": ""Robert L. Langford / Steve Wolfson"", ""relationship"": ""different_emphasis"", ""analysis"": ""Langford emphasizes examining institutional bias; Wolfson acknowledges slow, reactive reform. Neither is presented as saying that no systemic changes are needed."", ""comparison_id"": ""f2-langford-wolfson-reform""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-02c4c65549e1b95a5ad9,2021-05-18,PA,City Council At-Large,Allentown,Erik Rodriguez | Natalie Santos | Patrick Palmer,,Cynthia Mota | Daryl L Hendricks | Ed Zucal | Justan Fields | Santo Napoli | Tino Babayan,,Cynthia Mota | Daryl L Hendricks | Ed Zucal | Erik Rodriguez | Justan Fields | Natalie Santos | Patrick Palmer | Santo Napoli | Tino Babayan,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0371ba58189e203d8e3e,2020-06-23,NY,State Assembly,District 149,Adam L. Bojak,,Jonathan D. Rivera | Robert Quintana,,Adam L. Bojak | Jonathan D. Rivera | Robert Quintana,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-04cb327196963b09ba9f,2021-06-22,NY,Common Council,Albany Ward 6,Gabriella A. Romero,,Jeffrey D. Mayo | Richard-Olivier Marius | Susan M. Pedo,,Gabriella A. Romero | Jeffrey D. Mayo | Richard-Olivier Marius | Susan M. Pedo,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-05835d3a049b0be0e256,2020-09-15,DE,City Council,Wilmington District 1,Coby Owens,,"Albert ""Al"" Mills | Karen ""Butter"" Flowers | Linda Gray",,"Albert ""Al"" Mills | Coby Owens | Karen ""Butter"" Flowers | Linda Gray",0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-05c887ffae75d010ea4d,2024-08-06,MI,State Representative,District 26,Dylan Wegela,,DeArtriss Coleman-Richardson,,DeArtriss Coleman-Richardson | Dylan Wegela,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0650530eb5458097dae5,2021-08-03,OH,US House,District 11,Nina Turner,,Isaac Powell | James Jerome Bell | Jeff Johnson | John E. Barnes Jr. | Lateek Shabazz | Martin Alexander | Pamela M. Pinkney | Seth J. Corey | Shirley Smith | Shontel Brown | Tariq K. Shabazz | Will Knight,Jeff Johnson | John E. Barnes Jr. | Nina Turner | Shirley Smith | Shontel Brown,Isaac Powell | James Jerome Bell | Lateek Shabazz | Martin Alexander | Pamela M. Pinkney | Seth J. Corey | Tariq K. Shabazz | Will Knight,10,foreign_policy,10,0,0,0,policy_position,"[{""pair"": ""Nina Turner / Shontel Brown"", ""analysis"": ""Both explicitly support a negotiated two-state solution, despite differing answers on aid policy."", ""comparison_id"": ""oh21-turner-brown-two-state""}, {""pair"": ""Nina Turner / Jeff Johnson"", ""analysis"": ""Both support two states and mutual peace and security; this does not establish identical negotiating terms."", ""comparison_id"": ""oh21-turner-johnson-two-state""}, {""pair"": ""Nina Turner / John E. Barnes Jr."", ""analysis"": ""Both explicitly support two states through negotiation and security for both peoples."", ""comparison_id"": ""oh21-turner-barnes-two-state""}]","[{""pair"": ""Nina Turner / Shontel Brown"", ""relationship"": ""different_scope"", ""analysis"": ""Turner excludes funding for specified occupation and annexation activities while supporting legitimate security assistance; Brown rejects outcome-linked aid conditions. This identifies differing stated limits, not a claim that either opposes all aid or supports every possible use."", ""comparison_id"": ""oh21-turner-brown-aid""}, {""pair"": ""Nina Turner / Jeff Johnson"", ""relationship"": ""different_scope"", ""analysis"": ""Turner specifies prohibited aid uses; Johnson rejects conditions but calls for diplomacy discouraging uses contrary to a two-state solution. Their stated enforcement approaches differ without proving opposite views on every underlying activity."", ""comparison_id"": ""oh21-turner-johnson-aid""}, {""pair"": ""Nina Turner / John E. Barnes Jr."", ""relationship"": ""different_scope"", ""analysis"": ""Turner names human-rights limits on aid uses; Barnes rejects conditions tied to specific results. Both support assistance and diplomacy, so the distinction is not blanket support versus opposition to Israel."", ""comparison_id"": ""oh21-turner-barnes-aid""}, {""pair"": ""Nina Turner / Shirley Smith"", ""relationship"": ""different_scope"", ""analysis"": ""Turner grounds aid restrictions in specified human-rights concerns; Smith permits conditions only while protecting U.S. strategic power and the alliance. Those are different stated qualifications, not evidence that all other commitments conflict."", ""comparison_id"": ""oh21-turner-smith-aid""}, {""pair"": ""Nina Turner / Shontel Brown"", ""relationship"": ""different_strategy"", ""analysis"": ""Turner favors reentering the existing deal before building on it; Brown emphasizes obtaining a longer, stronger agreement with additional provisions. Both favor diplomacy, but the stated sequence and conditions differ."", ""comparison_id"": ""oh21-turner-brown-iran""}, {""pair"": ""Nina Turner / Jeff Johnson"", ""relationship"": ""different_scope"", ""analysis"": ""Both favor returning to nuclear diplomacy; Johnson explicitly emphasizes strict compliance and sanctions, while Turner emphasizes restoring credibility and building on reentry."", ""comparison_id"": ""oh21-turner-johnson-iran""}, {""pair"": ""Nina Turner / Shirley Smith"", ""relationship"": ""different_scope"", ""analysis"": ""Both support reentry, with Smith explicitly requiring adherence to limits and inspections. The selected Turner answer does not establish opposition to those safeguards."", ""comparison_id"": ""oh21-turner-smith-iran""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-0737ecc067d5cc0799e8,2018-03-06,TX,"U.S. House, Texas District 2","U.S. House, Texas District 2",Ali Khorasani,,Hamid Parvizian | Jimmy Jones | Silky Malik | Todd Litton,Ali Khorasani | Jimmy Jones | Silky Malik | Todd Litton,Hamid Parvizian,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
race-0b648ab38046db8ff140,2021-06-22,NY,County Legislature,Ulster County District 6,Phil Erner,,David Donaldson,,David Donaldson | Phil Erner,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0b902d615156cfc70e34,2026-06-16,DC,City Council,Ward 1,Aparna Raj,,Jackie Reyes Yanes | Miguel Trindade Deramo | Rashida Brown | Terry Lynch,Aparna Raj | Jackie Reyes Yanes | Miguel Trindade Deramo | Rashida Brown | Terry Lynch,,4,housing,4,0,0,0,policy_position,[],"[{""pair"": ""Aparna Raj / Jackie Reyes Yanes"", ""relationship"": ""different_emphasis"", ""analysis"": ""Raj combines new supply with renter and homeowner protections; Reyes Yanes emphasizes preserving and expanding affordability for existing residents."", ""comparison_id"": ""cmp-hb06-raj-reyes-housing""}, {""pair"": ""Aparna Raj / Miguel Trindade Deramo"", ""relationship"": ""different_emphasis"", ""analysis"": ""Both support adding housing and preserving affordability, with Raj emphasizing renter protections and Deramo emphasizing that access requires additional homes."", ""comparison_id"": ""cmp-hb06-raj-deramo-housing""}, {""pair"": ""Aparna Raj / Rashida Brown"", ""relationship"": ""different_strategy"", ""analysis"": ""Raj emphasizes citywide supply and tenant protections; Brown emphasizes Comprehensive Plan changes and rental/home-purchase assistance."", ""comparison_id"": ""cmp-hb06-raj-brown-housing""}, {""pair"": ""Aparna Raj / Terry Lynch"", ""relationship"": ""different_strategy"", ""analysis"": ""Raj emphasizes broad supply and protections; Lynch emphasizes closing rent-control loopholes and reusing vacant properties. No opposition to either approach is inferred."", ""comparison_id"": ""cmp-hb06-raj-lynch-housing""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-0de2ddb13df7ec856a27,2021-06-22,NY,City Council,Poughkeepsie At-Large,Sarah Salem,,Chris Petsas | Da’Ron Wilson,,Chris Petsas | Da’Ron Wilson | Sarah Salem,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0deb7056246c06a2c331,2026-03-17,IL,State Senate,District 33,Satnaam Mago,,,Satnaam Mago,,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
race-0defc60b6d18a763a9a6,2019-06-11,VA,City Council,Charlottesville At-Large,Michael Keith Payne,,"Brian Russell Pinkston | John Lloyd Snook, III | Robert Francis Fenwick, Jr. | Sena Amelia Magill",,"Brian Russell Pinkston | John Lloyd Snook, III | Michael Keith Payne | Robert Francis Fenwick, Jr. | Sena Amelia Magill",0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0efcfaf846114fe67a11,2023-09-12,CT,Legislative Council At-Large,Hamden,Laurie Sweet,,Dominique Baez | Katie Kiely | Larry P. Zackery | Melinda L. Saller | Reginald D. Lytle | Steven L. Boddie | Tasha M. Hunt,,Dominique Baez | Katie Kiely | Larry P. Zackery | Laurie Sweet | Melinda L. Saller | Reginald D. Lytle | Steven L. Boddie | Tasha M. Hunt,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-0f0734c608b02353f3cf,2016-09-08,MA,State Representative 26th Middlesex District,Massachusetts 26th Middlesex District,Mike Connolly,,"Timothy J. Toomey, Jr.","Mike Connolly | Timothy J. Toomey, Jr.",,5,education | justice_and_public_safety | public_health | tax_budget | transportation,5,0,0,0,policy_position,"[{""pair"": ""Mike Connolly / Timothy J. Toomey, Jr."", ""analysis"": ""Both candidates support completing the Green Line Extension. Connolly frames it as an overdue mandate; Toomey emphasizes ensuring completion."", ""comparison_id"": ""cmp-hb01-green-line""}, {""pair"": ""Mike Connolly / Timothy J. Toomey, Jr."", ""analysis"": ""Both support the Fair Share Amendment increasing taxes on millionaires."", ""comparison_id"": ""cmp-hb01-millionaire-tax""}, {""pair"": ""Mike Connolly / Timothy J. Toomey, Jr."", ""analysis"": ""Both oppose the2016 charter-cap ballot measure. Their dispute over past consistency does not turn their stated current ballot positions into opposites."", ""comparison_id"": ""ma16-connolly-toomey-charters""}, {""pair"": ""Mike Connolly / Timothy J. Toomey, Jr."", ""analysis"": ""Both support public investment in opioid treatment, with differing additional measures and accounts of their records."", ""comparison_id"": ""ma16-connolly-toomey-treatment""}]","[{""pair"": ""Mike Connolly / Timothy J. Toomey, Jr."", ""relationship"": ""explicit_disagreement"", ""analysis"": ""Connolly supports the recreational-legalization measure; Toomey opposes it at that time while supporting prior decriminalization and medical measures, and pledging to implement the voters' decision."", ""comparison_id"": ""ma16-connolly-toomey-cannabis""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-0f831c1823a5528f7bf6,2020-09-15,DE,State House,District 27,Eric A. Morrison,,Earl Jaques,,Earl Jaques | Eric A. Morrison,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-1018572bbe0d5cb327c4,2025-06-24,NY,Mayor,Rochester,Mary Lupien,,Malik D Evans | Shashi Ranjan Sinha,Malik D Evans | Mary Lupien | Shashi Ranjan Sinha,,2,food_agriculture,2,0,0,0,policy_position,"[{""pair"": ""Mary Lupien / Malik D Evans"", ""analysis"": ""Both support city assistance for community gardens. Lupien proposes broader budgeting, zoning and land protections; Evans points to existing material support. Brevity is not evidence of opposition to additional measures."", ""comparison_id"": ""roc25-lupien-evans-garden-support""}, {""pair"": ""Mary Lupien / Shashi Ranjan Sinha"", ""analysis"": ""Both propose city land, zoning and resource support for community gardens. The answers differ in implementation detail without establishing conflicting policy goals."", ""comparison_id"": ""roc25-lupien-sinha-garden-support""}]",[],paired_reviewed_evidence,not_a_complete_platform_census,,
race-113c05b3c91fa4d614bf,2018-09-13,NY,Lieutenant Governor,Statewide,Jumaane Williams,,Kathy C. Hochul,Jumaane Williams | Kathy C. Hochul,,1,reproductive_rights,1,0,0,0,policy_position,"[{""pair"": ""Jumaane Williams / Kathy C. Hochul"", ""analysis"": ""Both affirm reproductive-health access. Williams specifies codifying Roe in state law; Hochul emphasizes protecting access and the administration's record. The overlap does not establish identical legislative commitments."", ""comparison_id"": ""ny18-williams-hochul-reproductive-access""}]",[],paired_reviewed_evidence,not_a_complete_platform_census,,
race-118f532f469a0fced428,2021-05-18,PA,Magisterial District Judge,Magisterial District 05-3-10,Xander Orenstein,,Anthony Ceoffe,,Anthony Ceoffe | Xander Orenstein,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-11b2afab91d000318469,2022-08-23,NY,State Senate,District 21,David Alexis,,Kaegan Marie Mays-Williams | Kevin S. Parker,David Alexis | Kaegan Marie Mays-Williams,Kevin S. Parker,6,campaign_strategy_and_framing | healthcare | housing | justice_and_public_safety,5,1,0,0,campaign_frame | policy_position,"[{""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""analysis"": ""Both explicitly support single payer through the New York Health Act. Mays-Williams's support must not be inferred away from her former-prosecutor background or her separate parole qualifications."", ""comparison_id"": ""ny22-alexis-mays-health""}, {""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""analysis"": ""Both support co-sponsoring Good Cause Eviction protections. Mays-Williams's short affirmative is bound to the specific preceding question."", ""comparison_id"": ""ny22-alexis-mays-good-cause""}, {""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""analysis"": ""Both prefer ending421a. Alexis separately describes stronger conditions as a fallback if repeal cannot pass; the shared preferred position does not erase that legislative qualification."", ""comparison_id"": ""ny22-alexis-mays-421a""}, {""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""analysis"": ""Both favor full sex-work decriminalization and oppose the Nordic model in their own explanatory answers."", ""comparison_id"": ""ny22-alexis-mays-sex-work""}]","[{""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""relationship"": ""different_scope"", ""analysis"": ""Alexis commits to co-sponsoring Fair and Timely Parole; Mays-Williams is unsure about the bill as written and seeks amendments. Her qualified answer is not categorical opposition to parole or rehabilitation."", ""comparison_id"": ""ny22-alexis-mays-parole""}, {""pair"": ""David Alexis / Kaegan Marie Mays-Williams"", ""relationship"": ""different_emphasis"", ""analysis"": ""Alexis organizes his lead priorities around housing, healthcare and climate; Mays-Williams around gun-violence prevention, childcare and food security. Their policy overlap, including healthcare and tenant protections, remains explicit."", ""comparison_id"": ""ny22-alexis-mays-priorities""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-1222367a071612c7736a,2021-06-22,NY,City Council,District 38,Alexa Aviles,,Cesar Zuniga | Jacqui Painter | Rodrigo G. Camarena | Victor Swinton | Yu Lin,Alexa Aviles | Jacqui Painter | Rodrigo G. Camarena,Cesar Zuniga | Victor Swinton | Yu Lin,2,housing,2,0,0,0,policy_position,"[{""pair"": ""Alexa Aviles / Jacqui Painter"", ""analysis"": ""Both support expanding affordable housing and strengthening public housing. Aviles specifies renter and small-homeowner recovery, protecting public housing, and affordable construction; Painter specifies fully funding and repairing NYCHA housing and creating 100% affordable housing. The shared claim is grounded in these full-answer mechanisms, not only housing-right framing."", ""comparison_id"": ""cmp-hf-d38-aviles-painter-housing""}, {""pair"": ""Alexa Aviles / Rodrigo G. Camarena"", ""analysis"": ""Both support expanding affordable housing and strengthening NYCHA. Aviles specifies renter recovery, public-housing protection, and affordable construction; Camarena specifies full NYCHA funding plus permanently affordable, supportive, and cooperative housing. The overlap is concrete public/affordable-housing investment, with different additional mechanisms."", ""comparison_id"": ""cmp-hf-d38-aviles-camarena-housing""}]",[],paired_reviewed_evidence,not_a_complete_platform_census,,
race-126843eb8d9937b28ff1,2018-03-06,TX,US House,Congressional District 23,Rick Treviño,,"Angela ""Angie"" Villescaz | Gina Ortiz Jones | Jay Hulings | Judy Canales",,"Angela ""Angie"" Villescaz | Gina Ortiz Jones | Jay Hulings | Judy Canales | Rick Treviño",0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-145ef0f5b3eee7d39938,2018-06-05,MS,US Senate,Statewide,Jensen Bohren,,"David Baria | Howard Sherman | Jerone Garland | Omeria Scott | Victor G. Maurice, Jr.","David Baria | Howard Sherman | Jensen Bohren | Jerone Garland | Victor G. Maurice, Jr.",Omeria Scott,4,campaign_strategy_and_framing | healthcare,2,2,0,0,campaign_frame | policy_position,"[{""pair"": ""Jensen Bohren / David Baria"", ""analysis"": ""Both state a healthcare-for-all goal. Bohren specifies single payer; Baria's broader answer does not establish the same financing mechanism or an opposing one."", ""comparison_id"": ""ms18-bohren-baria-health""}]","[{""pair"": ""Jensen Bohren / Howard Sherman"", ""relationship"": ""different_mechanism"", ""analysis"": ""Bohren names single-payer financing; Sherman names Medicaid expansion and changes in care delivery. The proposals differ, but Sherman does not explicitly reject single payer in this answer."", ""comparison_id"": ""ms18-bohren-sherman-health""}, {""pair"": ""Jensen Bohren / David Baria"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bohren emphasizes a left platform and mobilizing overlooked voters; Baria emphasizes legislative experience, business knowledge and social justice. This is stated campaign framing, not a measure of actual effectiveness."", ""comparison_id"": ""ms18-bohren-baria-strategy""}, {""pair"": ""Jensen Bohren / Howard Sherman"", ""relationship"": ""different_strategy"", ""analysis"": ""Bohren argues against a centrist strategy aimed at Republican crossover voters; Sherman foregrounds cross-aisle work and private-sector problem-solving. Their actual words establish the contrast without inferring it from their occupations alone."", ""comparison_id"": ""ms18-bohren-sherman-strategy""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
