excerpt_id,speaker,race_id,election_date,topic,quote,source_url,publication_date,quote_match_locators,source_sha256,reviewed,review_method,representation_kind,representation_review_notes,document_id,role,subtopic,stance,short_exact_quote,locator,notes,canonical_speaker,review_notes,archive_url,capture_date,temporal_evidence_date,ballot_name,ballot_party,identity_resolution,identity_evidence_ids,identity_review_notes,identity_source_ids,identity_evidence_type,comparison_scope,election_timing,timing_status,evidence_status,source_id,metadata_document_id,attribution_notes,election_identity_status,source_status,source_type,metadata_publication_date,publication_month,available_by_date,source_updated_date,version_timing_qualification,candidate_scoped_locators,identity_caveat,official_election_source,official_election_source_status,certified_opponents_status,replaced_source_document_id,candidate_document_registration,source_speaker,identity_review,claim_summary,answer_context,identity_evidence_document_ids
ex-pa03-griffith-healthcare-right,Shaun Griffith,race-95a691a9cb8491b42328,2026-05-19,healthcare,Healthcare is a human right,https://griffithforcongress.org/,,paragraph 38 | paragraph 50,db659e630e73ead99952cf0e9c3973476332c7b735974849050f9bcc7a8fab90,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",pa03-shaun-griffith-rendered,opponent_candidate,healthcare_as_right,support,Healthcare is a human right,Healthcare for All priority card in visible rendered campaign DOM,"Current campaign-authored text, not a transcription of the linked video. Pre-primary version and publication time remain unverified.",Shaun Griffith,"Assistant source review; Current campaign-authored text, not a transcription of the linked video. Pre-primary version and publication time remain unverified.",,,,SHAUN D GRIFFITH,Democratic,accepted_contextual_official_alias,pa03-cbs-affordability-20260513 | pa03-shaun-griffith-rendered,"Explicit contextual mapping of the canonical display name to the unique same-race Democratic ballot candidate. CBS identifies tax attorney Shaun Griffith in the 2026 PA-03 field; his campaign identifies the same office. These sources omit middle initial D, so this is not direct full-legal-name proof or a fuzzy automatic merge.",pa-2026-primary-precinct-returns,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-chris-single-payer,Chris Espinosa,race-76c7cbb9d6b99bc5d802,2026-06-02,healthcare,I support universal coverage through a Medicare for All–style system,https://www.espinosaforcongress.com/issues,,paragraph 31,d131e0671fd0bd2b60bdc5d1c46ae0dcb0719ce0de224f3a535158374a56e707,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-chris-issues-20260603205553,endorsed_candidate,single_payer,support,I support universal coverage through a Medicare for All–style system,"Healthcare for All section, opening platform sentence",First-person campaign platform statement. Archive timing is post-primary and therefore timing-unverified.,Chris Espinosa,Assistant source review; First-person campaign platform statement. Archive timing is post-primary and therefore timing-unverified.,https://web.archive.org/web/20260603205553id_/https://www.espinosaforcongress.com/issues,2026-06-03,,Chris Espinosa,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-sasan-single-payer,Sasan Samadzadeh,race-76c7cbb9d6b99bc5d802,2026-06-02,healthcare,Fight for Medicare for All — a single-payer system,https://sasansamadzadeh.org/,,paragraph 48,07d471e5894a5f1529420edb0845b57cfad43d9350a86d828b8a2c72160dd560,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-sasan-platform-current,opponent_candidate,single_payer,support,Fight for Medicare for All — a single-payer system,"Healthcare platform, fifth bullet",Candidate-controlled platform text; publication and pre-primary timing are unresolved.,Sasan Samadzadeh,Assistant source review; Candidate-controlled platform text; publication and pre-primary timing are unresolved.,,,,Sasan Samadzadeh,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-chris-renewable-energy,Chris Espinosa,race-76c7cbb9d6b99bc5d802,2026-06-02,climate,"Accelerate a just transition to a clean energy, pollution-free economy",https://www.espinosaforcongress.com/issues,,paragraph 59,d131e0671fd0bd2b60bdc5d1c46ae0dcb0719ce0de224f3a535158374a56e707,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-chris-issues-20260603205553,endorsed_candidate,renewable_energy_transition,support,"Accelerate a just transition to a clean energy, pollution-free economy","Climate & Environmental Justice section, second policy bullet",Campaign platform statement; archive timing is post-primary and therefore timing-unverified.,Chris Espinosa,Assistant source review; Campaign platform statement; archive timing is post-primary and therefore timing-unverified.,https://web.archive.org/web/20260603205553id_/https://www.espinosaforcongress.com/issues,2026-06-03,,Chris Espinosa,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-jacqui-renewable-energy,Jacqui Irwin,race-76c7cbb9d6b99bc5d802,2026-06-02,climate,Supports the acceleration of renewable energy goals and planning,https://jacquiirwin.com/champion-for-our-environment,,paragraph 33,91ee83259d86a903c6a27283ff77a7d27c9d85b1f897c5d09c28d2cce11014e2,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-jacqui-climate-current,opponent_candidate,renewable_energy_transition,support,Supports the acceleration of renewable energy goals and planning,"Champion for Our Environment, third record bullet",Campaign-authored candidate record statement; publication and pre-primary timing are unresolved.,Jacqui Irwin,Assistant source review; Campaign-authored candidate record statement; publication and pre-primary timing are unresolved.,,,,Jacqui Irwin,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-chris-ssfl-cleanup,Chris Espinosa,race-76c7cbb9d6b99bc5d802,2026-06-02,environment,A complete “Background” cleanup to remove all man-made contamination or equivalent,https://parentsagainstssfl.com/vote,,paragraph 133 | paragraph 158 | paragraph 173 | paragraph 191 | paragraph 206 | paragraph 226 | paragraph 244 | paragraph 261 | paragraph 279,5b3b08ebad6e45392fe6ab74471e74351ded03423374bc673cd21cfd4029133c,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-ssfl-candidate-survey-current,endorsed_candidate,ssfl_complete_background_cleanup,support,A complete “Background” cleanup to remove all man-made contamination or equivalent,"Chris Espinosa, District CA-26 section; answer to cleanup-position question","Candidate-submitted survey answer. In the labeled Chris Espinosa, District CA-26 section, this text follows the question asking which statement best describes his cleanup position and is prefixed as the selected answer, not merely displayed option text. The source date and pre-primary text version are unresolved.",Chris Espinosa,"Assistant source review; Candidate-submitted survey answer. In the labeled Chris Espinosa, District CA-26 section, this text follows the question asking which statement best describes his cleanup position and is prefixed as the selected answer, not merely displayed option text. The source date and pre-primary text version are unresolved.",,,,Chris Espinosa,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca26-sonia-ssfl-cleanup,Sonia Kacker,race-76c7cbb9d6b99bc5d802,2026-06-02,environment,A complete “Background” cleanup to remove all man-made contamination or equivalent,https://parentsagainstssfl.com/vote,,paragraph 133 | paragraph 158 | paragraph 173 | paragraph 191 | paragraph 206 | paragraph 226 | paragraph 244 | paragraph 261 | paragraph 279,5b3b08ebad6e45392fe6ab74471e74351ded03423374bc673cd21cfd4029133c,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca26-ssfl-candidate-survey-current,opponent_candidate,ssfl_complete_background_cleanup,support,A complete “Background” cleanup to remove all man-made contamination or equivalent,"Sonia Kacker, MD, District CA-26 section; answer to cleanup-position question","Candidate-submitted survey answer under the official ballot name. In the labeled Sonia Kacker, MD, District CA-26 section, this text follows the question asking which statement best describes her cleanup position and is prefixed as the selected answer, not merely displayed option text. The source date and pre-primary version are unresolved.",Sonia Devgan-Kacker,"Assistant source review; Candidate-submitted survey answer under the official ballot name. In the labeled Sonia Kacker, MD, District CA-26 section, this text follows the question asking which statement best describes her cleanup position and is prefixed as the selected answer, not merely displayed option text. The source date and pre-primary version are unresolved.",,,,Sonia Kacker,Democratic,accepted_direct_official_alias,ca-identity-certified-candidates-20260326 | ca26-sonia-campaign-alias-current | ca26-ssfl-candidate-survey-current,Direct candidate-controlled alias evidence: the campaign document identifies Dr. Sonia Kacker in its metadata and Dr. Sonia Devgan-Kacker in JSON-LD for the same CA-26 campaign; the official certified list and result row use Sonia Kacker. Reviewed policy excerpts keep the source/ballot speaker string Sonia Kacker and are not silently renamed.,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca24-helena-single-payer,Helena Pasquarella,race-b72c70764e7173f3e7b1,2026-06-02,healthcare,fight for Medicare for All,https://www.pasquarellaforcongress.com/issues,,paragraph 46,1b8ebf45ac9c5135a512de5b30e9bfe26c4dbdddf1ef00a9e3d588fe14fac807,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca24-helena-issues-current,endorsed_candidate,medicare_coverage_for_all,support,fight for Medicare for All,"Universal Single-Payer Healthcare for All, final paragraph",First-person campaign platform statement. Focal candidate's official preference is Peace and Freedom; page timing is unresolved.,Helena Pasquarella,Assistant source review; First-person campaign platform statement. Focal candidate's official preference is Peace and Freedom; page timing is unresolved.,,,,Helena Pasquarella,Peace and Freedom,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ca24-salud-healthcare-expansion,Salud Carbajal,race-b72c70764e7173f3e7b1,2026-06-02,healthcare,I successfully got ACA tax cuts expanded for millions of families to get lower premiums,https://www.saludcarbajal.com/issues/making-health-care-more-affordable,,paragraph 29,e52047b1c804c0e46a2a0ba62cafbb3d800f16c4c5a1b6e4dec5bb13e86a874a,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ca24-salud-healthcare-current,opponent_candidate,aca_premium_tax_credits,support,I successfully got ACA tax cuts expanded for millions of families to get lower premiums,"Making Health Care More Affordable, fourth paragraph",First-person campaign record statement naming ACA premium-tax-credit expansion as a mechanism for lowering premiums. The page does not state Carbajal's position on Medicare for All or single-payer financing; page timing is unresolved.,Salud Carbajal,Assistant source review; First-person campaign record statement naming ACA premium-tax-credit expansion as a mechanism for lowering premiums. The page does not state Carbajal's position on Medicare for All or single-payer financing; page timing is unresolved.,,,,Salud Carbajal,Democratic,exact_case_insensitive_match,,,ca-2026-primary,official_returns,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-mo04-rogers-healthcare-right,Ashleigh Rogers,race-3b9a8d1c4fa2cbcadb73,2026-08-04,healthcare,Access to reliable & affordable healthcare is a human right.,https://ashleighrogers4congress.com/,,paragraph 41,85a3bc07c4d3178079fbe66c7696c785cf35f74df6042595329fcbaa7ec52ee1,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",mo04-ashleigh-live-current,opponent_candidate,healthcare_as_right,support,Access to reliable & affordable healthcare is a human right.,"paragraph 41, Healthcare card under On the Issues",Campaign-authored first-person policy card; navigation and cookie text are excluded. Current capture does not prove pre-primary timing.,Ashleigh Rogers,Assistant source review; Campaign-authored first-person policy card; navigation and cookie text are excluded. Current capture does not prove pre-primary timing.,,,,Ashleigh Rogers,Democratic,exact_case_insensitive_match,,,mo04-identity-sos-20260606,official_qualifying_roster,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-mo04-rogers-housing-programs,Ashleigh Rogers,race-3b9a8d1c4fa2cbcadb73,2026-08-04,housing,"Increasing loan and grant programs, tax credits",https://ashleighrogers4congress.com/,,paragraph 49,85a3bc07c4d3178079fbe66c7696c785cf35f74df6042595329fcbaa7ec52ee1,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",mo04-ashleigh-live-current,opponent_candidate,affordable_housing_supply,support_programs,"Increasing loan and grant programs, tax credits","paragraph 49, Housing and Childcare card",The complete card combines housing and childcare policies; the short phrase is not evidence that these tools are exclusive to housing or that Rogers rejects public housing.,Ashleigh Rogers,Assistant source review; The complete card combines housing and childcare policies; the short phrase is not evidence that these tools are exclusive to housing or that Rogers rejects public housing.,,,,Ashleigh Rogers,Democratic,exact_case_insensitive_match,,,mo04-identity-sos-20260606,official_qualifying_roster,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
