document_id,group,platform_level,organizations,platform_types,titles,cycle_years,quality_screened_passages,eligible,exclusion_reason
context-doc-361432577fad0e8a1fc7c238,democratic,subnational,Michigan Democratic Party,state_party_platform,2020 MDP Platform Final Draft | 2020 MDP Platform Final Draft carried into the 2024 cycle | 2020 MDP Platform Final Draft carried into the 2026 cycle | Michigan Democratic Party Platform,2016 | 2020 | 2022 | 2024 | 2026,257,True,
context-doc-3f573233e49c5a329fbf4264,democratic,subnational,Wisconsin Democratic Party,state_party_platform,2026 Democratic Party of Wisconsin Platform,2026,37,True,
context-doc-4329d30182822e267b9c0a2e,democratic,national,Democratic National Committee,national_party_platform,2020 Democratic Party Platform | 2020 Democratic Party Platform carried into the 2021 cycle | 2020 Democratic Party Platform carried into the 2022 cycle | 2020 Democratic Party Platform carried into the 2023 cycle,2020 | 2021 | 2022 | 2023,704,True,
context-doc-44b40fd2a03d233295cab719,democratic,subnational,Idaho Democratic Party,state_party_platform,Where We Stand,2026,21,True,
context-doc-4e54246a57f412b91c5e368e,democratic,subnational,Wisconsin Democratic Party,state_party_platform,"DPW 2022 Platform — Adopted by Convention on June 26, 2022",2022,33,True,
context-doc-519339ce662cfb86bd6dc30a,democratic,subnational,Arkansas Democratic Party,state_party_platform,2020-2022 Platform of the Democratic Party of Arkansas,2020,103,True,
context-doc-5ed2077f2c6a2b73dd66f62d,democratic,subnational,Texas Democratic Party,state_party_platform,2024 Texas Democratic Party Platform | 2024 Texas Democratic Party Platform carried into the 2026 cycle,2024 | 2026,1,False,fewer_than_10_quality_screened_passages
context-doc-5fcc077e2fa16a7d10e4ff96,democratic,subnational,Nebraska Democratic Party,state_party_platform,2020-2022 Nebraska Democratic Party Platform,2020,129,True,
context-doc-6bc7b28bf199c96e7ffa17a2,democratic,subnational,Democratic Party of Oregon,state_party_platform_google_doc,2021 Democratic Party of Oregon Platform,2022,155,True,
context-doc-6e30177c81cbc2a2feea5049,democratic,subnational,Nevada State Democratic Party,state_party_platform,Nevada State Democratic Party 2024 Platform,2024,14,True,
context-doc-74cdd2ffa198a836b64280f8,democratic,subnational,Delaware Democratic Party,state_party_platform,2021 Delaware Democratic Party Platform,2024,86,True,
context-doc-8e2bffdc9dfc40824c6e0640,democratic,subnational,Massachusetts Democratic Party,state_party_platform,Our Platform carried into the 2026 cycle,2026,30,True,
context-doc-8f4a3bfb31c9af213176f520,democratic,subnational,Idaho Democratic Party,state_party_platform_archive,Where We Stand,2020,17,True,
context-doc-9d790ebfccb34dd06fb45fbc,democratic,subnational,Washington State Democratic Party,state_party_platform,WSDCC 2020 Final Platform,2020,109,True,
context-doc-9d8976bd5e10bdfa98ce6472,democratic,subnational,Massachusetts Democratic Party,state_party_platform,2021 Massachusetts Democratic Party Platform carried into the 2022 cycle | 2021 Massachusetts Democratic Party Platform carried into the 2024 cycle,2022 | 2024,66,True,
context-doc-ac8d81787afc9e7f4cb6d364,democratic,subnational,Washington State Democratic Party,state_party_platform_google_doc,Washington State Democratic Party 2024 platform document,2024,1,False,fewer_than_10_quality_screened_passages
context-doc-b30828e05d51a1927846101c,democratic,subnational,Democratic Party of Wisconsin,state_party_platform,DPW 2018 Platform adopted by convention on 2 June 2018 | DPW 2018 Platform carried into the 2020 cycle,2018 | 2020,29,True,
context-doc-b4d5dd277bacb9678279ea74,democratic,subnational,Connecticut Democrats,state_party_platform,Connecticut Democratic Party Platform Revised 2022,2023 | 2024 | 2025,54,True,
context-doc-b5ac641dae02817b28801487,democratic,subnational,New Hampshire Democratic Party,state_party_platform | state_party_platform_search_seed,New Hampshire Democratic Party Platform | New Hampshire Democratic Party platform search seed,2016 | 2020,45,True,
context-doc-be89b9d61f09724f652ee9ba,democratic,subnational,Vermont Democratic Party,state_party_platform | state_party_platform_search_seed,Vermont Democratic Party Platform | Vermont Democratic Party platform search seed,2016 | 2022 | 2024,161,True,
context-doc-bf088e49139f7e286af73872,democratic,subnational,Montana Democratic Party,state_party_platform,Platform of the Montana Democratic Party,2020,98,True,
context-doc-c19e473bd97585077a24ce65,democratic,subnational,Connecticut Democratic Party | Connecticut Democrats,state_party_platform | state_party_platform_search_seed,Connecticut Democratic Party Platform | Connecticut Democratic Party platform search seed | Connecticut Democrats Platform,2016 | 2020 | 2021,14,True,
context-doc-d36d11cf21577430ac1bf99a,democratic,subnational,Arkansas Democratic Party,state_party_platform,2016-2018 Platform of the Democratic Party of Arkansas,2016,115,True,
context-doc-d7b027084f7b0b2bfe77fad1,democratic,subnational,New Mexico Democratic Party,state_party_platform | state_party_platform_search_seed,New Mexico Democratic Party Platform | New Mexico Democratic Party platform search seed,2020 | 2024,30,True,
context-doc-db9dce27847a800df619fc3d,democratic,subnational,Missouri Democratic Party,state_party_platform,MDP Bylaws Constitution and Platform Updated April 2026,2026,25,True,
context-doc-ddc35cf16a956b7269015fec,democratic,subnational,Vermont Democratic Party,state_party_platform_archive,Vermont Democratic Party Platform carried into the 2020 cycle,2020,57,True,
context-doc-de8afc9104ca472b443c2b97,democratic,subnational,Democratic Party of Wisconsin,state_party_platform,Democratic Party of Wisconsin 2016 Platform,2016,27,True,
context-doc-e878bb1a3752e1f1f57fbf8b,democratic,subnational,Rhode Island Democratic Party,state_party_platform,Rhode Island Democratic Party Platform | Rhode Island Democratic Party Platform carried into the 2020 cycle,2018 | 2020,68,True,
context-doc-1717ae4f8db825b1b4165686,dsa,national,Democratic Socialists of America,dsa_national_program,Workers Deserve More Program,2024 | 2025,25,True,
context-doc-196afc6437f6dcba3bc7581a,dsa,subnational,St. Louis Democratic Socialists of America,chapter_platform,St. Louis DSA Platform,2026,67,True,
context-doc-42d98b063e3cf86966ce12f5,dsa,national,Democratic Socialists of America,dsa_national_program,Workers Deserve More Program v2 | Workers Deserve More Program v2 carried into the 2025 cycle,2025 | 2026,25,True,
context-doc-643bceb38b2fad9259fb939f,dsa,national,Democratic Socialists of America,dsa_national_platform_draft,2021 DSA National Platform second draft | 2021 DSA National Platform second draft carried into the 2021 cycle | 2021 DSA National Platform second draft carried into the 2023 cycle,2021 | 2022 | 2023,85,True,
context-doc-a30f0c868d00ab81e2d2b3de,dsa,subnational,Boston Democratic Socialists of America,chapter_platform,Boston DSA Platform,2026,24,True,
context-doc-e0559c992ab387a2e999da54,dsa,subnational,East Bay Democratic Socialists of America,chapter_platform,East Bay DSA Platform,2020,101,True,
