kind,record_id,year,candidate,race_ids,issue,source_url,detail
chapter_year,rec7vaxdzZPUTcJNx-2015,2015,,,not_searched,,Austin: additional_archive_review_needed
chapter_year,rec7wqm3T5lsvYHLN-2015,2015,,,not_searched,,Palm Beach & Treasure Coast: website_or_archive_retry_needed
chapter_year,rec80l0tuw3FTXClQ-2015,2015,,,not_searched,,Frederick: website_or_archive_retry_needed
chapter_year,rec9LalyLytHwNH8l-2015,2015,,,not_searched,,St. Cloud: url_index_searched_content_review_pending
chapter_year,rec9riR6XgalnXCFf-2015,2015,,,not_searched,,Philadelphia: additional_archive_review_needed
chapter_year,recAMEFt6zcivHblv-2015,2015,,,not_searched,,Whatcom County: url_index_searched_content_review_pending
chapter_year,recASnFYm5isBZEGa-2015,2015,,,not_searched,,Yolo County: official_social_account_pending
chapter_year,recAUaAhUpNG7vDdz-2015,2015,,,not_searched,,Catawba Valley: url_index_searched_content_review_pending
chapter_year,recAZ1yx859goSomI-2015,2015,,,not_searched,,South New Jersey: url_index_searched_content_review_pending
chapter_year,recAZzY3jqCBe7alk-2015,2015,,,not_searched,,Pasco-Hernando: url_index_searched_content_review_pending
chapter_year,recArsS1ZGvWe0FwT-2015,2015,,,not_searched,,Corpus Christi: additional_archive_review_needed
chapter_year,recBfwrqg9wJFtliS-2015,2015,,,not_searched,,Savannah: url_index_searched_content_review_pending
chapter_year,recBlZviC59yKt1hj-2015,2015,,,not_searched,,San Francisco: url_index_searched_content_review_pending
chapter_year,recBruNtTZ2dP0LS1-2015,2015,,,not_searched,,West Sound: url_index_searched_content_review_pending
chapter_year,recBxjzQytuNKUJ8c-2015,2015,,,not_searched,,Charleston: url_index_searched_content_review_pending
chapter_year,recC4gGFQp68I9ZEO-2015,2015,,,not_searched,,Saginaw Bay: official_social_account_pending
chapter_year,recCKHvj3ZkcUIvZt-2015,2015,,,not_searched,,Charlottesville: additional_archive_review_needed
chapter_year,recCN9kXq7rgCbQnT-2015,2015,,,not_searched,,Asheville: url_index_searched_content_review_pending
chapter_year,recCSjawdtlnyHEUk-2015,2015,,,not_searched,,Lincoln: additional_archive_review_needed
chapter_year,recCTbOG5pJWNaJDI-2015,2015,,,not_searched,,Bloomington Indiana: additional_archive_review_needed
chapter_year,recCcEM7Z3Ch8IR0X-2015,2015,,,not_searched,,Tucson: url_index_searched_content_review_pending
chapter_year,recCpjebJwfi4ED9m-2015,2015,,,not_searched,,Central Oregon: url_index_searched_content_review_pending
chapter_year,recCqWfZhgS1Y8uxk-2015,2015,,,not_searched,,Humboldt: url_index_searched_content_review_pending
chapter_year,recCv4y32xEJoTNiO-2015,2015,,,not_searched,,Lawrence: additional_archive_review_needed
chapter_year,recCzuMVhZWc8o0Uc-2015,2015,,,not_searched,,Syracuse: url_index_searched_content_review_pending
chapter_year,recD9h4FSEzw49xz8-2015,2015,,,not_searched,,Shasta County: official_social_account_pending
chapter_year,recDXW5domMEJaGqg-2015,2015,,,not_searched,,Wheeling: official_social_account_pending
chapter_year,recDdctKgxkxTpMF7-2015,2015,,,not_searched,,Berkshires: url_index_searched_content_review_pending
chapter_year,recDqUY8FTOw7paGw-2015,2015,,,not_searched,,Quad Cities: url_index_searched_content_review_pending
chapter_year,recE70HfoWMXK7EHj-2015,2015,,,not_searched,,Southern Oregon: additional_archive_review_needed
chapter_year,recEYF0KJQVTKODyP-2015,2015,,,not_searched,,Bluegrass: url_index_searched_content_review_pending
chapter_year,recFRo3zrK63olOPh-2015,2015,,,not_searched,,Evansville Riverbend: official_social_account_pending
chapter_year,recFSAI0PS4bMYFeA-2015,2015,,,not_searched,,Ithaca: url_index_searched_content_review_pending
chapter_year,recFTpaCAViJxbIE5-2015,2015,,,not_searched,,Nine Tribes Area: additional_archive_review_needed
chapter_year,recFYJOYDeA0EYqnO-2015,2015,,,not_searched,,Albuquerque: url_index_searched_content_review_pending
chapter_year,recFbDlozToNgtm8d-2015,2015,,,not_searched,,Land of Lincoln: official_social_account_pending
chapter_year,recFlx4ORu1RH5pEV-2015,2015,,,not_searched,,Tampa: url_index_searched_content_review_pending
chapter_year,recFz45vphORHK1Dm-2015,2015,,,not_searched,,Central New Jersey: additional_archive_review_needed
chapter_year,recG0AfdLPXQ117AV-2015,2015,,,not_searched,,Omaha: additional_archive_review_needed
chapter_year,recGBEQ1Jzhgg5CCU-2015,2015,,,not_searched,,Fort Worth: official_social_account_pending
chapter_year,recGHdSb41i1tYtWk-2015,2015,,,not_searched,,Heart of Iowa: url_index_searched_content_review_pending
chapter_year,recGOEn6TMfwZniSY-2015,2015,,,not_searched,,Scioto Valley: additional_archive_review_needed
chapter_year,recGwgmQTIF0Hz0Ym-2015,2015,,,not_searched,,Arkansas Valley: official_social_account_pending
chapter_year,recHL0sCpfMTFSKVH-2015,2015,,,not_searched,,Richmond: url_index_searched_content_review_pending
chapter_year,recHL2g7b2xAFii3I-2015,2015,,,not_searched,,Oklahoma City: additional_archive_review_needed
chapter_year,recHa3LuQePOlurGF-2015,2015,,,not_searched,,River Region: url_index_searched_content_review_pending
chapter_year,recHocT4UDAoXZ3S5-2015,2015,,,not_searched,,Chippewa Valley: additional_archive_review_needed
chapter_year,recHpDq1gXwsb2MyJ-2015,2015,,,not_searched,,O'ahu: url_index_searched_content_review_pending
chapter_year,recHz4bv3iDXCqjP6-2015,2015,,,not_searched,,River Valley: website_or_archive_retry_needed
chapter_year,recI6qK6j0B29VyIL-2015,2015,,,not_searched,,Lakefront: url_index_searched_content_review_pending
chapter_year,recI72439exLqogyy-2015,2015,,,not_searched,,Broward County: website_or_archive_retry_needed
chapter_year,recIAykw966oo5dI0-2015,2015,,,not_searched,,Dayton-Miami Valley: additional_archive_review_needed
chapter_year,recIZudVm6B3o5tAN-2015,2015,,,not_searched,,Northwest Arkansas: additional_archive_review_needed
chapter_year,recIqxpKzSuMOBIYd-2015,2015,,,not_searched,,Tulsa: official_social_account_pending
chapter_year,recJ0MEIEPUDiMCfs-2015,2015,,,not_searched,,Orlando: url_index_searched_content_review_pending
chapter_year,recJ9hP2ah69IisXt-2015,2015,,,not_searched,,Milwaukee: additional_archive_review_needed
chapter_year,recJJ2eQgDwgQVLAR-2015,2015,,,not_searched,,Phoenix: url_index_searched_content_review_pending
chapter_year,recJs8BRzkSV5yDbN-2015,2015,,,not_searched,,Twin Ports: url_index_searched_content_review_pending
chapter_year,recJuZsNGD41j4umw-2015,2015,,,not_searched,,Piedmont Triad: url_index_searched_content_review_pending
chapter_year,recJzf90kikpXO0DT-2015,2015,,,not_searched,,Long Island: additional_archive_review_needed
chapter_year,recK31k3aZJA2QE3p-2015,2015,,,not_searched,,Portland: url_index_searched_content_review_pending
chapter_year,recKGSp2UlG6V0tOG-2015,2015,,,not_searched,,Palouse: additional_archive_review_needed
chapter_year,recKNkHw48qsmAbx9-2015,2015,,,not_searched,,Athens Area: url_index_searched_content_review_pending
chapter_year,recKUDCwfT4yxflU6-2015,2015,,,not_searched,,Leon County: additional_archive_review_needed
chapter_year,recLWOuFtRtCelnEh-2015,2015,,,not_searched,,Southeast Idaho: url_index_searched_content_review_pending
chapter_year,recLfgG6ydn0IPFpY-2015,2015,,,not_searched,,Greater Baltimore: additional_archive_review_needed
chapter_year,recLsbjhFWix57m4q-2015,2015,,,not_searched,,San Antonio: url_index_searched_content_review_pending
chapter_year,recLsm5463dxWKcks-2015,2015,,,not_searched,,Salt Lake: url_index_searched_content_review_pending
chapter_year,recLvs3LzaQQNjlIA-2015,2015,,,not_searched,,West Suburban Illinois: additional_archive_review_needed
chapter_year,recM9oJzvTBqHfg05-2015,2015,,,not_searched,,Long Beach: url_index_searched_content_review_pending
chapter_year,recMAZ4MvcNtzlkbp-2015,2015,,,not_searched,,Metro Cincinnati & Northern Kentucky: url_index_searched_content_review_pending
chapter_year,recN0F7EofeEi2sVK-2015,2015,,,not_searched,,Maine: url_index_searched_content_review_pending
chapter_year,recN0QSja5PaHFtet-2015,2015,,,not_searched,,Northwest Montana: additional_archive_review_needed
chapter_year,recNdPpnEmU5i1xZn-2015,2015,,,not_searched,,Atlanta: url_index_searched_content_review_pending
chapter_year,recO9nU4WGL5t7qbf-2015,2015,,,not_searched,,Northwest Ohio: additional_archive_review_needed
chapter_year,recOGcJgoHsY9bqcc-2015,2015,,,not_searched,,Santa Barbara: url_index_searched_content_review_pending
chapter_year,recPOWfJ8wPNcdSes-2015,2015,,,not_searched,,Owensboro: additional_archive_review_needed
chapter_year,recPS62K0hzPKiUYN-2015,2015,,,not_searched,,Bowling Green: additional_archive_review_needed
chapter_year,recQ0XbRWCvOpu5HM-2015,2015,,,not_searched,,Northern Colorado: additional_archive_review_needed
chapter_year,recQ3VOBLDmZQHLQw-2015,2015,,,not_searched,,Pinellas County: url_index_searched_content_review_pending
chapter_year,recQA9bwED4075itz-2015,2015,,,not_searched,,Central Mississippi: additional_archive_review_needed
chapter_year,recQCD4gvpqQv9PMU-2015,2015,,,not_searched,,Boise: url_index_searched_content_review_pending
chapter_year,recQQgAazXgKTRhfU-2015,2015,,,not_searched,,Emerald Coast: additional_archive_review_needed
chapter_year,recQfa3YHAw48GMoX-2015,2015,,,not_searched,,Salem: url_index_searched_content_review_pending
chapter_year,recQj7rjB9I8F1MDP-2015,2015,,,not_searched,,North New Jersey: url_index_searched_content_review_pending
chapter_year,recQpiidcsftIPsZ0-2015,2015,,,not_searched,,Big Island: official_social_account_pending
chapter_year,recQxboVdYCfhycxy-2015,2015,,,not_searched,,Tacoma & Pierce County: additional_archive_review_needed
chapter_year,recROx1PBZD5Vk7xh-2015,2015,,,not_searched,,Santa Cruz: url_index_searched_content_review_pending
chapter_year,recRTJQYunAdrPlKS-2015,2015,,,not_searched,,Rochester: additional_archive_review_needed
chapter_year,recRnRBOtlahzPwKw-2015,2015,,,not_searched,,Walla Walla Valley: official_social_account_pending
chapter_year,recS5VGHYFMUxmiky-2015,2015,,,not_searched,,Southwest Michigan: additional_archive_review_needed
chapter_year,recSTEJSiMiuHtMlA-2015,2015,,,not_searched,,Cadillac: official_social_account_pending
chapter_year,recSleokYJqguQEBD-2015,2015,,,not_searched,,Pensacola: url_index_searched_content_review_pending
chapter_year,recStYD9pu2XW75YV-2015,2015,,,not_searched,,Upper Peninsula: official_social_account_pending
chapter_year,recT5KhYcENaxjjP8-2015,2015,,,not_searched,,Centre County: official_social_account_pending
chapter_year,recT7i50C14XuejrN-2015,2015,,,not_searched,,Mahoning Valley: url_index_searched_content_review_pending
chapter_year,recTJk4yuSlHV95UK-2015,2015,,,not_searched,,Fort Wayne: additional_archive_review_needed
chapter_year,recTQ7GGGPoQwoxga-2015,2015,,,not_searched,,Cedar Rapids: official_social_account_pending
chapter_year,recTt8anyI4k48Mj5-2015,2015,,,not_searched,,South Central PA: url_index_searched_content_review_pending
chapter_year,recUDExPL4JiGEztp-2015,2015,,,not_searched,,Paso del Norte: official_social_account_pending
chapter_year,recUS1y5dyWBgOMlU-2015,2015,,,not_searched,,Shenandoah Valley: official_social_account_pending
chapter_year,recUThoJ9hyjz5yjQ-2015,2015,,,not_searched,,Central Wisconsin: official_social_account_pending
chapter_year,recVkxNJL0pZJd2Io-2015,2015,,,not_searched,,Charlotte Metro: url_index_searched_content_review_pending
chapter_year,recW3tPzmy1ZGk2Se-2015,2015,,,not_searched,,Concho Valley: additional_archive_review_needed
chapter_year,recW4bI95Z7XL3NFO-2015,2015,,,not_searched,,Grand Rapids: additional_archive_review_needed
chapter_year,recW9PDIGyFL6BWOE-2015,2015,,,not_searched,,Middle Tennessee: additional_archive_review_needed
chapter_year,recWBJRC7gEioyULO-2015,2015,,,not_searched,,Baton Rouge: url_index_searched_content_review_pending
chapter_year,recWNaLkhH8fqjhlT-2015,2015,,,not_searched,,Mesa County: official_social_account_pending
chapter_year,recWZOlBPS27UNYrF-2015,2015,,,not_searched,,Coulee Region: url_index_searched_content_review_pending
chapter_year,recWi4jTHgukTFasy-2015,2015,,,not_searched,,North Mississippi: additional_archive_review_needed
chapter_year,recXKeQY2VM2wkwsS-2015,2015,,,not_searched,,Isabella County: official_social_account_pending
chapter_year,recXWCW4tt6mYABG3-2015,2015,,,not_searched,,Volusia: official_social_account_pending
chapter_year,recXkWXpt6VdXu1ia-2015,2015,,,not_searched,,Upper Valley: url_index_searched_content_review_pending
chapter_year,recXsfT8mmJNZoTBB-2015,2015,,,not_searched,,Denver: additional_archive_review_needed
chapter_year,recYXFf0UYitkSJpT-2015,2015,,,not_searched,,Champaign-Urbana: url_index_searched_content_review_pending
chapter_year,recYcoo13kE8CwRo3-2015,2015,,,not_searched,,Salina: official_social_account_pending
chapter_year,recZ8NV1XsHKSYBsn-2015,2015,,,not_searched,,Western Montana: additional_archive_review_needed
chapter_year,recZEmQ3fZ8C96hFj-2015,2015,,,not_searched,,Olympia: additional_archive_review_needed
chapter_year,recZdqGGhK7ZwdLwu-2015,2015,,,not_searched,,North Texas: official_social_account_pending
chapter_year,recaZNZNI4KzF2ifo-2015,2015,,,not_searched,,Mid-Hudson Valley: additional_archive_review_needed
chapter_year,recabufgzhuk7SsaH-2015,2015,,,not_searched,,Mid-Missouri: url_index_searched_content_review_pending
chapter_year,recadsEzmxY7VgYTq-2015,2015,,,not_searched,,Joplin Area: official_social_account_pending
chapter_year,recaeO2dxjbqDPad7-2015,2015,,,not_searched,,Shreveport-Bossier: additional_archive_review_needed
chapter_year,recazL76LSPDpqjno-2015,2015,,,not_searched,,Maui: additional_archive_review_needed
chapter_year,recbKyFRy973PJzEv-2015,2015,,,not_searched,,Cape Cod: website_or_archive_retry_needed
chapter_year,recbnM3xYrEO0MDBF-2015,2015,,,not_searched,,Lubbock: additional_archive_review_needed
chapter_year,recbxU9HH2MzBiQFu-2015,2015,,,not_searched,,Louisville: url_index_searched_content_review_pending
chapter_year,recc3qYuezOuNq4MR-2015,2015,,,not_searched,,Southern Mississippi: additional_archive_review_needed
chapter_year,recc9NkvIp5HLQ1yp-2015,2015,,,not_searched,,Lehigh Valley: url_index_searched_content_review_pending
chapter_year,reccdrhmClCQ2CW1Q-2015,2015,,,not_searched,,Triangle: url_index_searched_content_review_pending
chapter_year,recctY4m66GPHpzR9-2015,2015,,,not_searched,,Skagit County: official_social_account_pending
chapter_year,reccvfwbAsEZHpPfh-2015,2015,,,not_searched,,The Shoals: official_social_account_pending
chapter_year,recd0uy3rr1Bgw9wI-2015,2015,,,not_searched,,Southeastern Oklahoma: additional_archive_review_needed
chapter_year,recdP6i0tJkEEiTJo-2015,2015,,,not_searched,,Southern New Hampshire: additional_archive_review_needed
chapter_year,recdQwlYzhFjozDeh-2015,2015,,,not_searched,,Flagstaff: additional_archive_review_needed
chapter_year,receJ6YiRwditqBs4-2015,2015,,,not_searched,,Stillwater: additional_archive_review_needed
chapter_year,receKu5umjfkE8oAp-2015,2015,,,not_searched,,Southeast Kansas: additional_archive_review_needed
chapter_year,receSr2shnbuFhGIT-2015,2015,,,not_searched,,Flint Hills: additional_archive_review_needed
chapter_year,receh0P922XmUr6tX-2015,2015,,,not_searched,,Chattanooga: url_index_searched_content_review_pending
chapter_year,recfAwAuIcuJvCEBN-2015,2015,,,not_searched,,Space Coast: url_index_searched_content_review_pending
chapter_year,recfbo03dGTTwdruW-2015,2015,,,not_searched,,Boulder: additional_archive_review_needed
chapter_year,recffSbqrnjqJxBPs-2015,2015,,,not_searched,,Ozarks: official_social_account_pending
chapter_year,recgMgxwGYNONC8Ax-2015,2015,,,not_searched,,New Orleans: additional_archive_review_needed
chapter_year,recglapUaL0faNba5-2015,2015,,,not_searched,,Marion County: official_social_account_pending
chapter_year,rechH1FpOL2WCgutW-2015,2015,,,not_searched,,Northwest Indiana: url_index_searched_content_review_pending
chapter_year,rechbyY2P8QhIF3DO-2015,2015,,,not_searched,,Northern Nevada: additional_archive_review_needed
chapter_year,rechl5HCvitYdOGsy-2015,2015,,,not_searched,,Northern Illinois: additional_archive_review_needed
chapter_year,reci8e1tYK3NymV4N-2015,2015,,,not_searched,,Troy: url_index_searched_content_review_pending
chapter_year,reciA8xwGUpW0MiZk-2015,2015,,,not_searched,,Huron Valley: url_index_searched_content_review_pending
chapter_year,reciHswHKOYjwYIT7-2015,2015,,,not_searched,,Central Sierra Foothills: official_social_account_pending
chapter_year,recj6j8cUEqNSL0vs-2015,2015,,,not_searched,,Tidewater: url_index_searched_content_review_pending
chapter_year,recjNl5JK3NYyhMRU-2015,2015,,,not_searched,,Southern Maryland: url_index_searched_content_review_pending
chapter_year,recjqr2K3aEywVhg4-2015,2015,,,not_searched,,New River Valley: url_index_searched_content_review_pending
chapter_year,recjr6SITxRfPKCFq-2015,2015,,,not_searched,,Northwest Georgia: additional_archive_review_needed
chapter_year,recjs7DiralNILEgj-2015,2015,,,not_searched,,Pittsburgh: additional_archive_review_needed
chapter_year,recjxGC0xL0h7BptA-2015,2015,,,not_searched,,Wooster: official_social_account_pending
chapter_year,reck5iOPvimUvgqOs-2015,2015,,,not_searched,,Inland Empire: url_index_searched_content_review_pending
chapter_year,reckca2oZB7IvRSJw-2015,2015,,,not_searched,,Middle Georgia: additional_archive_review_needed
chapter_year,reckm1enHokOuFlIg-2015,2015,,,not_searched,,Spokane: official_social_account_pending
chapter_year,recl787Sb1leMilEi-2015,2015,,,not_searched,,Southern Idaho: official_social_account_pending
chapter_year,reclMP28fLu46kFEC-2015,2015,,,not_searched,,Wichita: url_index_searched_content_review_pending
chapter_year,reclWgFXcQwk81MUH-2015,2015,,,not_searched,,Akron: additional_archive_review_needed
chapter_year,reclf74z6YnA3tm63-2015,2015,,,not_searched,,Jacksonville: additional_archive_review_needed
chapter_year,recljeUAWKtdx5PRp-2015,2015,,,not_searched,,Lower Hudson Valley: additional_archive_review_needed
chapter_year,reclmXwgrT4BHf9Vq-2015,2015,,,not_searched,,North Alabama: url_index_searched_content_review_pending
chapter_year,reclrcVPfxAuBDFLR-2015,2015,,,not_searched,,East Bay: url_index_searched_content_review_pending
chapter_year,reclyHYiSKHUVlfWT-2015,2015,,,not_searched,,Santa Fe: additional_archive_review_needed
chapter_year,recm5xtlty0kssfFb-2015,2015,,,not_searched,,New York City: website_or_archive_retry_needed
chapter_year,recm7aEDlIMCfYmMY-2015,2015,,,not_searched,,Rock River: url_index_searched_content_review_pending
chapter_year,recmAMmJR3WF7a9px-2015,2015,,,not_searched,,Southeast Missouri: website_or_archive_retry_needed
chapter_year,recmjWM6YNJ2vDGZj-2015,2015,,,not_searched,,North Central Valley: official_social_account_pending
chapter_year,recmr3OjlPiwCu6BI-2015,2015,,,not_searched,,Delaware: url_index_searched_content_review_pending
chapter_year,reco5CqqnJ0KEhQQr-2015,2015,,,not_searched,,North East Wisconsin: official_social_account_pending
chapter_year,recpDAaYiPTsJE4mc-2015,2015,,,not_searched,,Northwest Michigan: url_index_searched_content_review_pending
chapter_year,recpKDmBrRnuJ61xG-2015,2015,,,not_searched,,Capital District: url_index_searched_content_review_pending
chapter_year,recpqx4umiFvMDHFb-2015,2015,,,not_searched,,Seattle: additional_archive_review_needed
chapter_year,recqVD57cMVELsEux-2015,2015,,,not_searched,,Mobile Bay: url_index_searched_content_review_pending
chapter_year,recqnEiHDohXmNsw0-2015,2015,,,not_searched,,Brainerd Lakes Area: additional_archive_review_needed
chapter_year,recqploYCWlZghIp3-2015,2015,,,not_searched,,Northeast Pennsylvania: additional_archive_review_needed
chapter_year,recqxNEytZg7a993j-2015,2015,,,not_searched,,Laredo: additional_archive_review_needed
chapter_year,recrOAzKtL4XiBkc0-2015,2015,,,not_searched,,Southeast Minnesota: additional_archive_review_needed
chapter_year,recreuDi9kiy7ABbA-2015,2015,,,not_searched,,Las Vegas: additional_archive_review_needed
chapter_year,recrsiHHI6LQJITPX-2015,2015,,,not_searched,,Connecticut: additional_archive_review_needed
chapter_year,recrtf4j80gtgluiw-2015,2015,,,not_searched,,Brazos: website_or_archive_retry_needed
chapter_year,recs3V2Rtr16qS9FG-2015,2015,,,not_searched,,Northeast Tennessee: url_index_searched_content_review_pending
chapter_year,recsUheyIZMqow2p3-2015,2015,,,not_searched,,Metro Detroit: url_index_searched_content_review_pending
chapter_year,recsl4sFwbNgO8RUG-2015,2015,,,not_searched,,Memphis Midsouth: url_index_searched_content_review_pending
chapter_year,recsmq8fcapOcKEeZ-2015,2015,,,not_searched,,St. Louis: url_index_searched_content_review_pending
chapter_year,rect7eOZNHXFCpZhO-2015,2015,,,not_searched,,Wilmington: url_index_searched_content_review_pending
chapter_year,rectL9ZGVK2eueBIC-2015,2015,,,not_searched,,Buffalo: url_index_searched_content_review_pending
chapter_year,rectaMH8T8akTvuH6-2015,2015,,,not_searched,,Chicago: additional_archive_review_needed
chapter_year,rectkcdrLlVqhtAj9-2015,2015,,,not_searched,,Red River Valley: url_index_searched_content_review_pending
chapter_year,recuHREFEAmpl9Rc5-2015,2015,,,not_searched,,Ventura County: additional_archive_review_needed
chapter_year,recupqw7yRouGBVwW-2015,2015,,,not_searched,,Bozeman: url_index_searched_content_review_pending
chapter_year,recuxphVf5170jufu-2015,2015,,,not_searched,,Topeka: additional_archive_review_needed
chapter_year,recuyHD4argSxhJUP-2015,2015,,,not_searched,,Sonoma County: additional_archive_review_needed
chapter_year,recuyzNZu9ufw8620-2015,2015,,,not_searched,,Key West: additional_archive_review_needed
chapter_year,recv4FrF1pEnsHKPz-2015,2015,,,not_searched,,Madison Area: url_index_searched_content_review_pending
chapter_year,recvArS0dntwW1IAN-2015,2015,,,not_searched,,North Olympic: url_index_searched_content_review_pending
chapter_year,recvYM2ScwRpW064J-2015,2015,,,not_searched,,Upstate South Carolina: url_index_searched_content_review_pending
chapter_year,recwIMHzSiPpK0DnI-2015,2015,,,not_searched,,Houston: additional_archive_review_needed
chapter_year,recwhaqeUWFEaazGt-2015,2015,,,not_searched,,High Peaks: additional_archive_review_needed
chapter_year,recwwgYYu7hL3pdEV-2015,2015,,,not_searched,,Sioux Empire: official_social_account_pending
chapter_year,recx3HWIxsbxCJzjJ-2015,2015,,,not_searched,,Cleveland: additional_archive_review_needed
chapter_year,recx3POhJ9lB3zLLk-2015,2015,,,not_searched,,San Diego: additional_archive_review_needed
chapter_year,recxiA4PdNnBvxKOF-2015,2015,,,not_searched,,Pinal County: official_social_account_pending
chapter_year,recxo8jq580SmE6TR-2015,2015,,,not_searched,,Erie: official_social_account_pending
chapter_year,recxrUM4mt9kixjqr-2015,2015,,,not_searched,,Central Indiana: url_index_searched_content_review_pending
chapter_year,recxtTi13BvQKTdbb-2015,2015,,,not_searched,,Los Angeles: url_index_searched_content_review_pending
chapter_year,recxygLVMpSxU69wU-2015,2015,,,not_searched,,Iowa City: official_social_account_pending
chapter_year,recy0Z0XN0FjU9Jar-2015,2015,,,not_searched,,Southwest Louisiana: website_or_archive_retry_needed
chapter_year,recyLl8GpS0aYAp9h-2015,2015,,,not_searched,,Augusta CSRA: official_social_account_pending
chapter_year,recyh0MnrKMpa5ksT-2015,2015,,,not_searched,,Green Mountain: url_index_searched_content_review_pending
chapter_year,recyipdXaiOGJdtaq-2015,2015,,,not_searched,,Colorado Springs: url_index_searched_content_review_pending
chapter_year,recyjlVOMzrokvMZJ-2015,2015,,,not_searched,,Polk County: additional_archive_review_needed
chapter_year,reczGEZy8EMuUwqFd-2015,2015,,,not_searched,,Alachua County: url_index_searched_content_review_pending
chapter_year,reczRzsq3yjibUmxn-2015,2015,,,not_searched,,Sacramento: url_index_searched_content_review_pending
chapter_year,reczT93F2np7SyBOF-2015,2015,,,not_searched,,Eugene-Springfield: additional_archive_review_needed
chapter_year,reczsjCLxEGBKSa3u-2015,2015,,,not_searched,,Miami: additional_archive_review_needed
chapter_year,recztNQn5OHxM87PO-2015,2015,,,not_searched,,Kansas City: url_index_searched_content_review_pending
candidacy,national-rec1E10MK2YwYjBY4,2016,Bernie Sanders,,incomplete_race_evidence,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,candidate_statement_status | opponent_statement_status
chapter_year,rec0T5hL44DwnSPD0-2016,2016,,,not_searched,,Snohomish County: additional_archive_review_needed
chapter_year,rec0ut8JliEiv0O26-2016,2016,,,not_searched,,Greater Lansing: url_index_searched_content_review_pending
chapter_year,rec0yCHUGxHkEfPR9-2016,2016,,,not_searched,,Knoxville: additional_archive_review_needed
