statement_key,race_id,candidate_name,election_date,party,role,evidence_status,topic,subtopic,stance,quote,source_url,source_type,published_date,locator,direct_opponent_name,notes
4e12cec0f33dc0129e8d04c0,race-cd399ec12b7b060fffa5,Hydee Feldstein Soto,2026-06-02,Nonpartisan,opponent,verified,public_safety,police_reform,support,I support and enforce 41.18.,https://www.dailynews.com/2026/05/04/hydee-feldstein-soto-los-angeles-city-attorney-candidate-2026-primary-election-questionnaire/,candidate_questionnaire,2026-05-04,Civil liberties and legal defense answer,,"Candidate supports enforcement while also requiring notice, services, and constitutional protections."
ea5201a436c3fe5db0dfdcdb,race-70d6e7aea0a07570e2a8,Amani Latimer Burris,2020-08-11,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
9d6433a143f82c492d371ae6,race-aed8879df9fbc709db76,Marianne Williamson,2020-03-03,Democratic,opponent,verified,civil_rights,racial_justice,support,"And I believe that anything less than $100 billion is an insult. And I believe that $200 billion to $500 billion is politically feasible today, because so many Americans realize there is an injustice that continues to form a toxicity underneath the surface, an emotional turbulence that only reparations will heal.",https://transcripts.cnn.com/show/se/date/2019-07-30/segment/01,debate_transcript,2019-07-30,"CNN Democratic debate, reparations exchange",,
64265d9c406c8acba74604c6,race-efcab956da48210a967a,Jason Daniel Mackey,2022-09-06,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3cd1feff0ab2b2dbd20572d1,race-8b7a8f7e7882f4f63dbb,Stefani L. Zinerman,2026-06-23,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
8d5f636f4471cc9e5d3bce86,race-4e0ada02ef4cde424267,Scott Evan Goldberg,2022-07-19,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
4cb37ed753cee505763f7920,race-de3a3ef025ba2f70352c,Ann Davison Sattler,2019-08-06,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
08350954142f01c031598198,race-f616f2365354180cc1e6,Anthony H. Williams,2022-05-17,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3f94e7a4ba88defb2085980c,race-9dceacf3417bf74c80ec,Katjana Ballantyne,2025-09-16,Nonpartisan,opponent,verified,housing,rent_control,support,Would you support a home rule petition to enable the city to stabilize rents? YES,https://www.progressivemass.com/wp-content/uploads/2025/08/Katjana-Ballantyne_2025-PM-Municipal-Questionnaire.docx.pdf,candidate_questionnaire,,"Question C7, PDF page 10",,
920faaa32ab5d11f5e2e3473,race-739b00d07e247e111eb1,Danyelle Christmas,2025-10-11,Democratic,endorsed,verified,housing,rent_control,support,I will create a rent cap reflecting how much your district makes so it will match your cost of living.,https://www.danyelle4districte.com/platform,official_campaign_page,,Platform: Cap on rent,,
28ec501916b1775202518b76,race-008359a3ae2f818fb2a9,Devin Lance Graham,2024-11-05,Republican,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
ec672b9aff22ace8b119eb3c,race-4e0ada02ef4cde424267,Laurie-Anne Sayles,2022-07-19,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
61ae55f77a67eea3042fb096,race-b72c70764e7173f3e7b1,Helena Pasquarella,2026-06-02,Peace and Freedom,endorsed,verified,immigration,abolish_ice,support,"ICE is terrorizing our communities and causing irreparable harm. This agency is rooted in xenophobia, fear, and bigotry - it must be abolished.",https://www.pasquarellaforcongress.com/,official_campaign_page,,Issues: Fighting fascism and abolishing ICE,,
ded905b7680720ee5ada026e,race-773a75def2a0d13c9f49,Mark Escoffery-Bey,2020-06-23,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
1d4f0af179da3a6dc7101084,race-af2946bea89ae6832a3c,Evie Hantzopoulos,2021-06-22,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
dfd05f57b7b02f616575aafd,race-8a99a689340f254d2852,Brianna K. Thomas,2021-08-03,Nonpartisan,opponent,verified,public_safety,police_reform,support,I stand by the council’s decision to divert millions of dollars from the general fund and SPD budget to reinvest in community based alternatives.,https://www.theurbanist.org/brianna-thomas-2021-questionnaire/,candidate_questionnaire,2021-06-24,Goldilocks police-budget question,,
57f1c7f227ff0bf9bcfc1db0,race-a5c9cc4ff2b525bcb410,Kaniela Saito Ing,2018-08-11,Democratic,endorsed,verified,healthcare,single_payer,support,"This means being a champion for Medicare-for-all, tuition-free college, ending reckless wars abroad, a Green New Deal for a 100 percent renewable energy future, and a $1 trillion investment in infrastructure.",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,candidate_questionnaire,2018-07-04,Question 1,,
0c78aa458bc5aa3821e53b7f,race-070b37bae80f159ff674,Jilly Gokalgandhi,2021-02-16,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
fd20921e65b60a94bfb71936,race-af2946bea89ae6832a3c,Leonardo Bullaro,2021-06-22,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
87000f5f237ef4499102b0d9,race-1ebf8dc775ced8d30b89,Stephen P. Lyons,2024-03-05,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
b045bfae2171ba1c2caf3be1,race-65136bae40d3d3d9d35a,Regina A. Kinsey,2021-06-22,Democratic,opponent,verified,housing,public_housing,support,Public Safety and Housing is my priority. Making sure that our seniors and families with school age children have permanent housing is crucial.,https://patch.com/new-york/prospectheights/nyc-council-district-35-race-regina-kinsey-seeks-seat,candidate_questionnaire,2021-06-11,Campaign platform answer,,
2db6a2b54d3772ead5b0ad55,race-a493243e3fd4b72b829f,Gary Goodweather,2026-06-16,Democratic,opponent,verified,housing,public_housing,support,"We will guarantee permanent affordability through community land trusts, social housing, and legally binding covenants so homes remain affordable for generations.",https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-gary-goodweather/,candidate_interview,2026-06-07,Housing affordability answer,,
4ff4b355482ba7ff9527e092,race-4e0ada02ef4cde424267,Dana E. Gassaway,2022-07-19,Democratic,opponent,verified,public_safety,police_reform,support,"Ensuring our neighborhoods are safe through community policing, modern resources, and collaborative solutions.",https://gassawayforcouncil.com/,official_campaign_page,,Key priorities: Public Safety,,
afe46c59d35f24fa0916c209,race-70d6e7aea0a07570e2a8,Kelda Helen Roys,2020-08-11,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
be075396cc4206654c53dea7,race-ab159e431662d849f3f8,Marguerite Green,2019-10-12,Democratic,endorsed,verified,climate_energy,emissions,support,I want the Department of Agriculture and Forestry to be bolstering and helping all of our extension agents and all of our existing agricultural programs in retraining farmers in farming more sustainably.,https://www.bigeasymagazine.com/2019/10/10/campaigning-for-a-sustainable-future-an-interview-with-marguerite-green/,candidate_interview,2019-10-10,Climate refugees question,,
7ea92de23a73dfdd869e1109,race-b481f0e166e141a2451a,Marjan S. Fariba,2018-06-05,No Party Preference,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
47c55819326de4cbd33dcc3d,race-b4f6fe7d9ee2bac1986f,J. Darnell Jones,2018-03-06,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
e06e96788843985e7c694d00,race-1ebf8dc775ced8d30b89,Gabriel Cornejo,2024-03-05,Democratic,opponent,verified,healthcare,coverage_expansion,support,Healthcare is a RIGHT—the privilege of a society that values one another. Every fully developed country has established healthcare as a right.,https://presidentialhopefuls.org/2024/01/16/gabriel-cornejo/,candidate_interview,2024-01-16,Healthcare policy,,
5c958bb473b98bd8d8cc5ab6,race-5f19151fb24a0a026037,Sara Innamorato,2018-05-15,Democratic,endorsed,verified,healthcare,single_payer,support,"These policies that can help ameliorate poverty and build a stronger middle class include a single-payer healthcare system, affordable and stable housing, access to meaningful, good-paying jobs and quality public education.",https://www.pghlesbian.com/2018/04/qa-with-sara-innamorato-candidate-for-pa-state-house-district-21/,candidate_interview,2018-04-13,Policy answer on poverty and overdose crisis,,
ff9bd9d60ce9ed0468dcf534,race-739b00d07e247e111eb1,Nathaniel Jones,2025-10-11,No Party,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
7d200aff5c2640cd09cf5d1b,race-70174b009240792ba021,Mitch O'Farrell,2022-06-07,Nonpartisan,opponent,verified,public_safety,police_reform,support,I'm proud to be piloting the city's first ever unarmed response program which diverts 9-1-1 calls related to homelessness away from the police and to mental health practitioners instead.,https://archive.org/details/la35ca-Mitch_O_Farrell_-_Candidate_CD_13,official_candidate_video,2022-05-17,"Candidate video, about 1:51",,
ceb090ae5d7d9ba91676318b,race-2a3689814b363475c0ca,Franco Ferrante,2025-02-18,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
1a4d0f5804abf8176b973450,race-6309d2d0fa189cfbbdcc,Gabriel Sanchez,2024-05-21,Democratic,endorsed,verified,housing,public_housing,support,"Promote strong investments in affordable, public, and social housing developments like Atlanta’s AUDC housing.",https://www.sanchezforgeorgia.com/our-vision,official_campaign_page,,Housing: My Proposals,,
750e9dd00b7b82f591e06157,race-deff03074ea69358d8e9,Sheigh Freeberg,2022-08-09,Democratic-Farmer-Labor,endorsed,verified,tax_budget,corporate_tax,support,We need to increase taxes on large corporations and wealthy Minnesotans.,https://www.spfe28.org/wp-content/uploads/2022/03/SD-65-Sheigh-Freeberg.pdf,candidate_questionnaire,,"Education funding answer, PDF page 8",,
c00c0508e5ab90ec1f7adff6,race-7ecc5bf058cba323d432,Ryan Middleton,2025-03-04,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
e337fcd272e758e21519eff1,race-aed8879df9fbc709db76,Pete Buttigieg,2020-03-03,Democratic,opponent,verified,healthcare,public_option,support,"Under my plan, if you want Medicare, you can have it. If you prefer to keep your private plan, you can have that too. I trust you to decide.",https://www.rev.com/transcripts/new-hampshire-democratic-debate-transcript,debate_transcript,2020-02-07,"New Hampshire Democratic debate, health care exchange",,
b16bd3af1bea3d606023bec9,race-be73fd30b364372edaf2,Eleanor Chavez,2024-06-04,Democratic,unopposed,verified,healthcare,coverage_expansion,support,Take on insurance companies and Pharma to lower premiums and prescription drug prices.,https://www.eleanorchavez.com/issues,official_campaign_page,,Issues,,
53280093661e470d8faa9a90,race-5db7edca6b190a1d4c39,Zachary Parker,2022-06-21,Democratic,endorsed,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
7d1fe73b5b3271a408d881d3,race-b039f5d6691d15051b5d,Byron W. Brown,2021-06-22,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
cfb26b3698efd58ebd4d1a9c,race-3db59a6535d2b87f2703,Justin Brannan,2017-09-12,Democratic,opponent,verified,democracy,voting_rights,support,"Once elected to the City Council I will make it a priority that constituents in my district have an easy time registering to vote. We need early voting, shorter waiting time to switch parties and consolidated primaries.",https://d3n8a8pro7vhmx.cloudfront.net/newkings/pages/268/attachments/original/1495475306/Brannan_NKD_City_Council_Candidate_Questionnaire_2017.pdf,candidate_questionnaire,2017-05-22,"Voting access answer, PDF page 1",,
0c67c498d6cbadef19f4ddb8,race-95a691a9cb8491b42328,Shaun Griffith,2026-05-19,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
e3d1bc8d20386f1e3979b790,race-7280deaba4ff6d65102b,Morton Minsley,2026-06-23,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
45a9179fc4ca5dfa49d6335d,race-771aff796d89fe4ec1df,Holly Friedman,2025-10-11,Democratic,opponent,verified,housing,public_housing,support,I support dedicating Housing Trust Fund investments toward: 1. Preserving existing affordable housing units in high opportunity neighborhoods. 2. Supporting small scale infill development on City owned and adjudicated lots. 3. Funding projects that support long term affordability through deed restrictions and shared equity models.,https://www.bgr.org/wp-content/uploads/BGR-2025-New-Orleans-City-Council-Candidate-QA-District-A.pdf,candidate_questionnaire,,"Question 12, PDF page 36",,
94b05705e1cbd4d8af535959,race-d892092155bdfe3ed17e,Shane Robinson,2018-06-26,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
53d7bcbf5dae8a3174b96971,race-ab159e431662d849f3f8,Peter Williams,2019-10-12,Democratic,opponent,verified,education,free_college,support,Tuition-free public education should be guaranteed through college.,https://ivoterguide.com/candidate/25233/race/8293/election/664,candidate_questionnaire,,Education,,
ff1ca55aef8968888da3752e,race-d3d54e895ad132bafc82,Beth Mountsier,2019-08-06,,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
53e24d831bed163f905aaed9,race-c322c6a34951f0c48895,Rick Krajewski,2022-05-17,Democratic,endorsed,verified,housing,tenant_rights,support,His proudest accomplishments include winning a $2.5 million allocation to establish a statewide tenants’ right to counsel—ensuring low-income renters facing eviction or discrimination can access free legal representation in our courts.,https://www.rickforphilly.com/,official_campaign_page,,Campaign biography,,
81ece5f691f35978d38c62e8,race-a5186a12bf492f76df58,Gloria Doherty,2024-06-04,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3baa10fc74b47221e57cafc8,race-af2946bea89ae6832a3c,Tiffany Cabán,2021-06-22,Democratic,endorsed,verified,public_safety,police_abolition,support,"This is a public safety plan. It’s a roadmap that empowers people, not police, to keep our communities safe.",https://qns.com/2021/02/caban-lays-out-new-vision-for-public-safety-policy-platform-for-nyc/,official_campaign_release,2021-02-03,Public safety platform release,,
692ad11f593418d90b3e979f,race-aed8879df9fbc709db76,Deval Patrick,2020-03-03,Democratic,opponent,verified,healthcare,public_option,support,"The agenda proposes building on the Affordable Care Act with a public option to ensure access to universal, affordable health care coverage and strengthening coverage for mental health and addiction services.",https://www.presidency.ucsb.edu/documents/patrick-campaign-press-release-deval-patrick-unveils-reform-agenda,official_campaign_release,2020-01-29,Reform Agenda release,,
13b60431e2ba9f5550382cbd,race-a4cb4c786c15bc1f06d5,Sherman Hardy,2026-06-23,Democratic,opponent,verified,public_safety,police_reform,support,"On public safety, I support strong backing for police, fire, EMS, and emergency preparedness with accountability and smart deployment.",https://pgproudmag.com/2026/04/17/candidate-qa-8-questions-with-sherman-hardy/,candidate_questionnaire,2026-04-17,Question 4,,
4936cc965a603b1211082424,race-ac18370d47435bd68552,Marcia Kelbon,2026-08-04,No Party Preference,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
c735cd77d073f63c047287a6,race-739b00d07e247e111eb1,Gavin Richard,2025-10-11,No Party,opponent,verified,public_safety,police_reform,support,"We need a police department that is committed to not only protecting and serving the community, but also officers who are from those area, walking the beat.",https://www.bgr.org/wp-content/uploads/BGR-2025-New-Orleans-City-Council-Candidate-QA-District-E.pdf,candidate_questionnaire,,"City services answer, PDF page 8",,
9610d409c6162f68e833589c,race-8136e9ee637d909073dd,Kathryn Gabor,2019-02-19,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3cdfbadcb07297b0d915dc13,race-3db59a6535d2b87f2703,Kevin Carroll,2017-09-12,Democratic,opponent,verified,housing,rent_control,support,We should be finding out ways to increase rent stabilization.,https://bklyner.com/meet-candidate-kevin-peter-carroll-bay-ridges-district-43/,candidate_interview,2017-07-19,Rent stabilization and affordable housing,,
1ac8be424337c043b5f62300,race-d3d54e895ad132bafc82,Alex Pedersen,2019-08-06,,opponent,verified,public_safety,police_reform,support,I will maximize mental health and drug addiction programs to achieve real results on this regional crisis.,https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Alex_Pedersen_Candidate_Council_District,official_candidate_video,2019-07-12,"Candidate video, about 0:31",,
08e657d335619ed8816312c7,race-95a691a9cb8491b42328,Sharif Street,2026-05-19,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
0fc2f3541c3c526e433086d8,race-248037f4a8dd844f2fd3,Angel Subervi,2020-09-08,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
2b1891d26879b507ff470bb6,race-de3a3ef025ba2f70352c,Debora Juarez,2019-08-06,Nonpartisan,opponent,verified,housing,public_housing,support,"In addition, we are building 1,200 units of affordable housing in D5.",https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Debora_Juarez_Candidate_Council_District,official_candidate_video,2019-07-12,"Candidate video, about 1:32",,
143ee81483ac1a706735929d,race-cd399ec12b7b060fffa5,John McKinney,2026-06-02,Nonpartisan,opponent,verified,public_safety,police_reform,support,"I will challenge the status quo to ensure the law is applied fairly, consistently, and with integrity.",https://mckinney4la.com/local-prosecutor-john-mckinney-announces-candidacy-for-los-angeles-city-attorney/,official_campaign_release,2026-03-24,Campaign announcement,,
6f13447cf4a723cb5de1a4f8,race-d696522faa4508ad99d7,Robert Graham,2026-06-02,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
fb0be17eef7f4a783becd7e9,race-e0d4748f07ff2fb03395,Kirill Reznik,2022-07-19,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
a0668cbe9af2750694e2d06b,race-37d84e89f40adca092d4,Philip Baruth,2024-08-13,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
4ec7992a55e49c8b2018d0de,race-76f51d329af062247a1f,Andrea Suarez,2024-08-06,Democratic,opponent,verified,public_safety,police_reform,support,I envision an equitable approach to public safety. We need to make sure our police officers treat everyone with respect and dignity with ongoing training and oversight.,https://electandrea.com/my-vision/,official_campaign_page,2024-06-01,My Vision: Public Safety,,
e60d91e4ff103861dd31da53,race-e166c53fb5f8e99b0379,John Whitmire,2022-03-01,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
7afc0bb6d79ad6a50abf540a,race-a4cb4c786c15bc1f06d5,Imara Crooms,2026-06-23,Democratic,endorsed,verified,education,public_schools,support,"Hard-working families who invest and sacrifice here deserve to see the fruit of their commitment through quality schools, safe neighborhoods, and real opportunity.",https://www.imaracrooms.com/,official_campaign_page,,Home page,,
a8efbdfd9e47ec5c05144cb8,race-a493243e3fd4b72b829f,Rini Sampath,2026-06-16,Democratic,opponent,verified,public_safety,police_reform,support,"I will stabilize MPD staffing to end the overtime spiral, reinvest those savings in communities, and require MPD to publish disaggregated crime data by ward and race on a regular public schedule.",https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-rini-sampath/,candidate_interview,2026-06-07,Public safety answer,,
d247d7d0615375fcb33f4ab4,race-739b00d07e247e111eb1,Jason Hughes,2025-10-11,Democratic,opponent,verified,housing,tenant_rights,support,Current short term rental rules and regulations must be enforced.,https://lwvofla.org/CBS_FILES/LWV_2025_FALL/lwv_2025_fall.php?Show=Show&Key=2577655950&Org=N,candidate_questionnaire,,Question 5,,Classified as tenant rights because the answer calls for enforcement of existing short-term-rental protections.
383f0a4f47bb098fa8cb9ac1,race-a5c9cc4ff2b525bcb410,Doug S. Chin,2018-08-11,Democratic,opponent,verified,climate_energy,emissions,support,"In Congress, I will follow in the footsteps of visionary leaders – like U.S. senators Brian Schatz and Bernie Sanders – to be a steadfast champion for preserving our precious natural resources, reducing greenhouse emissions, and stopping climate change.",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-doug-chin/,candidate_questionnaire,2018-07-12,Question 5,,
2f9d18458cb5dd6a225469c7,race-ac18370d47435bd68552,Kaylee Kuehn,2026-08-04,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3e414e25eb62673b78ecb1c8,race-d3d54e895ad132bafc82,Heidi Stuber,2019-08-06,,opponent,verified,climate_energy,transit,support,"We need a new kind of leader in Seattle, someone who will take action to solve the big problems facing our city like homelessness, affordability, transportation, and climate change.",https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Heidi_Stuber_Candidate_Council_District_,official_candidate_video,2019-07-12,"Candidate video, about 0:39",,
ded7389d00beef00798a1a0b,race-d74df06a662d8e830bb8,Bryant Junco,2025-02-18,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
