cycle,county,status,source_id,raw_filename,source_url,notes
2024,Nye,captured_final,nv-2024-nye-final-results,nv/2024/nv-2024-nye-final-results.pdf,https://www.nyecountynv.gov/DocumentCenter/View/46792/,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2024,Pershing,route_exhausted_no_artifact,,,https://pershingcountynv.gov/government/county-clerk-treasurer/elections/,Official elections route returns HTTP 404; indexed official search found no final.
2024,Storey,route_exhausted_no_artifact,,,https://www.storeycounty.org/208/Election-Information,"Official page returns 200 but links only 2026 final summary/CVR/canvass; indexed official search found only 2024 canvass meeting notices, no result file."
2024,Washoe,route_exhausted_no_artifact,,,https://www.washoecounty.gov/voters/results/resultsdata/2024primaryresults.pdf,"Exact official PDF route now returns HTTP 404. Wayback CDX identifies a 2026-02-28 PDF capture, but all replay modifiers return HTTP 404; alternate resultsfiles route has no capture."
2024,White Pine,captured_final,nv-2024-white-pine-canvass,nv/2024/nv-2024-white-pine-canvass.pdf,https://www.whitepinecounty.net/DocumentCenter/View/10150/2024-Primary-Canvass,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Carson City,route_exhausted_no_artifact,,,https://www.carsoncity.gov/government/departments-a-f/clerk-recorder/elections-department/election-results-and-historical-information,Official results/history page returns HTTP 403 and indexed official search exposes no 2026 final document route.
2026,Churchill,captured_final,nv-2026-churchill-final-summary,nv/2026/nv-2026-churchill-final-summary.pdf,https://www.churchillcountynv.gov/Archive.aspx?ADID=1412,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Clark,captured_final,nv-2026-clark-official-results,nv/2026/nv-2026-clark-official-results.html,https://elections.clarkcountynv.gov/ElectionResults_NV/ENR/EnrMain,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Douglas,route_exhausted_no_artifact,,,https://cltr.douglascountynv.gov/elections/results-and-resources,"Official 2026 primary and results/resources pages returned 200 but page source contained no final results, canvass, SOV, CVR, PDF, CSV, or ZIP export."
2026,Elko,route_exhausted_no_artifact,,,https://www.elkocountynv.net/departments/clerk/election_results.php,Official election-results and elections paths returned HTTP 404; indexed official-site search exposed no 2026 primary final document.
2026,Esmeralda,route_exhausted_no_artifact,,,https://www.accessesmeralda.com/,Current official site returns 200 but exposes no election/results links; legacy esmeraldacountynv.org connection fails and indexed official search found no 2026 final document.
2026,Eureka,captured_final,nv-2026-eureka-final-summary,nv/2026/nv-2026-eureka-final-summary.pdf,https://www.eurekacountynv.gov/media/hafnpn3j/eureka2026primarysummaryfinal.pdf,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Humboldt,captured_final,nv-2026-humboldt-canvass-sov,nv/2026/nv-2026-humboldt-canvass-sov.pdf,https://www.humboldtcountynv.gov/DocumentCenter/View/8700,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Lander,route_exhausted_no_artifact,,,https://www.landercountynv.org/government/county-clerk/elections,Official elections route returns HTTP 404; indexed official search found no final.
2026,Lincoln,route_exhausted_no_artifact,,,https://lincolncountynv.org/government/county-clerk/elections/,Official elections route returns HTTP 404; indexed official search found no final.
2026,Lyon,captured_final,nv-2026-lyon-final-results,nv/2026/nv-2026-lyon-final-results.pdf,https://www.lyon-county.org/DocumentCenter/View/14189,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Mineral,route_exhausted_no_artifact,,,https://www.mineralcountynv.us/government/clerk_treasurer/elections.php,Official elections route returns HTTP 404; indexed official search found no final.
2026,Nye,captured_final,nv-2026-nye-final-results,nv/2026/nv-2026-nye-final-results.pdf,https://www.nyecountynv.gov/DocumentCenter/View/51331/,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Pershing,route_exhausted_no_artifact,,,https://pershingcountynv.gov/government/county-clerk-treasurer/elections/,Official elections route returns HTTP 404; indexed official search found no final.
2026,Storey,captured_final,nv-2026-storey-final-summary,nv/2026/nv-2026-storey-final-summary.pdf,https://www.storeycounty.org/DocumentCenter/View/23105,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2026,Washoe,route_exhausted_no_artifact,,,https://www.washoecounty.gov/voters/results/resultsdata/2026primaryresults.pdf,Official resultsdata and resultsfiles PDF patterns return HTTP 404; legacy 2026data and election-results pages also return HTTP 404.
2026,White Pine,route_exhausted_no_artifact,,,https://www.whitepinecounty.net/689/2026-Election,Requested year route redirects to the 2024 election page; alternate /710 route redirects to CivicPlus authentication/Paused Projects; indexed search found only a canvass agenda and no final result document.
