source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,acquisition_url,raw_filename,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
nv-2026-churchill-final-summary,NV,2026-06-09,primary,official_county_final_summary_pdf,Churchill County Clerk-Treasurer,https://www.churchillcountynv.gov/Archive.aspx?AMID=89,https://www.churchillcountynv.gov/Archive.aspx?ADID=1412,https://www.churchillcountynv.gov/Archive.aspx?ADID=1412,nv/2026/nv-2026-churchill-final-summary.pdf,56dfb95cc73e294e4e9c2696d39d467a8212203427fea34ad3e442eecaa1b625,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Churchill County final candidate summary,federal contest pages in the county final summary,Supporting county artifact only; partial district totals are not published.
nv-2026-churchill-sov,NV,2026-06-09,primary,official_county_canvass_pdf,Churchill County Clerk-Treasurer,https://www.churchillcountynv.gov/Archive.aspx?AMID=89,https://www.churchillcountynv.gov/Archive.aspx?ADID=1413,https://www.churchillcountynv.gov/Archive.aspx?ADID=1413,nv/2026/nv-2026-churchill-sov.pdf,21b97fd8b06e220ac54952f3967cca2159b2571baf064e05e6eb511e06cdefcf,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Churchill County final precinct Statement of Votes Cast,federal contest pages in the county final summary,Verification companion; partial district totals are not published.
nv-2024-churchill-final-summary,NV,2024-06-11,primary,official_county_final_summary_pdf,Churchill County Clerk-Treasurer,https://www.churchillcountynv.gov/Archive.aspx?AMID=88,https://www.churchillcountynv.gov/Archive.aspx?ADID=1392,https://www.churchillcountynv.gov/Archive.aspx?ADID=1392,nv/2024/nv-2024-churchill-final-summary.pdf,5a526730e942c765a9d8cff5084297fb51380c2100f63497031ed600e214f9aa,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Churchill County 2024 final candidate summary,federal contest pages in the county final summary,Supporting county artifact only; partial statewide totals are not published.
nv-2024-churchill-sov,NV,2024-06-11,primary,official_county_canvass_pdf,Churchill County Clerk-Treasurer,https://www.churchillcountynv.gov/Archive.aspx?AMID=88,https://www.churchillcountynv.gov/Archive.aspx?ADID=1393,https://www.churchillcountynv.gov/Archive.aspx?ADID=1393,nv/2024/nv-2024-churchill-sov.pdf,79db8b7d8b6d4c953aacc8fae69049ccd567819015e284596ce03cd117c7c425,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Churchill County 2024 final precinct Statement of Votes Cast,federal contest pages in the county final summary,Verification companion; partial statewide totals are not published.
nv-2026-humboldt-canvass-sov,NV,2026-06-09,primary,official_county_canvass_pdf,Humboldt County Clerk,https://www.humboldtcountynv.gov/317/Elections,https://www.humboldtcountynv.gov/DocumentCenter/View/8700,https://www.humboldtcountynv.gov/DocumentCenter/View/8700,nv/2026/nv-2026-humboldt-canvass-sov.pdf,c73dc61aca151eb5e8713adb94460c39dd5d6c4a058fce2f92f19ef87af7b4c5,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Humboldt County signed canvass and final Statement of Votes Cast,federal contest pages in the county final summary,Supporting county artifact only; partial district totals are not published.
nv-2024-lyon-final-results,NV,2024-06-11,primary,official_county_final_summary_pdf,Lyon County Clerk-Treasurer,https://www.lyon-county.org/801/Elections,https://www.lyon-county.org/DocumentCenter/View/12792,https://www.lyon-county.org/DocumentCenter/View/12792,nv/2024/nv-2024-lyon-final-results.pdf,48a496419d8b0a967b04402d004fc2a12ccab812fa46e2fcac6f3f67dcbdbdb8,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Lyon County 2024 final primary results,federal contest pages in the county final summary,Split congressional district portions retained; no partial totals published.
nv-2026-lyon-final-results,NV,2026-06-09,primary,official_county_final_summary_pdf,Lyon County Clerk-Treasurer,https://www.lyon-county.org/801/Elections,https://www.lyon-county.org/DocumentCenter/View/14189,https://www.lyon-county.org/DocumentCenter/View/14189,nv/2026/nv-2026-lyon-final-results.pdf,4bdf37f459f2692aa1c33a4a62a81914a25987df1f2950d2bc68b7d2aa6bc6a4,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Lyon County 2026 final primary results for District 2/4 precinct portions,federal contest pages in the county final summary,Split congressional district portions retained; no partial totals published.
nv-2024-eureka-final-summary,NV,2024-06-11,primary,official_county_final_summary_pdf,Eureka County Clerk,https://www.eurekacountynv.gov/departments/clerk-recorder/elections/,https://www.eurekacountynv.gov/media/zgonh0ih/eureka2024primarysummaryfinal.pdf,https://www.eurekacountynv.gov/media/zgonh0ih/eureka2024primarysummaryfinal.pdf,nv/2024/nv-2024-eureka-final-summary.pdf,0c3ead99167b986b67750ced6c5b7f12f774786af27bd5b60ba8b9dd60e8a267,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Eureka County 2024 final candidate summary,federal contest pages in the county final summary,Supporting county artifact only; partial statewide totals are not published.
nv-2024-nye-final-results,NV,2024-06-11,primary,official_county_final_summary_pdf,Nye County Clerk,https://www.nyecountynv.gov/1144/Past-Elections,https://www.nyecountynv.gov/DocumentCenter/View/46792/,https://www.nyecountynv.gov/DocumentCenter/View/46792/,nv/2024/nv-2024-nye-final-results.pdf,dc694e4e47cbe5dd6b5127a2aa66cdf6fb6b1d065cd4457ae1099a27ac138970,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Nye County 2024 final results,federal contest pages in the county final summary,Supporting county artifact only; partial statewide totals are not published.
nv-2026-nye-final-results,NV,2026-06-09,primary,official_county_final_summary_pdf,Nye County Clerk,https://www.nyecountynv.gov/1144/Past-Elections,https://www.nyecountynv.gov/DocumentCenter/View/51331/,https://www.nyecountynv.gov/DocumentCenter/View/51331/,nv/2026/nv-2026-nye-final-results.pdf,97e9c9962125185337a8c6dccd12c11e7f04208a19728582a47be1b19deeaf48,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Nye County 2026 final results,federal contest pages in the county final summary,Supporting county artifact only; partial district totals are not published.
nv-2024-white-pine-canvass,NV,2024-06-11,primary,official_county_canvass_pdf,White Pine County Clerk,https://www.whitepinecounty.net/689/2024-Election,https://www.whitepinecounty.net/DocumentCenter/View/10150/2024-Primary-Canvass,https://www.whitepinecounty.net/DocumentCenter/View/10150/2024-Primary-Canvass,nv/2024/nv-2024-white-pine-canvass.pdf,cf7a9beda69636b0e2b67666b6413d95410e16b3ec1ebaef989156c70402f983,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,White Pine County 2024 signed primary canvass,federal contest pages in the county final summary,Supporting county artifact only; partial statewide totals are not published.
ut-2024-primary-statewide-canvass,UT,2024-06-25,primary,official_statewide_canvass_pdf,Utah Lieutenant Governor Elections Office,https://vote.utah.gov/2024-election-information/,https://vote.utah.gov/wp-content/uploads/2024/07/2024-Primary-Election-State-Canvass-Final-Signed.pdf,https://vote.utah.gov/wp-content/uploads/2024/07/2024-Primary-Election-State-Canvass-Final-Signed.pdf,ut/2024/ut-2024-primary-statewide-canvass.pdf,06dd4157669604ec062ce62a19a4300b6a64b44f1a19a29ed7aec3f9b4889ede,captured,verified_official,official,final_certified_totals,13,4,all numeric multi-county federal primary contests in the canvass,source row/page locators recorded per result row,
ut-2026-primary-statewide-certification,UT,2026-06-23,primary,official_statewide_canvass_pdf,Utah Lieutenant Governor Elections Office,https://www.utah.gov/pmn/sitemap/notice/1095127.html,https://www.utah.gov/pmn/files/1464329.pdf,https://www.utah.gov/pmn/files/1464329.pdf,ut/2026/ut-2026-primary-statewide-certification.pdf,40cbbdcb153a5fb2a240f1db0b6f3c810c23719dedf79876b7e3f1f7a673c426,captured,verified_official,official,final_certified_totals,4,2,all numeric multi-county federal primary contests in the canvass,source row/page locators recorded per result row,
ut-2026-salt-lake-official-summary,UT,2026-06-23,primary,official_county_summary_pdf,Utah Lieutenant Governor Elections Office,https://electionresults.utah.gov/results/public/Utah/elections/Primary06232026/reports,https://electionresults.utah.gov/cdn/results/a7510980-7b10-4aca-a2d8-ff92951aca1c/FINAL%20OFFICIAL%20ElectionSummaryReportRPT_4f4ea355-06ab-4d3e-aa2d-13e063024886.pdf,https://electionresults.utah.gov/cdn/results/a7510980-7b10-4aca-a2d8-ff92951aca1c/FINAL%20OFFICIAL%20ElectionSummaryReportRPT_4f4ea355-06ab-4d3e-aa2d-13e063024886.pdf,ut/2026/ut-2026-salt-lake-official-summary.pdf,42c2ab05bba5299237185f9aa472be9f6a742aedca27ae450dddd991b5149a3c,captured,verified_official,official,final_certified_totals,4,1,Salt Lake County single-county U.S. House District 1 Democratic primary,source row/page locators recorded per result row,"The statewide certification labels U.S. House District 1 a single-county race, certified at county level; this final Salt Lake summary is therefore the complete district result."
