TOTAL VOTER TURNOUT: 5,984,939
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			181			
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			404			
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			171			
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			720			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			904			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			5188			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1497			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1620			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			293			
2024-08-06	7	0	0	8	BARRY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			5677			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			857			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			753			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1019			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			8728			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			1660			
2024-08-06	7	0	0	9	BAY	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			7004			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			267			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			311			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			474			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			2424			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			297			
2024-08-06	7	0	0	10	BENZIE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			1648			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			855			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			1824			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			6702			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			6363			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			2898			
2024-08-06	7	0	0	11	BERRIEN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			8845			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			448			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			1069			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			821			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1160			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			184			
2024-08-06	7	0	0	12	BRANCH	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			3670			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			818			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			3023			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			873			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			5788			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			1729			
2024-08-06	7	0	0	13	CALHOUN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			6096			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			327			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			562			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1119			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1599			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			536			
2024-08-06	7	0	0	14	CASS	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			3001			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			565			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			682			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			761			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			2266			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			264			
2024-08-06	7	0	0	15	CHARLEVOIX	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2922			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			515			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			598			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1018			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1601			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			198			
2024-08-06	7	0	0	16	CHEBOYGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			3036			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			480			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			337			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			636			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1817			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			337			
2024-08-06	7	0	0	17	CHIPPEWA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2124			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			416			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			396			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			407			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1436			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			248			
2024-08-06	7	0	0	18	CLARE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2774			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			292			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			779			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			584			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			7356			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			386			
2024-08-06	7	0	0	19	CLINTON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			7032			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			249			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			186			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			277			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			788			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			115			
2024-08-06	7	0	0	20	CRAWFORD	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			1300			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			343			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			326			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			748			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1944			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			652			
2024-08-06	7	0	0	21	DELTA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2382			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			306			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			313			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			461			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1333			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			394			
2024-08-06	7	0	0	22	DICKINSON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			1915			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			385			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			973			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			838			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			10358			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			850			
2024-08-06	7	0	0	23	EATON	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			7345			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			691			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			876			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1063			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			2776			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			304			
2024-08-06	7	0	0	24	EMMET	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			3519			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			1855			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			2186			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			2016			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			30198			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			13533			
2024-08-06	7	0	0	25	GENESEE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			17333			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			349			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			368			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			466			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1270			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			241			
2024-08-06	7	0	0	26	GLADWIN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2973			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			98			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			151			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			176			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			904			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			272			
2024-08-06	7	0	0	27	GOGEBIC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			888			
2024-08-06	7	0	0	28	GRAND TRAVERSE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			1319			
2024-08-06	7	0	0	28	GRAND TRAVERSE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			2106			
2024-08-06	7	0	0	28	GRAND TRAVERSE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			1827			
2024-08-06	7	0	0	28	GRAND TRAVERSE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			9590			
2024-08-06	7	0	0	28	GRAND TRAVERSE	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			1290			
