race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-2fe58715c24c42ff8338,2020-03-03,State Assembly,District 78,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-34447ab34d9b093ff08a,2020-08-04,State House,District 4,Michigan,MI,https://mielections.us/election/results/2020PRI_CENR.html,verified,Verified on Michigan Secretary of State 2020 primary results.
race-35217e2dd2fbf27eafc1,2020-08-04,State House,District 19 Position 1,Washington,WA,https://results.vote.wa.gov/results/20200804/legislative-district-19-state-representative-pos-1.html,verified,"Verified on Washington Secretary of State August 4, 2020 primary results."
race-38c2bd8a8965b9dd0b5a,2020-06-02,State House,District 184,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Verified on Pennsylvania Department of State 2020 primary results; Elizabeth Fiedler was unopposed.
race-3beef604baf61c83ac0c,2020-08-04,US House,District 2,Washington,WA,https://results.vote.wa.gov/results/20200804/congressional-district-2-us-representative.html,verified,"Verified on Washington Secretary of State August 4, 2020 primary results."
race-3c627e0363e4b2564075,2020-09-01,State Representative,27th Middlesex District,Massachusetts,MA,https://electionstats.state.ma.us/elections/view/140574/,verified,Verified on Massachusetts Election Statistics 2020 state primary results.
race-4039c8c7f564597846fa,2020-06-02,City Council,Baltimore District 4,Maryland,MD,https://results.elections.maryland.gov/elections/2020/results/primary/index.html,verified,Verified on Maryland State Board of Elections 2020 primary results.
race-43e72676de9c6085ee97,2020-06-30,County Commissioner,Larimer County District 3,Colorado,CO,https://www.larimer.org/sites/default/files/uploads/2020/larimer_county_2020_primary_election_summary_report.pdf,verified,Verified on Larimer County official 2020 primary summary report.
race-4ccedc03fd0aec1094b0,2020-06-23,US House,District 16,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-4f7375b495a669836478,2020-06-23,State Assembly,District 36,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-5096e76dd885c0d5395c,2020-11-03,State Senate,District 39,Georgia,GA,https://results.enr.clarityelections.com/GA/Fulton/105410/web.264614/#/summary,verified,Verified on Fulton County official special primary results for Georgia Senate District 39.
race-53f4a0c7a1770190ca18,2020-09-15,US Senate,Delaware,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-545d24c0467c329fe6e1,2020-06-23,City Council,Louisville Metro Council District 10,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Pages/2020.aspx,source_unavailable,"Jefferson County Clerk is the official local source, but a stable race-specific archived results URL for the Ryan Fenwick/Pat Mulvihill primary was not recoverable in the bounded pass. Kentucky and county official results locations were checked."
race-58bd65d4bf27835baac1,2020-03-17,US House,District 11,Illinois,IL,https://www.elections.il.gov/ElectionOperations/ElectionResults.aspx,verified,Verified on Illinois State Board of Elections 2020 primary results.
race-5e5b97772655d92ca963,2020-06-23,President,Statewide,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Documents/primary20detail.txt,verified,Verified on Kentucky State Board of Elections 2020 presidential primary detail results.
race-6257eff967cc9b358e87,2020-03-03,US House,District 53,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-671431314d6098bad4f2,2020-09-01,US Senate,Statewide,Massachusetts,MA,https://electionstats.state.ma.us/elections/view/140574/,verified,Verified on Massachusetts Election Statistics 2020 state primary results.
race-67aab1345a0c0f830221,2020-03-03,State Assembly,District 64,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-695f3443e4961cfa625f,2020-08-04,County Commissioner,Douglas County District 2,Kansas,KS,https://www.douglascountyks.org/depts/clerk/elections/election-result-archives,verified,"Verified on Douglas County, Kansas election archives; official candidate field included additional candidates not present in the queue row."
race-6eae8594188f3f85bd66,2020-08-04,State House,District 22 Position 2,Washington,WA,https://results.vote.wa.gov/results/20200804/legislativedistrict22.html,verified,"Verified on Washington Secretary of State August 4, 2020 primary results."
race-707589896734489b0382,2020-03-10,President,Statewide,Washington,WA,https://results.vote.wa.gov/results/20200310/president-democratic-party.html,verified,"Verified on Washington Secretary of State March 10, 2020 presidential primary results."
race-70d6e7aea0a07570e2a8,2020-08-11,State Senate,District 26,Wisconsin,WI,https://elections.wi.gov/elections-voting/results,verified,Verified on Wisconsin Elections Commission 2020 partisan primary results.
race-71eb1dc46eec69477a01,2020-09-15,State House,District 26,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-7ab35229d5841ad0bb44,2020-03-03,District Attorney,Travis County,Texas,TX,https://countyclerk.traviscountytx.gov/elections/results/2020/20200303/20200303_Dem.pdf,verified,"Verified on Travis County official March 3, 2020 Democratic primary returns and Texas statewide results portal."
race-7ded791ebe860d42de68,2020-06-02,City Council,Ward 4,District of Columbia,DC,https://electionresults.dcboe.org/election_results/2020-Primary-Election,verified,Verified on DC Board of Elections 2020 primary results.
race-821c6c804097fcedd897,2020-03-03,State Assembly,District 25,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-9041fe23eca88c27b6bf,2020-05-19,State House,District 42,Oregon,OR,https://sos.oregon.gov/elections/Documents/results/may-2020-official.pdf,verified,Verified on Oregon Secretary of State May 2020 official results.
race-980dc8b6fade3efe9c74,2020-03-03,President,Statewide,Colorado,CO,https://www.sos.state.co.us/pubs/elections/Results/2020/PresidentialPrimary/resultsD.html,verified,"Verified on Colorado Secretary of State March 3, 2020 presidential primary results."
race-98a94ea45af952a751bc,2020-05-19,US House,District 3,Oregon,OR,https://sos.oregon.gov/elections/Documents/results/may-2020-official.pdf,verified,Verified on Oregon Secretary of State May 2020 official results.
race-9d82dba19c1d7ed773d0,2020-05-19,US House,District 5,Oregon,OR,https://sos.oregon.gov/elections/Documents/results/may-2020-official.pdf,verified,Verified on Oregon Secretary of State May 2020 official results.
race-a15fa79529a2d8246fd8,2020-06-23,US House,District 14,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results; corrected mistaken state metadata from the queue row."
race-a4f6ebb856fb4c3cc6a2,2020-03-17,US House,District 7,Illinois,IL,https://www.elections.il.gov/ElectionOperations/ElectionResults.aspx,verified,Verified on Illinois State Board of Elections 2020 primary results; corrected mistaken state metadata from the queue row.
race-a79342159e3444bf6767,2020-03-03,US House,District 25,Texas,TX,https://elections.sos.state.tx.us/elchist331_state.htm,verified,Verified on Texas Secretary of State 2020 primary results.
race-aa5003c070b361f1e672,2020-08-04,County Commissioner,Douglas County District 3,Kansas,KS,https://www.douglascountyks.org/depts/clerk/elections/election-result-archives,verified,"Verified on Douglas County, Kansas election archives."
race-aed8879df9fbc709db76,2020-03-03,President,Statewide,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 presidential primary records."
race-b2f56d1987a501b29012,2020-06-23,President,Statewide,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020presprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 presidential primary results; corrected mistaken office/state metadata from the queue row."
race-b701775ebc5e0586ec3c,2020-06-23,State Assembly,District 57,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-bc91cd01622a56afcdbd,2020-06-23,State Senate,District 18,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-bdb8e4340ea9b3a4ff66,2020-08-04,District Attorney,Douglas County,Kansas,KS,https://www.douglascountyks.org/depts/clerk/elections/election-result-archives,verified,"Verified on Douglas County, Kansas election archives."
race-be4bad5778e280b31274,2020-08-06,US Senate,Statewide,Tennessee,TN,https://sos.tn.gov/elections/results-2020,verified,Verified on Tennessee Secretary of State 2020 primary results.
race-c1bc1ffe72e97dc4e320,2020-03-10,President,Statewide,Idaho,ID,https://sos.idaho.gov/elect/results/2020/Primary/statewide_totals.html,verified,"Verified on Idaho Secretary of State March 10, 2020 presidential primary results."
race-c3b021b27cd1f9089be2,2020-03-03,President,Statewide,Vermont,VT,https://electionarchive.vermont.gov/elections/view/143380/,verified,Verified on Vermont Secretary of State Democratic presidential primary results.
race-c5d0d4ddd63f35adacc7,2020-08-04,US House,District 13,Michigan,MI,https://mielections.us/election/results/2020PRI_CENR.html,verified,Verified on Michigan Secretary of State 2020 primary results.
race-caaa92bf3977191343ac,2020-09-15,City Council,Wilmington District 2,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-d07bcf8f1b4fd12c23bb,2020-08-04,State Senate,District 5,Missouri,MO,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/All_Results_2020_Primary_8_4_2020.pdf/,verified,Verified on Missouri Secretary of State 2020 primary results.
race-d0a205ac0803c1dc637e,2020-03-03,State Senate,District 13,California,CA,https://elections.cdn.sos.ca.gov/returns/state-sen/district/13.htm,verified,"Verified on California Secretary of State March 3, 2020 district results."
race-d48f1a508deba96b730b,2020-06-02,President,Statewide,District of Columbia,DC,https://electionresults.dcboe.org/election_results/2020-Primary-Election,verified,Verified on DC Board of Elections certified results; the official contest included Elizabeth Warren in addition to the candidates captured in the queue row.
race-d79b97f8b9365c8484c1,2020-06-30,State House,District 52,Colorado,CO,https://www.larimer.org/sites/default/files/uploads/2020/larimer_county_2020_primary_election_summary_report.pdf,source_unavailable,"First-party campaign material identifies Yara Hanlin Zokaie as running for Colorado House District 52, but bounded official Colorado and Larimer County 2020 primary searches did not surface her as an official ballot candidate under this name."
race-d869a767938a99fbf252,2020-08-11,State Senate,District 17,Connecticut,CT,https://portal.ct.gov/SOTS/Election-Services/Election-Results/Results-by-Office-2020,verified,Verified on Connecticut Secretary of the State 2020 primary results.
race-de351b5bf3d35c3ad4d1,2020-03-17,President,Statewide,Florida,FL,https://results.elections.myflorida.com/Index.asp?ElectionDate=3/17/2020,verified,"Verified on Florida Division of Elections March 17, 2020 presidential preference primary results; corrected mistaken state metadata from the queue row."
race-de378ad3073d92f58c34,2020-08-04,City Council,Ann Arbor Ward 5,Michigan,MI,https://electionarchive.washtenaw.org/eng/contests/view/2527,verified,Verified on the official Washtenaw County Elections database.
race-dea09345e3386c2ae157,2020-03-03,State Senate,District 11,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-e172eca6da6aee3f3c56,2020-06-02,President,Statewide,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Verified on Pennsylvania Department of State presidential primary results.
race-e87a600880ee817b68f9,2020-03-03,US House,District 12,California,CA,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,verified,"Verified on California Secretary of State March 3, 2020 statement of vote."
race-e8d8bf3d5cbd3d734a6f,2020-03-03,US House,District 4,North Carolina,NC,https://er.ncsbe.gov/?election_dt=03/03/2020&county_id=0&office=FED&contest=0,verified,"Verified on North Carolina State Board of Elections March 3, 2020 primary results."
race-ea5afd75c9af396451a4,2020-03-03,President,Statewide,Virginia,VA,https://historical.elections.virginia.gov/contest/139527,verified,"Verified on Virginia Department of Elections March 3, 2020 Democratic primary results."
race-eaa79aedeab5e04f8046,2020-06-23,State House,District 28,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Pages/2020.aspx,verified,Verified on Kentucky State Board of Elections 2020 primary results.
race-ed78b96c6f3c0fcafb06,2020-09-01,State Representative,34th Middlesex District,Massachusetts,MA,https://electionstats.state.ma.us/elections/view/140574/,verified,Verified on Massachusetts Election Statistics 2020 state primary results.
race-f2c9d92dc23853bec68c,2020-09-15,State House,District 7,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-f3f07859937b7b7f9309,2020-06-23,City Council,Louisville Metro Council District 4,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Pages/2020.aspx,source_unavailable,"Jefferson County Clerk is the official local source, but a stable race-specific archived results URL for the Robert LeVertis Bell primary was not recoverable in the bounded pass. Kentucky and county official results locations were checked."
race-f8472a6d24864b436bac,2020-06-23,State Senate,District 25,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-faedb9eae89753fe8246,2020-06-02,State House,District 188,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Verified on Pennsylvania Department of State 2020 primary results.
race-fb8880263e03b2c97832,2020-05-19,US House,District 4,Oregon,OR,https://sos.oregon.gov/elections/Documents/results/may-2020-official.pdf,verified,Verified on Oregon Secretary of State May 2020 official results.
