record_id,campaign,endorsement_election_date,office,classification,primary_date,primary_party,state,state_code,jurisdiction,official_election_source,opponents,verification_status,notes
rece2arOEOUC7Xo1f,Jon Grant,2017-11-07,"City Council, Seattle - Position 8",nonpartisan_primary,2017-08-01,Nonpartisan,Washington,WA,Seattle,https://cdn.kingcounty.gov/-/media/king-county/depts/elections/how-to-vote/voters-pamphlets/2017/08/edition-2.pdf,"Charlene Strong | Hisam Goueli | Mac McGregor | Rudy Pantoja | Sara E. Nelson | Sheley Secrest | Teresa Mosqueda",verified,"Seattle City Council used a nonpartisan top-two primary."
rec7RY6KfOVj4jftV,Tristan Rader,2017-11-07,"City Council, Lakewood - At-Large",general_only,,,Ohio,OH,Lakewood,source_unavailable,,source_unavailable,"No official primary record was recovered in the bounded pass; treated as general-only municipal candidacy."
recVxXOmhmKzuc3xx,Genevieve Jones-Wright,2018-06-05,"District Attorney, San Diego County",nonpartisan_primary,2018-06-05,Nonpartisan,California,CA,"San Diego County",https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/2018-complete-sov.pdf,Summer Stephan,verified,"California county district attorney race was on the June 2018 nonpartisan primary ballot."
rec0UFyP597OpQytj,Kaniela Ing,2018-08-11,"US House, HI-01",democratic_primary,2018-08-11,Democratic,Hawaii,HI,"Congressional District 1",https://files.hawaii.gov/elections/files/results/2018/primary/histatewide.pdf,"Beth Keiko Fukumoto | Donna Mercado Kim | Doug S. Chin | Ed Case | Ernest Yorihiko Martin | Sam Puletasi",verified,"Official Hawaii primary PDF and existing registry resolution agree."
rec86L5cxZpX2cLlO,Cliff Willmeng,2018-11-06,Boulder County Commissioner,democratic_primary,2018-06-26,Democratic,Colorado,CO,"Boulder County",https://www.coloradosos.gov/pubs/elections/Results/Abstract/2018/primary/index.html,,partial,"County commissioner is a partisan office; June 26 2018 was Colorado's primary date."
recQkWZPbUFRlNcnE,Kara Gloe,2018-11-06,"School Board, Moorhead",general_only,,,Minnesota,MN,Moorhead,source_unavailable,,partial,"Treated as a nonpartisan school-board general-election candidacy; no separate primary evidence recovered in the bounded pass."
recfnCHAQZgRyFsTO,Tony Kelly,2018-11-06,"San Francisco Board of Supervisors, District 10",general_only,,,California,CA,"San Francisco District 10",https://sfelections.org/results/20181106/,"Shamann Walton | Theo Ellington | Uzuri Pease-Greene | Gloria Berry | Asale Chandler",verified,"San Francisco Board of Supervisors district race appeared on the November 2018 ballot with no earlier primary."
reccwrJN64S6TImp4,Zak Ringelstein,2018-11-06,US Senate,democratic_primary,2018-06-12,Democratic,Maine,ME,Statewide,https://www.maine.gov/sos/elections-voting/election-results-data/election-results-2018,,partial,"Maine SOS 2018 election-results page confirms a June 12 primary for U.S. Senate; bounded pass did not recover a stable race-specific roster extract."
reclBFAPPH7tuaVTw,Carlos Ramirez-Rosa,2019-02-26,"Alderman, Chicago - 35th Ward",nonpartisan_primary,2019-02-26,Nonpartisan,Illinois,IL,"Chicago 35th Ward",https://chicagoelections.gov/en/election-results.asp,Amanda Yu Dieterich,partial,"Chicago aldermanic elections are nonpartisan; Feb. 26 was the first-round municipal election."
rec4efBGEheczl3Mc,Ugo Okere,2019-02-26,"Alderman, Chicago - 40th Ward",nonpartisan_primary,2019-02-26,Nonpartisan,Illinois,IL,"Chicago 40th Ward",https://chicagoelections.gov/en/election-results.asp,"André Vasquez | Dianne Daleiden | Maggie O'Keefe | Patrick J. O'Connor",partial,"Chicago aldermanic elections are nonpartisan; Feb. 26 was the first-round municipal election."
recxQkOPh8JQ05DWL,Megan Ellyia Green,2019-03-05,"Board of Aldermen President, City of St. Louis",democratic_primary,2019-03-05,Democratic,Missouri,MO,"City of St. Louis",https://www.stlouis-mo.gov/government/departments/board-election-commissioners/elections/election.cfm?customel_datapageid_524494=694532,"Jamilah Nasheed | Jimmie Matthews | Lewis Reed",verified,"Existing verified registry resolution identifies the March 5 Democratic primary."
rectVhjxBtzqOTz9j,Austin Strassle,2019-04-02,"Kansas City, Missouri 4th District Councilman At-Large",nonpartisan_primary,2019-04-02,Nonpartisan,Missouri,MO,"Kansas City 4th District At-Large",source_unavailable,"Katheryn Shields | Robert Westfall",partial,"Matched registry row is explicitly nonpartisan on 2019-04-02; stable official race URL was not recovered in the bounded pass."
recMh7Vu3NTpDCtyR,Byron Sigcho Lopez,2019-04-02,"Alderman, Chicago - 25th Ward",nonpartisan_primary,2019-02-26,Nonpartisan,Illinois,IL,"Chicago 25th Ward",https://chicagoelections.gov/en/election-results.asp,"Aida Flores | Alexander “Alex” Acevedo | Hilario Dominguez | Troy Antonio Hernandez",partial,"April 2 was the runoff; the campaign necessarily participated in the Feb. 26 nonpartisan first round."
recL83xzumpeE3RBz,Jeanette Taylor,2019-04-02,"Alderman, Chicago - 20th Ward",nonpartisan_primary,2019-02-26,Nonpartisan,Illinois,IL,"Chicago 20th Ward",https://chicagoelections.gov/en/election-results.asp,,partial,"April 2 was the runoff; treated as participation in the Feb. 26 nonpartisan first round."
rect3iO1gCzlR8ViP,Rossana Rodriguez-Sanchez,2019-04-02,"Alderman, Chicago - 33rd Ward",nonpartisan_primary,2019-02-26,Nonpartisan,Illinois,IL,"Chicago 33rd Ward",https://chicagoelections.gov/en/election-results.asp,"Deb Mell | Katie Sieracki",partial,"April 2 was the runoff; the campaign participated in the Feb. 26 nonpartisan first round."
recLDsHdwTL7LtvH1,Jackie Goldberg,2019-05-14,Los Angeles Unified School Board District 5,nonpartisan_primary,2019-03-05,Nonpartisan,California,CA,"Los Angeles Unified School District 5",https://results.lavote.gov/,"Allison Bajracharya | Ana Cubas | Cynthia Gonzalez | David Valdez | Graciela Ortiz | Heather Repenning | Nestor Enrique Valencia | Rocio Rivas | Salvador “Chamba” Sanchez",partial,"May 14 was the runoff; the campaign participated in the March 5 nonpartisan first round."
recmpxe1OioQHEMRJ,Irma Corado,2019-06-11,"Fairfax County Board of Supervisors, Braddock District",democratic_primary,2019-06-11,Democratic,Virginia,VA,"Braddock District, Fairfax County",https://historical.elections.virginia.gov/contest/134343,James Robert Walkinshaw,verified,"Existing verified registry resolution identifies the June 11 Democratic primary."
recjsv56YlmYCG4b3,Brian Stawowy,2019-11-05,"Mayor, Fernalde",general_only,,,Michigan,MI,Ferndale,source_unavailable,,source_unavailable,"Ferndale mayoral candidacy appears to have been for the November municipal ballot; bounded pass did not recover a stable official source URL."
recgqvIymf6s9Q9Is,Chanan Suarez,2019-11-05,City Council Ward 5,nonpartisan_primary,2019-08-06,Nonpartisan,Washington,WA,"Seattle District 5",source_unavailable,"Alex Tsimerman | Ann Davison Sattler | Debora Juarez | John Lombard | Mark Mendez | Tayla Mahoney",partial,"Seattle City Council used a nonpartisan top-two primary on Aug. 6, 2019."
recqLHB9zNqVfLpYl,Curtis Tuden,2019-11-05,"City Council, Medford",nonpartisan_primary,2019-09-17,Nonpartisan,Massachusetts,MA,Medford,source_unavailable,"Adam Knight | Andrew P. Castagnetti | Ann Marie Cugno | Anthony D'Antonio | Erin A. DiBenedetto | George A. Scarpelli | Isaac B. ""Zac"" Bears | Jean M. Nuzzo | John C. Falco, Jr. | Michael J. Marks | Natalie Breen | Nicole Morell | Richard F. Caraviello | Steven Collicelli",partial,"Registry metadata points to the Sept. 17, 2019 nonpartisan preliminary."
recq9HUEn7CygV2LP,Dean Preston,2019-11-05,"Supervisor, San Francisco - 5th District",general_only,,,California,CA,"San Francisco District 5",https://sfelections.org/results/20191105/,"Ryan Lam | Nomvula O'Meara | Vallie Brown",verified,"Official San Francisco November 2019 results page shows the district race on the general-election ballot with no earlier primary."
recAMG1yjkUgsXpqn,Evan Dalley,2019-11-05,"City Commission, City of Traverse City",general_only,,,Michigan,MI,"Traverse City",source_unavailable,,source_unavailable,"Treated as general-only municipal candidacy; bounded pass did not recover a stable official source URL."
recp3uUJdg4ZagBDs,Jivan Sobrinho-Wheeler,2019-11-05,Cambridge City Council (At Large),general_only,,,Massachusetts,MA,Cambridge,https://www.cambridgema.gov/departments/electioncommission/news/2019/11/municipalelectionofficialresults,,verified,"Cambridge's official 2019 municipal-election results page shows the November election and no separate city-council preliminary."
recBIuZaaA5CweF9W,Kendra Brooks,2019-11-05,Philadelphia City Council. At-Large,ballot_or_party_position,,Working Families,Pennsylvania,PA,Philadelphia,https://vote.phila.gov/results/,,partial,"Treated as a Working Families Party general-election ballot-line candidacy rather than participation in the Democratic primary."
recoR2xrmhzZeh9wh,Liliana Rivera Baiman,2019-11-05,"City Council, Columbus At-Large",general_only,,,Ohio,OH,Columbus,source_unavailable,,source_unavailable,"Bounded pass did not recover a stable official source or evidence of a separate relevant primary for this campaign."
recidpOyUtSzsLATd,Michael Payne,2019-11-05,"Charlottesville City Council, At Large",democratic_primary,2019-06-11,Democratic,Virginia,VA,"Charlottesville At-Large",https://historical.elections.virginia.gov/contest/134368,"Brian Russell Pinkston | John Lloyd Snook, III | Robert Francis Fenwick, Jr. | Sena Amelia Magill",verified,"Existing verified registry resolution identifies the June 11 Democratic primary."
recnEARalE1XuDPt0,Nada Daher,2019-11-05,"City Council, Ferndale",general_only,,,Michigan,MI,Ferndale,source_unavailable,,source_unavailable,"Treated as general-only municipal candidacy; bounded pass did not recover a stable official source URL."
rec2y74iUJnwDmOxT,Nicholas Da Silva,2019-11-05,"City Council, Richmond - District 5",general_only,,,California,CA,"Richmond District 5",source_unavailable,,source_unavailable,"Treated as general-only municipal candidacy; bounded pass did not recover a stable official source URL."
rec6gvfX8ERSrJVd9,Nicolas O'Rourke,2019-11-05,"Philadelphia City Council, At-Large",ballot_or_party_position,,Working Families,Pennsylvania,PA,Philadelphia,https://vote.phila.gov/results/,,partial,"Treated as a Working Families Party general-election ballot-line candidacy rather than participation in the Democratic primary."
recVJTMTvP56HmQR6,Shaun Scott,2019-11-05,"City Council, Seattle - 4th District",nonpartisan_primary,2019-08-06,Nonpartisan,Washington,WA,"Seattle District 4",source_unavailable,"Alex Pedersen | Beth Mountsier | Cathy Tuttle | Emily Myers | Ethan Hunter | Frank A. Krueger | Heidi Stuber | Joshua Newman | Sasha Anderson",partial,"Seattle City Council used a nonpartisan top-two primary on Aug. 6, 2019."
rec1FBuRLn0sBDWgi,Alex Brower,2020-02-18,"Comptroller, Milwaukee",nonpartisan_primary,2020-02-18,Nonpartisan,Wisconsin,WI,Milwaukee,source_unavailable,,partial,"Endorsement date itself is Wisconsin's spring-primary date for local nonpartisan offices."
recrJF6JBwI4JdcuP,Arnold Farr,2020-11-03,Lexington School Board District 5,general_only,,,Kentucky,KY,Lexington,https://elect.ky.gov/results/2020-2029/Pages/2020.aspx,,partial,"Treated as nonpartisan school-board general-election candidacy."
rec1HIPcesYh8N2gh,Dean Preston,2020-11-03,San Francisco District 5 Supervisor,general_only,,,California,CA,"San Francisco District 5",https://sfelections.org/results/20201103/,"Vallie Brown | Daniel Landry | Nomvula O'Meara",verified,"Official San Francisco November 2020 results page shows the district race on the general-election ballot with no earlier primary."
recgfDXqGUh3iYNZH,Ed Lazere,2020-11-03,At-large seat on the District of Columbia Council.,unopposed_no_primary,,Democratic,District of Columbia,DC,District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,,partial,"Treated as a general-election candidacy following no located contested Democratic primary; bounded pass did not recover a stable official primary roster."
rec0DqZdihj4svhSI,Franca Muller Paz,2020-11-03,Baltimore City Council District 12,not_candidate,2020-06-02,Democratic,Maryland,MD,"Baltimore District 12",https://results.elections.maryland.gov/elections/2020/results/primary/index.html,"Dave Heilker | Gary Crum | Haroon Ajaz | Matthew Reeds | Phillip Lee Westry | Robert Stokes Sr.",verified,"Existing verified registry resolution for the same District 12 Democratic primary does not include Franca Muller Paz on the official candidate roster."
recW1tO1ODhjFYRj1,Greg Casar,2020-11-03,"City Council, Austin District 4",general_only,,,Texas,TX,"Austin District 4",https://www.austintexas.gov/clerk/programs/elections,,partial,"Austin City Clerk elections page and election-history tooling indicate city-council elections are November general/runoff contests rather than partisan primaries."
recWVjUm3sBQLMIbp,Jen McEwen,2020-11-03,"Senate, District 7",democratic_primary,2020-08-11,Democratic-Farmer-Labor,Minnesota,MN,"District 7",source_unavailable,Erik Simonson,partial,"Matched registry row identifies a 2020 Democratic-Farmer-Labor primary on Aug. 11."
recZJEjq4VA3UZkRv,John Lashlee,2020-11-03,Mountain View City Council,general_only,,,California,CA,"Mountain View",source_unavailable,,source_unavailable,"Treated as general-only municipal candidacy; bounded pass did not recover a stable official source URL."
recPLtZWdPkKCVCwk,Jovanka Beckles,2020-11-03,"AC Transit Board, Ward 1",general_only,,,California,CA,"AC Transit Ward 1",source_unavailable,,partial,"Treated as a November general-election special-district candidacy; no separate relevant primary was confirmed in the bounded pass."
recuEthIF2jq1atb8,Konstantine Anthony,2020-11-03,Burbank City Council,general_only,,,California,CA,Burbank,https://results.lavote.gov/,,partial,"Treated as general-only municipal candidacy administered with other November local results in Los Angeles County."
recIiOlwkanWrEa2J,Measure C - Rent Control Sacramento,2020-11-03,,not_candidate,,,California,CA,Sacramento,https://results.saccounty.gov/results/public/sacramento-county-ca,,partial,"This endorsement was for a ballot measure, not a candidate race."
recJPXG0wawjjXl3X,Nithya Raman,2020-11-03,Los Angeles City Council District 4,nonpartisan_primary,2020-03-03,Nonpartisan,California,CA,"Los Angeles City Council District 4",https://results.lavote.gov/,"David Ryu | Sarah Kate Levy",partial,"Matched registry row identifies the March 3, 2020 nonpartisan primary; November was the runoff/general stage."
recxIDj7kz6abKBrz,Zohran Mamdani,2020-11-03,"New York State Assembly, Assembly District 36",democratic_primary,2020-06-23,Democratic,New York,NY,"Assembly District 36",https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,Aravella Simotas,verified,"Existing verified registry resolution identifies the June 23 Democratic primary."
