"record_id","campaign","endorsement_election_date","office","classification","primary_date","primary_party","state","state_code","jurisdiction","official_election_source","opponents","verification_status","notes"
"recihG0fIKbvStGIg","Deb Gross","2023-05-16","Pittsburgh City Council, District 7","democratic_primary","2023-05-16","Democratic","Pennsylvania","PA","City of Pittsburgh / Allegheny County","https://www.alleghenycounty.us/Government/Elections/Election-Results","Jordan Botta","mixed","Participated in and won the Democratic primary for this heavily Democratic district."
"rec0ntzcTu773zMP5","Dennis McDermott","2023-05-16","Allegheny County Council, District 11","democratic_primary","2023-05-16","Democratic","Pennsylvania","PA","Allegheny County","https://www.alleghenycounty.us/Government/Elections/Election-Results","Paul Klein","mixed","Lost the Democratic primary and did not advance as Democratic nominee."
"recXfg2Jap6zuKqKW","VOTE YES for Eviction Representation for All","2023-05-16","Multnomah County, Oregon","ballot_or_party_position","2023-05-16","","Oregon","OR","Multnomah County","https://www.multco.us/info/results-and-history-multnomah-county-elections","Yes / No ballot measure options","mixed","Measure 26-238 was a ballot initiative, not a candidate race; only contest on the county special-election ballot."
"recM6hKwqHT8vBVlx","Candi CdeBaca","2023-06-06","Denver City Council, District 9- incumbent, locally endorsed in 2019","general_only","","","Colorado","CO","City and County of Denver","https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-General-Election-Results ; https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-Run-Off-Election-Results","Darrell Watson","official","No primary; advanced from Apr. 4 nonpartisan general to June 6 runoff and lost."
"recC1dFoJQLzsm6JE","Shannon Hoffman","2023-06-06","Denver City Council, District 10","general_only","","","Colorado","CO","City and County of Denver","https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-General-Election-Results ; https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-Run-Off-Election-Results","Chris Hinds","official","No primary; advanced from Apr. 4 nonpartisan general to June 6 runoff and lost."
"reckut7Dze905XJLb","Oscar Brewer","2023-06-27","Monroe County Legislature, LD 21","democratic_primary","2023-06-27","Democratic","New York","NY","Monroe County","https://www.monroecounty.gov/elections-results ; https://www.monroecounty.gov/files/boe/elections/canvass/2023.pdf","Santos E. Cruz","mixed","Brewer was a certified Democratic primary candidate, lost to Santos Cruz, then appeared in November on the Working Families line."
"rec2YxVKgQvl419YF","Phoebe Brown","2023-06-27","Ithaca Common Council, Ward 1","unopposed_no_primary","2023-06-27","Democratic","New York","NY","City of Ithaca / Tompkins County","https://www.tompkinscountyny.gov/boe ; https://www.tompkinscountyny.gov/files2/boe/results2023/2023GeneralElectionResults.pdf","Zachary Winn (general election)","mixed","Brown was unopposed for the Democratic nomination for the Ward 1 two-year seat; no Democratic primary contest was held for her line."
"recw3fD8xmMNFvfAK","Robin Wonsley","2023-11-07","Minneapolis City Council, Ward 2","general_only","","","Minnesota","MN","City of Minneapolis","https://vote.minneapolismn.gov/results-data/election-results/2023/","Michael Baskins (write-in); other write-ins","official","Minneapolis uses ranked-choice voting for municipal elections and does not hold a separate city primary."
"reca9o06zqd5iGdKI","Alma Castro","2023-11-07","Santa Fe City Council, District 1","general_only","","","New Mexico","NM","City of Santa Fe","https://www.santafenm.gov/election_information","Roger Carson","mixed","Only the Nov. 7 municipal general was held for this district."
"recEtjIwGcErrRKxw","Dan Totten","2023-11-07","Cambridge City Council","general_only","","","Massachusetts","MA","City of Cambridge","https://www.cambridgema.gov/departments/electioncommission/news/2023/11/2023municipalelectionofficialresults","24-candidate citywide PR field including Jivan Sobrinho-Wheeler, Sumbul Siddiqui, Burhan Azeem, Marc McGovern, Patricia Nolan, Paul Toner, Denise Simmons, Ayesha Wilson, Joan Pickett, Ayah Al-Zubi, Catherine Zusy and others","official","Cambridge elects council in a single citywide proportional-representation general election with no preliminary."
"recKFYtYVVp1Bx7pP","JT Scott","2023-11-07","Somerville City Council, At-Large","not_candidate","","","Massachusetts","MA","City of Somerville","https://www.somervillema.gov/votesomerville","Willie Burnley Jr.; Will Mbah; Kristen Strezo; Ben Wheeler; Jonathan Link; Marianne Walles; Jack Perenick; Holly Simione; Scott Istvan","mixed","Official 2023 candidacy was for Ward 2 councilor, not councilor-at-large; row office appears mismatched."
"recY63VZuHUkVLdBP","Jalen McKee-Rodriguez","2023-11-07","City Council District 2","general_only","","","Texas","TX","City of San Antonio / Bexar County","https://www.bexar.org/1568/Elections-Department","Denise Gutierrez; Rose Requenez Hill; Carla Walker; Patrick Jones; Denise McVea; Edward Giles; Michael Good; James Guild; Wendell Carson","mixed","Official election for this office was the May 6, 2023 nonpartisan municipal general; source row's Nov. 7 date appears off-cycle."
"recNnYnq8MlNsAWhb","Jamika Scott","2023-11-07","Tacoma City Council District 3","nonpartisan_primary","2023-08-01","Nonpartisan","Washington","WA","City of Tacoma / Pierce County","https://www.piercecountyelections.org/Results","Chris Van Vechten; Malando Redeemer; Sheldon Greyell; John Frazier","mixed","Washington local offices use top-two primaries; Scott advanced from Aug. 1 primary and won Nov. 7 general."
"recGBAmp2jIVbv3qk","Jivan Sobrinho-Wheeler","2023-11-07","Cambridge City Council","general_only","","","Massachusetts","MA","City of Cambridge","https://www.cambridgema.gov/departments/electioncommission/news/2023/11/2023municipalelectionofficialresults","24-candidate citywide PR field including Dan Totten, Sumbul Siddiqui, Burhan Azeem, Marc McGovern, Patricia Nolan, Paul Toner, Denise Simmons, Ayesha Wilson, Joan Pickett, Ayah Al-Zubi, Catherine Zusy and others","official","Cambridge uses one citywide proportional-representation general election and no preliminary."
"rec7gQBHTfBgNJZia","Joel Richards","2023-11-07","Boston City Council, District 3","nonpartisan_primary","2023-09-12","Nonpartisan","Massachusetts","MA","City of Boston","https://www.boston.gov/departments/elections/election-results","John FitzGerald; Jennifer Anne Johnson; Barry Oliver Lawton; Matthew D. Patton; Ann M. Walsh; Rosalind Wornum","mixed","Boston held a nonpartisan preliminary on Sept. 12; FitzGerald and Richards advanced to the Nov. general."
"recVbByBCMBWxq6CH","NO on Question A: An Act to Exempt Small Landlords from the Portland's (sic) Rent-Control Ordinance","2023-11-07","Portland Municipal Ballot Referendum","ballot_or_party_position","2023-11-07","","Maine","ME","City of Portland","https://portlandme.gov/DocumentCenter/View/40324/Official-Results-2023-11-07","Yes / No ballot measure options","official","Municipal referendum, not a candidate race."
"recOVnX6Ymj3BIbmE","Nelsie Yang","2023-11-07","Saint Paul City Council, Ward 6","general_only","","","Minnesota","MN","City of Saint Paul","https://www.stpaul.gov/departments/city-clerk/elections-voting/election-results","Gary Ding; Terri Thao; Alexander Bourne; Usef D. Johnson","official","Saint Paul uses ranked-choice voting and does not hold a separate municipal primary."
"recZC4rrk6UcFLB4F","Sam Schmidt","2023-11-07","Allegheny County Council District 13","general_only","","","Pennsylvania","PA","Allegheny County","https://www.alleghenycounty.us/Government/Elections/Election-Results","David Bonaroti","mixed","Schmidt ran as an Independent in the Nov. 7 general election; no Democratic-primary participation for this campaign."
"rec42m4Nviv0vKxtg","Soren Stevenson","2023-11-07","Minneapolis City Council, Ward 8","general_only","","","Minnesota","MN","City of Minneapolis","https://vote.minneapolismn.gov/results-data/election-results/2023/","Andrea Jenkins; Terry White; Bob Sullentrop","official","Minneapolis municipal elections are ranked-choice general elections without a separate primary."
"recIFORykJEGxMheF","Teri Castillo","2023-11-07","City Council District 5","general_only","","","Texas","TX","City of San Antonio / Bexar County","https://www.bexar.org/1568/Elections-Department","Irina Rudolph; Rudy Lopez; Niko Chapman","mixed","Official election for this office was the May 6, 2023 nonpartisan municipal general; source row's Nov. 7 date appears off-cycle."
"recDMT98gS8Gy47PT","Willie Burnley Jr.","2023-11-07","Somerville City Council, At-Large","nonpartisan_primary","2023-09-19","Nonpartisan","Massachusetts","MA","City of Somerville","https://www.somervillema.gov/votesomerville","Will Mbah; Kristen Strezo; Ben Wheeler; Jonathan Link; Marianne Walles; Jack Perenick; Holly Simione; Scott Istvan; Tuesday Thomas; Ari Iaccarino; Justin Klekota; Christopher Ryan Spicer","mixed","Treated as a preliminary-before-general at-large race; Somerville reporting indicates a September preliminary reduced a large candidate field."
"rec3lmxvJzMStrlsg","Zac Bears","2023-11-07","Medford City Council, At-Large","general_only","","","Massachusetts","MA","City of Medford","https://www.medfordma.org/departments/elections-commission/election-results","Kit Collins; George Scarpelli; Justin Tseng; Anna Callahan; Charles Patrick Clerkin; Leonard Glionna; Emily Lazzaro; Matt Leming; John Petrella; Jaclyn Torres Roth; Melanie Tringali","official","At-large council election was conducted on the general municipal ballot; no preliminary identified for this office."
"recV0UkdIoZZLTZJA","Marek Broderick","2024-03-05","Burlington City Council, Ward 8","general_only","","","Vermont","VT","City of Burlington","https://www.burlingtonvt.gov/CT/Elections/Results","Hannah King","mixed","Regular March municipal general election; no separate primary for Ward 8 seat."
"recdA1zxh6dgrX8Ze","No Preference","2024-03-05","President (Democratic Primary)","ballot_or_party_position","2024-03-05","Democratic","North Carolina","NC","Statewide","https://er.ncsbe.gov/","Joseph R. Biden Jr.; Marianne Williamson; Dean Phillips","official","Official ballot option was No Preference on the Democratic presidential primary ballot."
"recHp6EK90qftDBF4","Noncommitted Colorado","2024-03-05","Presidential Primary","ballot_or_party_position","2024-03-05","Democratic","Colorado","CO","Statewide","https://results.sos.state.co.us/results/resultsCumulative.html?eid=82","Joe Biden; Dean Phillips; Marianne Williamson; Gabriel Cornejo; Jason Michael Palmer; Armando Perez-Serrato; Frankie Lozada; Stephen P. Lyons","official","Official ballot label was Noncommitted Delegate / Noncommitted on the Democratic presidential primary ballot."
"recHqHDelUbTDcADK","Sally Lieber","2024-03-05","Santa Clara County Board of Supervisors District 5","nonpartisan_primary","2024-03-05","Nonpartisan","California","CA","Santa Clara County","https://results.enr.clarityelections.com/CA/Santa_Clara/116261/web.317647/#/summary","Margaret Abe-Koga; Peter Fung; Barry Chang; Sandy Sans","official","California county supervisor race used the nonpartisan March top-two primary."
"rectSqCEAEcdI6tAG","Vote Uncommitted MN","2024-03-05","US Presidential Primary","ballot_or_party_position","2024-03-05","Democratic","Minnesota","MN","Statewide","https://electionresults.sos.state.mn.us/Results/Index?ErsElectionId=160&scenario=ResultsByState","Joe Biden; Dean Phillips; Marianne Williamson","official","Official ballot option was Uncommitted in the Minnesota Democratic presidential primary."
"recWjNfzDxv4OoMF8","Vote Uncommitted MN","2024-03-05","Office of the President","ballot_or_party_position","2024-03-05","Democratic","Minnesota","MN","Statewide","https://electionresults.sos.state.mn.us/Results/Index?ErsElectionId=160&scenario=ResultsByState","Joe Biden; Dean Phillips; Marianne Williamson","official","Same statewide Democratic presidential primary ballot position as the other Minnesota uncommitted record."
"recA9QXG2AH87wf3r","Uncommitted WA","2024-03-12","Presidential Democratic Primary","ballot_or_party_position","2024-03-12","Democratic","Washington","WA","Statewide","https://results.vote.wa.gov/results/20240312/president-democratic-party_bycounty.html ; https://www.sos.wa.gov/sites/default/files/2024-01/Official%20Certification%20of%20Candidates%20Presidential%20Primary%202024%20with%20both%20Major%20Political%20Parties_0.pdf","Joseph R. Biden Jr.; Dean Phillips; Marianne Williamson; Write-in","official","Official ballot option was Uncommitted Delegates on Washington's Democratic presidential primary ballot."
"reclxp3T9dH9LV4Fr","Vote Uncommitted Campaign","2024-03-12","Tacoma","ballot_or_party_position","2024-03-12","Democratic","Washington","WA","Statewide (Tacoma/Pierce organizing)","https://results.vote.wa.gov/results/20240312/president-democratic-party_bycounty.html ; https://www.sos.wa.gov/sites/default/files/2024-01/Official%20Certification%20of%20Candidates%20Presidential%20Primary%202024%20with%20both%20Major%20Political%20Parties_0.pdf","Joseph R. Biden Jr.; Dean Phillips; Marianne Williamson; Write-in","official","Endorsement targeted the statewide Uncommitted Delegates presidential-primary ballot option; campaign itself was not a separate ballot line."
"recGJpvPTXcH8skjY","Alex Kostal","2024-04-02","Milwaukee County Board of Supervisors, District 3","general_only","","","Wisconsin","WI","Milwaukee County","https://county.milwaukee.gov/EN/County-Clerk/Election-Commission/Election-Results","Sheldon A. Wasserman","mixed","No nonpartisan primary was held because only two candidates qualified for the Apr. 2 general."
"recE8YYIfh94IKvUj","Uncommitted option in the CT presidential democratic primary","2024-04-02","State of Connecticut","ballot_or_party_position","2024-04-02","Democratic","Connecticut","CT","Statewide","https://portal.ct.gov/SOTS/Election-Services/Election-Results/2024-Election-Results","Joseph R. Biden Jr.; Marianne Williamson","official","Official ballot option was UNCOMMITTED on the Connecticut Democratic presidential primary ballot."
"recQoGjxiRVDy7b31","Uncommitted in Maryland's Democratic Presidential Primary by May 14th","2024-05-14","Maryland Democratic Primary for President","ballot_or_party_position","2024-05-14","Democratic","Maryland","MD","Statewide","https://elections.maryland.gov/elections/2024/results/primary/gen_results_2024_1_00.html","Joseph R. Biden; Dean Phillips; Marianne Williamson","official","Official ballot option was Uncommitted on Maryland's Democratic presidential primary ballot."
"recI2FQBqP7CaSWcn","Joshua Crowder","2024-05-21","Louisville Metro Council, District 4","democratic_primary","2024-05-21","Democratic","Kentucky","KY","Louisville-Jefferson County","https://results.enr.clarityelections.com/KY/Jefferson/121128/web.328453/#/summary","Barbara Sexton Smith; Peighton Wright","official","Crowder ran in the Democratic primary for the Metro Council seat."
"receGtoCyuMad4OWE","Soli Alpert","2024-05-28","Berkeley City Council District 4","general_only","","","California","CA","City of Berkeley / Alameda County","https://www.acvote.org/results ; https://alamedacountyca.gov/rovresults/rcv/255/rcvresults.htm?race=001-CityCouncil_D4","Igor A. Tregub; Ruben Hernandez Story; Elana Auerbach","official","Special ranked-choice general election to fill a vacancy; no primary."
"recmMivLpylZBVX7f","Dean Preston","2024-11-05","San Francisco Supervisor, District 5","general_only","","","California","CA","City and County of San Francisco","https://sfelections.org/results/20241105/index.html","Bilal Mahmood; Scotty Jacobs; Autumn Looijen; Allen Jones","official","San Francisco supervisor races are nonpartisan ranked-choice general elections with no primary."
"recN1sfCyBMQZQ2Ty","Mike Siegel","2024-11-05","Austin City Council, District 7","general_only","","","Texas","TX","City of Austin / Travis County","https://countyclerk.traviscountytx.gov/departments/elections/election-results/","Gary Bledsoe","mixed","Austin council races are nonpartisan and go directly to November general plus runoff if needed; Siegel defeated Bledsoe in the Dec. 14 runoff."
"recoPCbGVrdZgFZSj","Mitch Green","2024-11-05","Portland City Council, District 4","general_only","","","Oregon","OR","City of Portland / Multnomah County","https://www.portland.gov/elections/results ; https://rcvresults.multco.us/","Stephanie Routh; Tony Morse; Timothy I. Evans; Christopher Richardson; Dave Norton; Nadya Okamoto; Jesse Loesberg; Evan Shipley; Bouchra Ezzahraoui; Brian Setzler; Emily Weber; Rick Knapp; others","official","Portland's new multiwinner city-council system used a single November proportional ranked-choice election with no primary."
"reco5Suuh7T7UX3ah","Madinah Wilson-Anton","2024-11-05","Delaware State Representative, District 26","unopposed_no_primary","2024-09-10","Democratic","Delaware","DE","Delaware House District 26 / New Castle County","https://elections.delaware.gov/results/html/index.shtml?electionDate=2024-11-05","Reuel Parks (general election)","mixed","Wilson-Anton had no Democratic primary challenger and advanced directly to the general election."
"recyusfFiwea6lOnK","Tiffany Koyama-Lane","2024-11-05","Portland City Council District 3","general_only","","","Oregon","OR","City of Portland / Multnomah County","https://www.portland.gov/elections/results ; https://rcvresults.multco.us/","Steve Novick; Angelita Morillo; Kezia Wanner; Rex Burkholder; Jesse Cornett; Harrison Kass; Daniel DeMelo; Philippe Knab; Sandeep Bali; Cristal Azul Otero; Jon Walker; Chris Flanary; Melodie Beirwagen; Matt Anderson; Ahlam Osman; Luke Zak; Heart Free Pham; Brian Conley; Terry Parker; Dan Gilk; Christopher Brummer; John Sweeney; Kelly Janes; Theo Hathaway Saner; Jaclyn Smith-Moore; Patrick Hilton; David O'Connor; Kent Landgraver; Clifford Higgins","official","Portland's new multiwinner city-council system used a single November proportional ranked-choice election with no primary."
"recV3hBLuVhIObZqg","Wes Pelletier","2024-11-05","Portland City Council","general_only","","","Maine","ME","City of Portland (District 2)","https://portlandmaine.gov/350/Election-Results","Nancy English; Atiim Boykin; Catherine Nekoie; Robert O'Brien","mixed","Pelletier won the Portland, Maine District 2 city-council seat in the November ranked-choice general election; no separate primary."
