race_id,candidate_name,election_date,party,role,evidence_status
race-0650530eb5458097dae5,Jeff Johnson,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,John E. Barnes Jr.,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Lateek Shabazz,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Martin Alexander,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Nina Turner,2021-08-03,Democratic,endorsed,verified
race-0650530eb5458097dae5,Pamela M. Pinkney,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Seth J. Corey,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Shirley Smith,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Shontel Brown,2021-08-03,Democratic,opponent,verified
race-0650530eb5458097dae5,Tariq K. Shabazz,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,Will Knight,2021-08-03,Democratic,opponent,source_unavailable
race-070b37bae80f159ff674,Abbie Fishman,2021-02-16,Nonpartisan,opponent,source_unavailable
race-070b37bae80f159ff674,Abbie Fishman,2021-02-16,Nonpartisan,opponent,verified
race-070b37bae80f159ff674,Alex Brower,2021-02-16,Nonpartisan,endorsed,source_unavailable
race-070b37bae80f159ff674,Alex Brower,2021-02-16,Nonpartisan,endorsed,verified
race-070b37bae80f159ff674,Jilly Gokalgandhi,2021-02-16,Nonpartisan,opponent,source_unavailable
race-070b37bae80f159ff674,Jilly Gokalgandhi,2021-02-16,Nonpartisan,opponent,verified
race-070b37bae80f159ff674,Kahri Phelps Okoro,2021-02-16,Nonpartisan,opponent,source_unavailable
race-070b37bae80f159ff674,Kahri Phelps Okoro,2021-02-16,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Ashlie Castaldo,2021-08-10,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Azrin Awal,2021-08-10,Nonpartisan,endorsed,verified
race-07e8c0f659f04a7168be,"Dezuwon ""Pez"" Davila",2021-08-10,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Joe Macor,2021-08-10,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Nancy Stam,2021-08-10,Nonpartisan,opponent,source_unavailable
race-07e8c0f659f04a7168be,Scot Jenkins,2021-08-10,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Terese Tomanek,2021-08-10,Nonpartisan,opponent,verified
race-07e8c0f659f04a7168be,Timothy L. Meyer,2021-08-10,Nonpartisan,opponent,verified
race-0a67e638042856300063,Elmer Roldan,2026-06-02,Nonpartisan,opponent,source_unavailable
race-0a67e638042856300063,Estuardo Mazariegos,2026-06-02,Nonpartisan,endorsed,source_unavailable
race-0a67e638042856300063,Estuardo Mazariegos,2026-06-02,Nonpartisan,endorsed,verified
race-0a67e638042856300063,Jorge Hernandez Rosas,2026-06-02,Nonpartisan,opponent,source_unavailable
race-0a67e638042856300063,Jorge Nuño,2026-06-02,Nonpartisan,opponent,source_unavailable
race-0a67e638042856300063,Jorge Nuño,2026-06-02,Nonpartisan,opponent,verified
race-0a67e638042856300063,Jose Ugarte,2026-06-02,Nonpartisan,opponent,source_unavailable
race-0a67e638042856300063,Jose Ugarte,2026-06-02,Nonpartisan,opponent,verified
race-0a67e638042856300063,Martha Sánchez,2026-06-02,Nonpartisan,opponent,source_unavailable
race-0b648ab38046db8ff140,David Donaldson,2021-06-22,Democratic,opponent,source_unavailable
race-0b648ab38046db8ff140,Phil Erner,2021-06-22,Democratic,endorsed,source_unavailable
race-0b902d615156cfc70e34,Aparna Raj,2026-06-16,Democratic,endorsed,source_unavailable
race-0b902d615156cfc70e34,Aparna Raj,2026-06-16,Democratic,endorsed,verified
race-0b902d615156cfc70e34,Jackie Reyes Yanes,2026-06-16,Democratic,opponent,verified
race-0b902d615156cfc70e34,Miguel Trindade Deramo,2026-06-16,Democratic,opponent,verified
race-0b902d615156cfc70e34,Rashida Brown,2026-06-16,Democratic,opponent,verified
race-0b902d615156cfc70e34,Terry Lynch,2026-06-16,Democratic,opponent,source_unavailable
race-0b902d615156cfc70e34,Terry Lynch,2026-06-16,Democratic,opponent,verified
race-0c197de9cc747ac05e9d,Alissa Murphy,2024-08-06,Democratic,opponent,source_unavailable
race-0c197de9cc747ac05e9d,Carl Harris,2024-08-06,Democratic,opponent,source_unavailable
race-0c197de9cc747ac05e9d,Carl Henderson,2024-08-06,Democratic,opponent,source_unavailable
race-0d82e08f0a96b36956e8,Kaegan Mays-Williams,2022-08-23,Democratic,opponent,verified
race-0d82e08f0a96b36956e8,Kevin Parker,2022-08-23,Democratic,opponent,source_unavailable
race-0de2ddb13df7ec856a27,Chris Petsas,2021-06-22,Democratic,opponent,source_unavailable
race-0de2ddb13df7ec856a27,Da’Ron Wilson,2021-06-22,Democratic,opponent,source_unavailable
race-0de2ddb13df7ec856a27,Sarah Salem,2021-06-22,Democratic,endorsed,source_unavailable
race-0deb7056246c06a2c331,Satnaam Mago,2026-03-17,Democratic,endorsed,source_unavailable
race-0defc60b6d18a763a9a6,Brian Russell Pinkston,2019-06-11,Democratic,opponent,source_unavailable
race-0defc60b6d18a763a9a6,"John Lloyd Snook, III",2019-06-11,Democratic,opponent,source_unavailable
race-0defc60b6d18a763a9a6,Michael Keith Payne,2019-06-11,Democratic,endorsed,source_unavailable
race-0defc60b6d18a763a9a6,"Robert Francis Fenwick, Jr.",2019-06-11,Democratic,opponent,source_unavailable
race-0defc60b6d18a763a9a6,Sena Amelia Magill,2019-06-11,Democratic,opponent,source_unavailable
race-0e827af23fd1b67250ce,Andy Schor,2021-08-03,,opponent,source_unavailable
race-0e827af23fd1b67250ce,Farhan Sheikh-Omar,2021-08-03,,endorsed,source_unavailable
race-0e827af23fd1b67250ce,Kathie Dunbar,2021-08-03,,opponent,source_unavailable
race-0e827af23fd1b67250ce,Larry James Hutchinson Jr.,2021-08-03,,opponent,source_unavailable
race-0e827af23fd1b67250ce,Melissa Huber,2021-08-03,,opponent,source_unavailable
race-0e827af23fd1b67250ce,Patricia Spitzley,2021-08-03,,opponent,source_unavailable
race-0ef60b3e6338b2638ff2,Dane Kuplicki,2021-08-24,Nonpartisan,opponent,source_unavailable
race-0ef60b3e6338b2638ff2,Jamie Mayo,2021-08-24,Nonpartisan,opponent,source_unavailable
race-0ef60b3e6338b2638ff2,Jeff Danner,2021-08-24,Nonpartisan,opponent,source_unavailable
race-0ef60b3e6338b2638ff2,Richie Floyd,2021-08-24,Nonpartisan,endorsed,source_unavailable
race-0efcfaf846114fe67a11,Dominique Baez,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Katie Kiely,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Larry P. Zackery,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Laurie Sweet,2023-09-12,Democratic,endorsed,source_unavailable
race-0efcfaf846114fe67a11,Melinda L. Saller,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Reginald D. Lytle,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Steven L. Boddie,2023-09-12,Democratic,opponent,source_unavailable
race-0efcfaf846114fe67a11,Tasha M. Hunt,2023-09-12,Democratic,opponent,source_unavailable
race-0f0734c608b02353f3cf,Mike Connolly,2016-09-08,Democratic,endorsed,source_unavailable
race-0f0734c608b02353f3cf,"Timothy J. Toomey, Jr.",2016-09-08,Democratic,opponent,source_unavailable
race-0f831c1823a5528f7bf6,Earl Jaques,2020-09-15,Democratic,opponent,source_unavailable
race-0f831c1823a5528f7bf6,Eric A. Morrison,2020-09-15,Democratic,endorsed,source_unavailable
race-1018572bbe0d5cb327c4,Malik D Evans,2025-06-24,Democratic,opponent,verified
race-1018572bbe0d5cb327c4,Mary Lupien,2025-06-24,Democratic,endorsed,verified
race-1018572bbe0d5cb327c4,Shashi Ranjan Sinha,2025-06-24,Democratic,opponent,verified
race-1100fb533385dbaeb1f8,Alexander Bernhard Golonka,2017-09-26,Nonpartisan,endorsed,source_unavailable
race-1100fb533385dbaeb1f8,Brandon David Bowser,2017-09-26,Nonpartisan,opponent,source_unavailable
race-1100fb533385dbaeb1f8,Mark S Ciommo,2017-09-26,Nonpartisan,opponent,source_unavailable
race-113c05b3c91fa4d614bf,Jumaane Williams,2018-09-13,Democratic,endorsed,source_unavailable
race-113c05b3c91fa4d614bf,Kathy C. Hochul,2018-09-13,Democratic,opponent,verified
race-118f532f469a0fced428,Anthony Ceoffe,2021-05-18,Democratic,opponent,source_unavailable
race-118f532f469a0fced428,Xander Orenstein,2021-05-18,Democratic,endorsed,verified
race-11b2afab91d000318469,David Alexis,2022-08-23,Democratic,endorsed,source_unavailable
race-11b2afab91d000318469,Kaegan Marie Mays-Williams,2022-08-23,Democratic,opponent,source_unavailable
race-11b2afab91d000318469,Kevin S. Parker,2022-08-23,Democratic,opponent,source_unavailable
race-1222367a071612c7736a,Alexa Aviles,2021-06-22,Democratic,endorsed,verified
race-1222367a071612c7736a,Cesar Zuniga,2021-06-22,Democratic,opponent,source_unavailable
race-1222367a071612c7736a,Jacqui Painter,2021-06-22,Democratic,opponent,source_unavailable
race-1222367a071612c7736a,Rodrigo G. Camarena,2021-06-22,Democratic,opponent,verified
race-1222367a071612c7736a,Victor Swinton,2021-06-22,Democratic,opponent,source_unavailable
race-1222367a071612c7736a,Yu Lin,2021-06-22,Democratic,opponent,source_unavailable
race-126843eb8d9937b28ff1,"Angela ""Angie"" Villescaz",2018-03-06,Democratic,opponent,source_unavailable
race-126843eb8d9937b28ff1,Gina Ortiz Jones,2018-03-06,Democratic,opponent,source_unavailable
race-126843eb8d9937b28ff1,Jay Hulings,2018-03-06,Democratic,opponent,source_unavailable
race-126843eb8d9937b28ff1,Judy Canales,2018-03-06,Democratic,opponent,source_unavailable
race-126843eb8d9937b28ff1,Rick Treviño,2018-03-06,Democratic,endorsed,source_unavailable
race-145ef0f5b3eee7d39938,David Baria,2018-06-05,Democratic,opponent,verified
race-145ef0f5b3eee7d39938,Howard Sherman,2018-06-05,Democratic,opponent,verified
race-145ef0f5b3eee7d39938,Jensen Bohren,2018-06-05,Democratic,endorsed,verified
race-145ef0f5b3eee7d39938,Jerone Garland,2018-06-05,Democratic,opponent,verified
race-145ef0f5b3eee7d39938,Omeria Scott,2018-06-05,Democratic,opponent,verified
race-145ef0f5b3eee7d39938,"Victor G. Maurice, Jr.",2018-06-05,Democratic,opponent,verified
race-148f3a6d232181dd80d9,Ammar Campa-Najjar,2020-03-03,Democratic,opponent,verified
race-148f3a6d232181dd80d9,Brian W. Jones,2020-03-03,Republican,opponent,verified
race-148f3a6d232181dd80d9,Carl DeMaio,2020-03-03,Republican,opponent,verified
race-148f3a6d232181dd80d9,Darrell Issa,2020-03-03,Republican,opponent,verified
race-148f3a6d232181dd80d9,Helen L. Horvath,2020-03-03,No Party Preference,opponent,verified
race-148f3a6d232181dd80d9,Henry Alan Ota,2020-03-03,No Party Preference,opponent,verified
race-148f3a6d232181dd80d9,Jose Cortes,2020-03-03,Peace and Freedom,endorsed,verified
race-148f3a6d232181dd80d9,Lucinda KWH Jahn,2020-03-03,No Party Preference,opponent,verified
race-148f3a6d232181dd80d9,Marisa Calderon,2020-03-03,Democratic,opponent,verified
race-148f3a6d232181dd80d9,"Nathan ""Nate"" Wilkins",2020-03-03,Republican,opponent,verified
race-14d53ce965776b0cb235,Andrew Hairston,2026-03-03,Democratic,endorsed,source_unavailable
race-14d53ce965776b0cb235,Ciara Parks,2026-03-03,Democratic,opponent,source_unavailable
race-1619e17f83ec30198cc9,Evan MacKay,2026-09-01,Democratic,endorsed,source_unavailable
race-1619e17f83ec30198cc9,Marjorie C. Decker,2026-09-01,Democratic,opponent,source_unavailable
race-169d6d06ee847f1df0db,"Francisco Maldonado, Jr.",2025-09-09,Nonpartisan,opponent,source_unavailable
race-169d6d06ee847f1df0db,John G. Descoteaux,2025-09-09,Nonpartisan,opponent,source_unavailable
race-169d6d06ee847f1df0db,"Marcos A. Candido, Jr.",2025-09-09,Nonpartisan,endorsed,source_unavailable
race-16d397610d7e59470898,Aleyah Anderson,2021-02-16,Nonpartisan,opponent,source_unavailable
race-16d397610d7e59470898,Danielle McClendon,2021-02-16,Nonpartisan,opponent,source_unavailable
race-16d397610d7e59470898,"Darrin B. Madison, Jr.",2021-02-16,Nonpartisan,endorsed,source_unavailable
race-16d397610d7e59470898,"James M. Ferguson, II",2021-02-16,Nonpartisan,opponent,source_unavailable
race-16d397610d7e59470898,Priscilla E. Coggs-Jones,2021-02-16,Nonpartisan,opponent,source_unavailable
race-1746d4d5babab5e5d1cd,Jack Coatar,2022-09-13,Nonpartisan,opponent,source_unavailable
race-1746d4d5babab5e5d1cd,Megan Green,2022-09-13,Nonpartisan,endorsed,verified
race-183cee175deff89674c1,Pamela Stevenson,2022-05-17,Democratic,opponent,source_unavailable
race-183cee175deff89674c1,Robert LeVertis Bell,2022-05-17,Democratic,endorsed,source_unavailable
race-1a63cae0504360d8eb38,Andrew Kalloch,2022-05-17,Democratic,opponent,verified
race-1a63cae0504360d8eb38,Doyle Canning,2022-05-17,Democratic,endorsed,verified
race-1a63cae0504360d8eb38,G. Tommy Smith,2022-05-17,Democratic,opponent,verified
race-1a63cae0504360d8eb38,Jake Matthews,2022-05-17,Democratic,opponent,verified
race-1a63cae0504360d8eb38,John Selker,2022-05-17,Democratic,opponent,verified
race-1a63cae0504360d8eb38,Sami Al-Abdrabbuh,2022-05-17,Democratic,opponent,verified
race-1a63cae0504360d8eb38,Steve Laible,2022-05-17,Democratic,opponent,source_unavailable
race-1a63cae0504360d8eb38,Val Hoyle,2022-05-17,Democratic,opponent,verified
race-1ae0377fbe0218036806,Dave Heilker,2020-06-02,Democratic,endorsed,source_unavailable
race-1ae0377fbe0218036806,Gary Crum,2020-06-02,Democratic,opponent,source_unavailable
race-1ae0377fbe0218036806,Haroon Ajaz,2020-06-02,Democratic,opponent,source_unavailable
race-1ae0377fbe0218036806,Matthew Reeds,2020-06-02,Democratic,opponent,source_unavailable
race-1ae0377fbe0218036806,Phillip Lee Westry,2020-06-02,Democratic,opponent,source_unavailable
race-1ae0377fbe0218036806,Robert Stokes Sr.,2020-06-02,Democratic,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Brian J. Worrell,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Deeqo M. Jibril,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Evandro C. Carvalho,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Jacob Jaleel Urena,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Joel G. Richards,2021-09-14,Nonpartisan,endorsed,source_unavailable
race-1af451a3ce317a50f4f1,Josette K. Williams,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Leonard Lee Sr.,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,Troy A. Smith,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1af451a3ce317a50f4f1,William Edward Dickerson III,2021-09-14,Nonpartisan,opponent,source_unavailable
race-1b141d6fe80a6b092dc9,Kevin A. Cahill,2022-06-28,Democratic,opponent,verified
race-1b16bc7d886dcbb78057,Casey Zimmerman,2024-05-21,Democratic,opponent,verified
race-1b16bc7d886dcbb78057,Farrah Chaichi,2024-05-21,Democratic,endorsed,verified
race-1b273b10a29d54af6b83,Kristin Seale,2018-05-15,Democratic,unopposed,source_unavailable
race-1b75c0e578468fd6ef46,Damali Vidot,2020-09-01,Democratic,endorsed,source_unavailable
race-1b75c0e578468fd6ef46,Daniel Joseph Ryan,2020-09-01,Democratic,opponent,source_unavailable
race-1d2c5471b666d1dfee92,E. “Liddy” Glass,2026-11-03,No Party,opponent,source_unavailable
race-1d2c5471b666d1dfee92,Lauren Jewett,2026-11-03,Democratic,endorsed,verified
race-1d2c5471b666d1dfee92,Randall Arrington,2026-11-03,Republican,opponent,verified
race-1d2c5471b666d1dfee92,Steve Scalise,2026-11-03,Republican,opponent,verified
race-1d52e9db30dc8b63812b,George S. Frankel,2024-09-10,Democratic,opponent,source_unavailable
race-1d52e9db30dc8b63812b,Jason Hoover,2024-09-10,Democratic,opponent,source_unavailable
race-1d52e9db30dc8b63812b,Monique Johns,2024-09-10,Democratic,opponent,source_unavailable
race-1d52e9db30dc8b63812b,Robert A. Williams,2024-09-10,Democratic,opponent,source_unavailable
race-1d52e9db30dc8b63812b,Val Gould,2024-09-10,Democratic,endorsed,source_unavailable
race-1e3efde0247356c47dbb,Anthony Joel Quezada,2022-06-28,Democratic,endorsed,verified
race-1e3efde0247356c47dbb,Edwin Reyes,2022-06-28,Democratic,opponent,source_unavailable
race-1e3efde0247356c47dbb,Luis Arroyo Jr.,2022-06-28,Democratic,opponent,source_unavailable
race-1e3efde0247356c47dbb,Natalie Toro,2022-06-28,Democratic,opponent,source_unavailable
race-1e3efde0247356c47dbb,Rory McHale,2022-06-28,Democratic,opponent,source_unavailable
race-1e73e737c92d27505df4,David Shapiro,2023-06-27,Democratic,opponent,source_unavailable
race-1e73e737c92d27505df4,Nathan Sitaraman,2023-06-27,Democratic,endorsed,source_unavailable
race-1ebf8dc775ced8d30b89,Armando “Mando” Perez-Serrato,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Dean Phillips,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Frankie Lozada,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Gabriel Cornejo,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Jason Palmer,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Joe Biden,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Marianne Williamson,2024-03-05,Democratic,opponent,verified
race-1ebf8dc775ced8d30b89,Noncommitted Delegate,2024-03-05,Democratic,endorsed,source_unavailable
race-1ebf8dc775ced8d30b89,Stephen P. Lyons,2024-03-05,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Abel Mulugheta,2022-03-01,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Arthur Dixon,2022-03-01,Democratic,opponent,verified
race-1fd5827f1c16c0d86383,Barbara Mallory Caraway,2022-03-01,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Jane Hope Hamilton,2022-03-01,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Jasmine Crockett,2022-03-01,Democratic,opponent,verified
race-1fd5827f1c16c0d86383,Jessica Mason,2022-03-01,Democratic,endorsed,source_unavailable
race-1fd5827f1c16c0d86383,Keisha Williams-Lankford,2022-03-01,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Roy Williams,2022-03-01,Democratic,opponent,source_unavailable
race-1fd5827f1c16c0d86383,Vonciel Hill,2022-03-01,Democratic,opponent,source_unavailable
race-2005b47032b558f2b4f8,Andre Peloquin,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Andy Peters,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Brian J. Haag,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Isaac Freilich Jones,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Joe Dunne,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Larry Svabek,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Leni Manaa-Hoppenworth,2023-02-28,Nonpartisan,opponent,verified
race-2005b47032b558f2b4f8,Nassir Faulkner,2023-02-28,Nonpartisan,opponent,verified
