context_entry_id,state,state_code,cycle_year,organization_level,context_category,organization,endorsing_body,title,platform_type,adoption_date,effective_date,source_url,archive_url,verification_status,notes
synthetic-pa-2017-state_democratic_party-4fbd1fff57e47281,Pennsylvania,PA,2017,state,state_democratic_party,Pennsylvania Democratic Party,,Pennsylvania Democratic Party platform status for 2017,state_party_platform,,,https://www.padems.org/,,searched_not_found,"Searched the official Pennsylvania Democratic Party site and indexed padems.org results for platform, policy-platform, convention, resolution, and PDF materials, and checked likely official platform URLs in the Wayback Machine. Reporting confirms a September 2017 policy-platform amendment concerning marijuana legalization, but no official or archived full adopted 2017 state-party platform/planks document was recovered."
context-state-party-az-2018,Arizona,AZ,2018,state,state_democratic_party,Arizona Democratic Party,,Arizona Democratic Party full platform search seed,state_party_platform_search_seed,,,https://azdem.org/,,searched_not_found,"Official Arizona Democratic Party sitemap, site search, and CDX discovery were checked for the 2018 cycle, but no qualifying full state platform document was recovered."
context-dsa-national-ca-2018,California,CA,2018,national,dsa_national,Democratic Socialists of America,,Public Document of 2017 Convention Resolutions,dsa_national_convention_resolutions,2017,2017,https://d3n8a8pro7vhmx.cloudfront.net/dsausa/pages/4039/attachments/original/1510787414/Public_Document_of_2017_Convention_Resolutions.pdf?1510787414,https://web.archive.org/web/20190325180138id_/https://www.dsausa.org/statements/resolutions_from_2017_convention/,verified,Official 18-page public document of resolutions passed tabled and failed at the 2017 DSA convention linked by the archived official DSA convention-resolutions page. Used as the best available 2018-2019 national organizational context; it is broader than a standalone electoral platform.
context-state-party-ca-2018,California,CA,2018,state,state_democratic_party,California Democratic Party,,CADEM platform archive,state_party_platform_archive,,,https://web.archive.org/web/20180221053955/https://www.cadem.org/platform,https://web.archive.org/web/20180221053955/https://www.cadem.org/platform,verified,Official California Democratic Party platform archive used for the 2018 cycle.
synthetic-co-2018-state_democratic_party-b4f81871bbb58c8e,Colorado,CO,2018,state,state_democratic_party,Colorado Democratic Party,,Colorado Democratic Party platform status for 2018,state_party_platform,,,https://www.coloradodems.org/platform/,,searched_not_found,"Searched the official Colorado Democratic Party site, indexed coloradodems.org results, likely PDF/upload locations, and Wayback availability for the official platform page. The current official page identifies its platform as adopted in 2024; a June 2023 official-page archive lacks an adoption year, and a secondary copy labeled 2018 could not be tied to an official or archived official source. No cycle-appropriate official 2018 platform/planks URL was verified."
context-state-party-hi-2018,Hawaii,HI,2018,state,state_democratic_party,Democratic Party of Hawaii,,2018 Democratic Party of Hawaii Platform,state_party_platform_archive,2018-05-28,2018-05-28,https://web.archive.org/web/20180701124407/https://hawaiidemocrats.org/wp-content/uploads/2018/06/2018-05-28-Platform-FINAL.pdf,https://web.archive.org/web/20180701124407/https://hawaiidemocrats.org/wp-content/uploads/2018/06/2018-05-28-Platform-FINAL.pdf,verified,Archived official Hawaii Democratic Party platform PDF used for the 2018 cycle.
context-state-party-il-2018,Illinois,IL,2018,state,state_democratic_party,Democratic Party of Illinois,,Democratic Party of Illinois full platform search seed,state_party_platform_search_seed,,,https://www.ildems.com/,,searched_not_found,"Official Democratic Party of Illinois site and Wayback discovery were searched for a qualifying 2018 full state platform, but none was confirmed in the bounded pass."
context-state-party-in-2018,Indiana,IN,2018,state,state_democratic_party,Indiana Democratic Party,,Indiana Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.indems.org/,,searched_not_found,"Official Indiana Democratic Party site and Wayback discovery were searched for a qualifying 2018 full state platform, but none was confirmed in the bounded pass."
context-state-party-ky-2018,Kentucky,KY,2018,state,state_democratic_party,Kentucky Democratic Party,,Kentucky Democratic Party site search seed,state_party_platform_search_seed,,,https://www.kydemocrats.org/,,searched_not_found,Official Kentucky Democratic Party site was searched but no full state party platform document was recovered for the 2018 cycle.
context-state-party-md-2018,Maryland,MD,2018,state,state_democratic_party,Maryland Democratic Party,,Maryland Democratic Party site search seed,state_party_platform_search_seed,,,https://mddems.org/,,searched_not_found,Official Maryland Democratic Party site was searched but no full state party platform document was recovered for the 2018 cycle.
context-state-party-me-2018,Maine,ME,2018,state,state_democratic_party,Maine Democratic Party,,Maine Democratic Party platform search seed,state_party_platform_search_seed,,,https://www.mainedems.org/,,searched_not_found,"Official Maine Democratic Party site and Wayback discovery were searched for a qualifying 2018 full platform document, but none was confirmed in the bounded pass."
context-state-party-mi-2018,Michigan,MI,2018,state,state_democratic_party,Michigan Democratic Party,,Michigan Democratic Party full platform search seed,state_party_platform_search_seed,,,https://michigandems.com/,,searched_not_found,"Official Michigan Democratic Party site and Wayback discovery were searched for a qualifying 2018 full state platform, but none was confirmed in the bounded pass."
context-state-party-ms-2018,Mississippi,MS,2018,state,state_democratic_party,Mississippi Democratic Party,,Mississippi Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.mississippidemocrats.org/,,searched_not_found,"Official Mississippi Democratic Party site and Wayback discovery were searched for a qualifying 2018 full state platform, but none was confirmed in the bounded pass."
context-state-party-mt-2018,Montana,MT,2018,state,state_democratic_party,Montana Democratic Party,,Montana Democratic Party site search seed,state_party_platform_search_seed,,,https://www.montanademocrats.org/,,searched_not_found,Official Montana Democratic Party site was searched but no full state party platform document was recovered for the 2018 cycle.
context-state-party-nv-2018,Nevada,NV,2018,state,state_democratic_party,Nevada State Democratic Party,,Nevada Democratic Party platform search seed,state_party_platform_search_seed,,,https://nvdems.com/,,searched_not_found,"Official Nevada Democratic Party media materials and historical/archival discovery were searched for a recoverable 2018 full state platform, but no qualifying full platform document was confirmed in the bounded pass."
context-state-party-ny-full-platform-2018,New York,NY,2018,state,state_democratic_party,New York State Democratic Party,,New York State Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.nydems.org/about,,searched_not_found,"Official New York State Democratic Party materials were searched for a qualifying full state platform, but only about/resolution/archive analog materials were confirmed in the bounded pass."
context-state-party-pa-full-platform-2018,Pennsylvania,PA,2018,state,state_democratic_party,Pennsylvania Democratic Party,,Pennsylvania Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.padems.com/what-we-stand-for/,,searched_not_found,"Official Pennsylvania Democratic Party materials were searched for a qualifying full platform for this cycle, but only the What We Stand For issue-page analog was confirmed in the bounded pass."
context-state-party-ri-2018,Rhode Island,RI,2018,state,state_democratic_party,Rhode Island Democratic Party,,Rhode Island Democratic Party Platform,state_party_platform,2018,2018,https://www.ridemocrats.org/wp-content/uploads/2019/02/Rhode-Island-Democratic-Party-Platform.pdf,,verified,Official Rhode Island Democratic Party platform PDF used for the 2018 cycle.
synthetic-tx-2018-dsa_state_local-916d26c29ae7273a,Texas,TX,2018,local,dsa_state_local,Houston Democratic Socialists of America,Houston DSA,Houston DSA 2018 Primary Endorsement Slate and Issue Planks,chapter_endorsement_slate_issue_planks,2018-01-15,2018,https://houstondsa.org/2018/01/15/houston-dsa-announces-2018-primary-endorsements/,https://web.archive.org/web/20191021140606id_/https://houstondsa.org/2018/01/15/houston-dsa-announces-2018-primary-endorsements/,verified,"Official Houston DSA 2018 primary endorsement announcement states the slate was adopted by a majority membership vote and records cycle-specific planks including economic and social equality, workplace/community democracy, criminal-justice reform, public education, Medicaid expansion, a higher minimum wage, climate action, Medicare for All, reproductive rights, and labor rights. Publication date is used for adoption_date. This is an official endorsement slate with issue planks, not a standalone full platform or questionnaire."
context-state-party-tx-2018,Texas,TX,2018,state,state_democratic_party,Texas Democratic Party,,2018 Texas Democratic Party Platform,state_party_platform,2018-07-01,2018-07-01,https://texasdemocrats.org/wp-content/uploads/2018/07/2018-Texas-Democratic-Party-Platform.pdf,https://web.archive.org/web/20180718190850/https://texasdemocrats.org/wp-content/uploads/2018/07/2018-Texas-Democratic-Party-Platform.pdf,verified,Official Texas Democratic Party 2018 platform PDF.
context-state-party-wi-2018,Wisconsin,WI,2018,state,state_democratic_party,Democratic Party of Wisconsin,,DPW 2018 Platform adopted by convention on 2 June 2018,state_party_platform,2018-06-02,2018-06-02,https://wisdems.org/e186d21f8c7946a19faed23c3da2f0da/fcc4f1c94aa9414eaa887852bac4f180/files/2018-Convention-Documents/DPW-2018-Platform---Adopted-by-Convention-on-2-June-2018.pdf,,verified,Official Democratic Party of Wisconsin 2018 platform PDF adopted on 2 June 2018.
context-state-party-la-2019,Louisiana,LA,2019,state,state_democratic_party,Louisiana Democratic Party,,Louisiana Democratic Party site search seed,state_party_platform_search_seed,,,https://lademo.org/,,searched_not_found,Official Louisiana Democratic Party site was searched but no full state party platform document was recovered for the 2019 cycle.
context-state-party-mo-2019,Missouri,MO,2019,state,state_democratic_party,Missouri Democratic Party,,Missouri Democratic Party full platform search seed,state_party_platform_search_seed,,,https://missouridems.org/,,searched_not_found,"Official Missouri Democratic Party materials and Wayback discovery were searched for a qualifying 2019 full state platform, but none was confirmed in the bounded pass."
context-state-party-ny-full-platform-2019,New York,NY,2019,state,state_democratic_party,New York State Democratic Party,,New York State Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.nydems.org/about,,searched_not_found,"Official New York State Democratic Party materials were searched for a qualifying full state platform, but only about/resolution/archive analog materials were confirmed in the bounded pass."
context-state-party-pa-full-platform-2019,Pennsylvania,PA,2019,state,state_democratic_party,Pennsylvania Democratic Party,,Pennsylvania Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.padems.com/what-we-stand-for/,,searched_not_found,"Official Pennsylvania Democratic Party materials were searched for a qualifying full platform for this cycle, but only the What We Stand For issue-page analog was confirmed in the bounded pass."
context-state-party-va-full-platform-2019,Virginia,VA,2019,state,state_democratic_party,Democratic Party of Virginia,,Democratic Party of Virginia full platform search seed,state_party_platform_search_seed,,,https://vademocrats.org/,,searched_not_found,"Official Democratic Party of Virginia materials were searched for a qualifying full policy platform, but only party-plan/procedural materials were confirmed in the bounded pass."
context-dnc-ca-2020,California,CA,2020,national,dnc_national,Democratic National Committee,,2020 Democratic Party Platform,national_party_platform,2020-08-17,2020-08-17,https://democrats.org/wp-content/uploads/sites/2/2020/08/2020-Democratic-Party-Platform.pdf,,verified,Official DNC platform aligned to 2020-2023 represented primary cycles until superseded by the 2024 platform.
context-dsa-national-ca-2020,California,CA,2020,national,dsa_national,Democratic Socialists of America,,2019 convention electoral strategy resolutions (#31 and #82),dsa_national_electoral_strategy_resolutions,2019,2019,https://docs.google.com/document/d/126wVQCrdpfzS1KfPr6vsVY3rKtMXhKZTH4Lq2oohDh8/edit,,verified,"Official DSA national electoral-strategy resolution text covering 2020-2021 cycles; the official convention results page is https://www.dsausa.org/national-convention/?sfns=mo. This is an electoral-strategy resolution set, not a full platform."
context-east-bay-dsa-ca-2020,California,CA,2020,local,dsa_state_local,East Bay Democratic Socialists of America,East Bay DSA,East Bay DSA Platform,chapter_platform,,,https://www.eastbaydsa.org/platform/,,verified,Official chapter platform used as California local context for the 2020 cycle.
context-state-party-ca-2020,California,CA,2020,state,state_democratic_party,California Democratic Party,,Our Platform,state_party_platform,,,https://cadem.org/our-platform/,https://web.archive.org/web/20220526231519/https://cadem.org/our-platform/,verified,Official California Democratic Party platform page applied to the 2020 cycle; 2022 archive capture preserves the page state.
context-state-party-co-2020,Colorado,CO,2020,state,state_democratic_party,Colorado Democratic Party,,Colorado Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.coloradodems.org/platform/,,searched_not_found,"Official Colorado Democratic Party materials and archived discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-ct-2020,Connecticut,CT,2020,state,state_democratic_party,Connecticut Democrats,,Connecticut Democrats full platform search seed,state_party_platform_search_seed,,,https://ctdems.org/,,searched_not_found,"Official Connecticut Democrats site, sitemap/search, and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-dc-2020,District of Columbia,DC,2020,state,state_democratic_party,DC Democratic Party,,DC Democratic Party site search seed,state_party_platform_search_seed,,,https://dcdemocraticparty.org/,,searched_not_found,Official DC Democratic Party site was searched but no full state party platform document was recovered for the 2020 cycle.
context-state-party-de-2020,Delaware,DE,2020,state,state_democratic_party,Delaware Democratic Party,,2017 Delaware Democratic Party Platform,state_party_platform,2017-07-01,2017-07-01,https://delawaredems.com/wp-content/uploads/2017/07/2017-Platform.pdf,https://web.archive.org/web/20180626002655/https://delawaredems.com/wp-content/uploads/2017/07/2017-Platform.pdf,verified,Official Delaware Democratic Party 2017 platform carried into the 2020 cycle.
context-state-party-fl-2020,Florida,FL,2020,state,state_democratic_party,Florida Democratic Party,,Florida Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.floridadems.org/,,searched_not_found,"Official Florida Democratic Party site and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-ga-2020,Georgia,GA,2020,state,state_democratic_party,Democratic Party of Georgia,,Democratic Party of Georgia full platform search seed,state_party_platform_search_seed,,,https://georgiademocrat.org/,,searched_not_found,"Official Democratic Party of Georgia site and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-id-2020,Idaho,ID,2020,state,state_democratic_party,Idaho Democratic Party,,Where We Stand,state_party_platform_archive,,2020,https://web.archive.org/web/20200712232316/https://idahodems.org/where-we-stand/,https://web.archive.org/web/20200712232316/https://idahodems.org/where-we-stand/,verified,Archived official Idaho Democratic Party platform page used for the 2020 cycle.
context-state-party-il-2020,Illinois,IL,2020,state,state_democratic_party,Democratic Party of Illinois,,Democratic Party of Illinois full platform search seed,state_party_platform_search_seed,,,https://www.ildems.com/,,searched_not_found,"Official Democratic Party of Illinois site and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-ks-2020,Kansas,KS,2020,state,state_democratic_party,Kansas Democratic Party,,Kansas Democratic Party full platform search seed,state_party_platform_search_seed,,,https://kansasdems.org/,,searched_not_found,"Official Kansas Democratic Party site and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-ky-2020,Kentucky,KY,2020,state,state_democratic_party,Kentucky Democratic Party,,Kentucky Democratic Party site search seed,state_party_platform_search_seed,,,https://www.kydemocrats.org/,,searched_not_found,Official Kentucky Democratic Party site was searched but no full state party platform document was recovered for the 2020 cycle.
context-state-party-ma-2020,Massachusetts,MA,2020,state,state_democratic_party,Massachusetts Democratic Party,,Massachusetts Democratic Party full platform search seed,state_party_platform_search_seed,,,https://massdems.org/,,searched_not_found,"Official Massachusetts Democratic Party materials were searched for a qualifying 2020 full state platform. The 2013 and 2021 platforms were identified, but no continuity evidence justified a 2020 carry-forward."
context-state-party-md-2020,Maryland,MD,2020,state,state_democratic_party,Maryland Democratic Party,,Maryland Democratic Party site search seed,state_party_platform_search_seed,,,https://mddems.org/,,searched_not_found,Official Maryland Democratic Party site was searched but no full state party platform document was recovered for the 2020 cycle.
context-state-party-mi-2020,Michigan,MI,2020,state,state_democratic_party,Michigan Democratic Party,,2020 MDP Platform Final Draft,state_party_platform,2020-08,2020-08,https://michigandems.com/wp-content/uploads/2020/08/2020-MDP-Platform-Final-Draft-8.28-.pdf,https://michigandems.com/wp-json/wp/v2/media/8454,verified,Official Michigan Democratic Party 2020 full platform PDF with official media metadata evidence.
synthetic-mn-2020-state_democratic_party-526c636ca95e8a74,Minnesota,MN,2020,state,state_democratic_party,Minnesota Democratic Party,,2020 Minnesota DFL State Convention Passed Resolutions,state_party_adopted_resolutions,2020,2020,https://www.dfl.org/wp-content/uploads/2020/08/State-Convention-Passed-Resolutions-2020.pdf,https://web.archive.org/web/20200920053640id_/https://www.dfl.org/wp-content/uploads/2020/08/State-Convention-Passed-Resolutions-2020.pdf,verified,"The official Minnesota DFL upload is a six-page document titled “State Convention Passed Resolutions 2020,” listing each adopted plank, description, convention vote total, and rank. It is cycle-specific official adopted-plank evidence. The live file now returns 404, but Wayback CDX confirmed the official dfl.org PDF and this September 20, 2020 capture preserves it; the official DFL Ongoing Platform and 2020 site/PDF archive were also searched."
context-state-party-mo-2020,Missouri,MO,2020,state,state_democratic_party,Missouri Democratic Party,,Missouri Democratic Party full platform search seed,state_party_platform_search_seed,,,https://missouridems.org/,,searched_not_found,"Official Missouri Democratic Party materials and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-mt-2020,Montana,MT,2020,state,state_democratic_party,Montana Democratic Party,,Montana Democratic Party site search seed,state_party_platform_search_seed,,,https://www.montanademocrats.org/,,searched_not_found,Official Montana Democratic Party site was searched but no full state party platform document was recovered for the 2020 cycle.
context-state-party-nc-2020,North Carolina,NC,2020,state,state_democratic_party,North Carolina Democratic Party,,Platform & Resolutions Committee: 2020 Platform Report,state_party_platform,2020-06-06,2020-06-06,https://drive.google.com/file/d/1YdJIp2r-sG7XKQSgqLH1hAOVx7MvH29X/view?usp=sharing,https://www.ncdp.org/2020-stateconvention/,verified,Official North Carolina Democratic Party 2020 state-convention platform report linked from the official convention page.
context-state-party-ny-full-platform-2020,New York,NY,2020,state,state_democratic_party,New York State Democratic Party,,New York State Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.nydems.org/about,,searched_not_found,"Official New York State Democratic Party materials were searched for a qualifying full state platform, but only about/resolution/archive analog materials were confirmed in the bounded pass."
context-state-party-or-2020,Oregon,OR,2020,state,state_democratic_party,Democratic Party of Oregon,,Democratic Party of Oregon platform search seed,state_party_platform_search_seed,,,https://dpo.org/,,searched_not_found,A full Oregon Democratic Party platform for the 2020 cycle was not recovered in the bounded pass; research suggests a likely 2019 platform period but no qualifying full document was confirmed.
context-state-party-pa-full-platform-2020,Pennsylvania,PA,2020,state,state_democratic_party,Pennsylvania Democratic Party,,Pennsylvania Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.padems.com/what-we-stand-for/,,searched_not_found,"Official Pennsylvania Democratic Party materials were searched for a qualifying full platform for this cycle, but only the What We Stand For issue-page analog was confirmed in the bounded pass."
context-ri-dsa-ri-2020-endorsements,Rhode Island,RI,2020,local,dsa_state_local,Rhode Island Democratic Socialists of America,Rhode Island DSA,Rhode Island DSA Endorsements,chapter_endorsement_archive,,,https://ridsa.org/endorsements,,verified,Official Rhode Island DSA endorsements page used as local electoral context for the 2020 cycle; not a full platform.
context-ri-dsa-ri-2020-strategy,Rhode Island,RI,2020,local,dsa_state_local,Rhode Island Democratic Socialists of America,Rhode Island DSA,Rhode Island DSA Electoral Strategy,chapter_electoral_strategy,,,https://ridsa.org/electoral-strategy,,verified,Official Rhode Island DSA electoral strategy page used as local electoral context for the 2020 cycle; not a full platform.
context-state-party-ri-2020,Rhode Island,RI,2020,state,state_democratic_party,Rhode Island Democratic Party,,Rhode Island Democratic Party Platform carried into the 2020 cycle,state_party_platform,2018,2018,https://www.ridemocrats.org/wp-content/uploads/2019/02/Rhode-Island-Democratic-Party-Platform.pdf,https://web.archive.org/web/20200924203537/https://www.ridemocrats.org/wp-content/uploads/2019/02/Rhode-Island-Democratic-Party-Platform.pdf,verified,"Official Rhode Island Democratic Party platform PDF carried into the 2020 cycle with archived September 24, 2020 continuity evidence."
context-state-party-tn-2020,Tennessee,TN,2020,state,state_democratic_party,Tennessee Democratic Party,,Tennessee Democratic Party full platform search seed,state_party_platform_search_seed,,,https://tndp.org/,,searched_not_found,"Official Tennessee Democratic Party site and Wayback discovery were searched for a qualifying 2020 full state platform, but none was confirmed in the bounded pass."
context-state-party-tx-2020,Texas,TX,2020,state,state_democratic_party,Texas Democratic Party,,2020 Texas Democratic Party Platform,state_party_platform,2020-07-01,2020-07-01,https://texasdemocrats.org/wp-content/uploads/2020/07/2020-Texas-Democratic-Party-Platform.pdf,https://web.archive.org/web/20200923185648/https://texasdemocrats.org/wp-content/uploads/2020/07/2020-Texas-Democratic-Party-Platform.pdf,verified,Official Texas Democratic Party 2020 platform PDF.
context-state-party-va-full-platform-2020,Virginia,VA,2020,state,state_democratic_party,Democratic Party of Virginia,,Democratic Party of Virginia full platform search seed,state_party_platform_search_seed,,,https://vademocrats.org/,,searched_not_found,"Official Democratic Party of Virginia materials were searched for a qualifying full policy platform, but only party-plan/procedural materials were confirmed in the bounded pass."
context-state-party-vt-2020,Vermont,VT,2020,state,state_democratic_party,Vermont Democratic Party,,Vermont Democratic Party Platform carried into the 2020 cycle,state_party_platform_archive,2018,2018,https://web.archive.org/web/20200817080021/https://www.vtdemocrats.org/platform,https://web.archive.org/web/20200817080021/https://www.vtdemocrats.org/platform,verified,Official Vermont Democratic Party 2018 platform archive carried into the 2020 cycle.
context-state-party-wa-2020,Washington,WA,2020,state,state_democratic_party,Washington State Democratic Party,,WSDCC 2020 Final Platform,state_party_platform,2020-06-01,2020-06-01,https://wadems.org/wp-content/uploads/2020/06/WSDCC-2020-Final-Platform.pdf,,verified,Official Washington State Democratic Party 2020 platform PDF.
context-state-party-wi-2020,Wisconsin,WI,2020,state,state_democratic_party,Democratic Party of Wisconsin,,DPW 2018 Platform carried into the 2020 cycle,state_party_platform,2018-06-02,2018-06-02,https://wisdems.org/e186d21f8c7946a19faed23c3da2f0da/fcc4f1c94aa9414eaa887852bac4f180/files/2018-Convention-Documents/DPW-2018-Platform---Adopted-by-Convention-on-2-June-2018.pdf,,verified,Official Democratic Party of Wisconsin 2018 adopted platform carried forward as the best available full platform for the 2020 cycle until superseded by a later verified platform.
context-state-party-az-2021,Arizona,AZ,2021,state,state_democratic_party,Arizona Democratic Party,,Arizona Democratic Party full platform search seed,state_party_platform_search_seed,,,https://azdem.org/,,searched_not_found,"Official Arizona Democratic Party sitemap, site search, and CDX discovery were checked for the 2021 cycle, but no qualifying full state platform document was recovered."
synthetic-ct-2021-state_democratic_party-f61a10ccdb368948,Connecticut,CT,2021,state,state_democratic_party,Connecticut Democratic Party,,Connecticut Democrats Platform,state_party_platform,,,https://ctdems.org/your-party/platform/,https://web.archive.org/web/20210728030137/https://ctdems.org/your-party/platform/,verified,"The official Connecticut Democrats platform page was live throughout 2021; Wayback CDX located official captures in February, May, July, and October 2021. The selected July 28 capture preserves the full platform with planks covering education, economic security, health care, environment, criminal justice, civil rights, guns, transportation, voting, immigration, and press freedom. The page does not state an adoption date, so adoption/effective dates are left blank; the original historical URL now redirects to the party homepage."
synthetic-ny-2021-dsa_state_local-085aceedf419e882,New York,NY,2021,local,dsa_state_local,Mid-Hudson Valley,Mid-Hudson Valley,Statement: Phil Erner’s Victory Against the 14-Term Incumbent and Chair of the Ulster County Legislature,chapter_endorsement_statement_with_electoral_planks,2021-07-01,2021-07-01,https://mhvdsa.org/phil-erners-victory/,https://web.archive.org/web/20221003210438/https://mhvdsa.org/phil-erners-victory/,verified,"Official Mid-Hudson Valley DSA 2021 endorsement/campaign statement. It is not a standalone chapter platform or questionnaire, but it supplies cycle-specific adopted electoral planks: affordable housing and basic needs, universal health care/New York Health Act, school and hospital funding, public power, green jobs, and a Green New Deal. Official live page and archive verified; sitemap publication metadata dates the statement to 2021-07-01."
context-state-party-ny-full-platform-2021,New York,NY,2021,state,state_democratic_party,New York State Democratic Party,,New York State Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.nydems.org/about,,searched_not_found,"Official New York State Democratic Party materials were searched for a qualifying full state platform, but only about/resolution/archive analog materials were confirmed in the bounded pass."
context-state-party-oh-2021,Ohio,OH,2021,state,state_democratic_party,Ohio Democratic Party,,Ohio Democratic Party platform search seed,state_party_platform_search_seed,,,https://ohiodems.org/,,searched_not_found,Official Ohio Democratic Party site/API and media search did not recover a qualifying full state platform for the 2021 represented cycle.
