race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-22fe359f88b8827fa9c3,2025-06-24,City Council,Ward 8 (Poughkeepsie),New York,NY,https://elections.dutchessny.gov/wp-content/uploads/2025/06/PE25-Candidate-Notice.pdf,verified,Verified from the Dutchess County Board of Elections 2025 primary candidate notice.
race-23a81db2e61ea7e89f32,2026-05-19,State Representative,House District 28,Alabama,AL,https://vote4roberthunter.com/,verified,Verified from Robert Hunter's campaign website.
race-272467423dd3b8accee4,2026-06-09,State Assembly,District 34,Nevada,NV,https://navarrofornevada.com/,verified,Verified from Shaun Navarro's campaign website.
race-272d21c083662bb8a814,2026-06-23,State Senate,District 13,Utah,UT,https://vote.utah.gov/wp-content/uploads/2026/01/S13-Taylor-J-Paden.pdf,verified,Verified from Utah declaration-of-candidacy filing for State Senate District 13.
race-2c2133100c33cde0b378,2026-06-23,State Assembly,District 149,New York,NY,https://bojakforassembly.com/,verified,Verified from Adam Bojak's campaign website.
race-2c460539f3855b59165c,2025-09-09,City Council,New London,Connecticut,CT,https://electionhistory.ct.gov/contest/43156,verified,Verified from Connecticut election-history contest data for the New London City Council Democratic primary.
race-2d77a10e3b62e9f5ec19,2026-08-04,US House,District 13,Michigan,MI,https://thanedar.house.gov/,verified,Verified from Shri Thanedar's official House page (MI-13) together with Donavan McKinney's campaign page.
race-39f265caadf4efc1cdd3,2026-06-23,State Assembly,District 38,New York,NY,https://nyassembly.gov/mem/Jenifer-Rajkumar/,verified,Verified from Assemblymember Jenifer Rajkumar's official New York Assembly page.
race-3b2b88f146005f2e7e13,2026-08-04,City Council,Ward 4 (Ann Arbor),Michigan,MI,,source_unavailable,"Opponent campaign material and local coverage identify Ann Arbor Ward 4, but no official or candidate-controlled source for Dave Zeglen was located."
race-3db62fccce64bbd64336,2026-05-19,State House,District 58,Georgia,GA,,source_unavailable,"Third-party coverage and an opponent campaign domain indicate Georgia House District 58, but no accessible official or candidate-controlled source was located."
race-3ecc1eb1bf0838801a6b,2026-06-23,State Assembly,District 50,New York,NY,https://nyassembly.gov/mem/Emily-Gallagher/,verified,Verified from Emily Gallagher's official New York Assembly page.
race-3f9a5712e5759d632957,2026-06-23,County Council,District 5 (Prince George's County),Maryland,MD,,source_unavailable,Only non-official questionnaire/PDF references were located; no official or candidate-controlled source found.
race-3feef0e6623161e871c8,2026-06-23,County Council,District 3 (Montgomery County),Maryland,MD,,source_unavailable,"Questionnaires and local coverage identify Montgomery County Council District 3, but no official or candidate-controlled source was located."
race-4203a44e4268ffb9f421,2026-08-04,US House,District 12,Michigan,MI,https://tlaib.house.gov/,verified,Verified from Rashida Tlaib's official House page (MI-12).
race-46743736b1d8a06d6eff,2026-03-17,US House,District 6,Illinois,IL,https://www.elections.il.gov/ElectionOperations/CandidateDetailEO.aspx?CandidateID=o4GK79lBXbq6LlHS9XyM9w%3d%3d&ElectionID=Z2J%2fvYpKX8w%3d,verified,Verified from Illinois State Board of Elections candidate-detail data.
race-4999db34a0dac2410460,2026-03-17,State Senate,District 24,Illinois,IL,https://mcadamsforil.com/,verified,Verified from Ben McAdams's campaign website.
race-4ab4dfc62a70075bfc27,2025-06-24,County Legislature,District 8 (Onondaga County),New York,NY,,source_unavailable,"Central Current Q&A identifies Onondaga County Legislature District 8, but no official or candidate-controlled source was located."
race-4d9e32ed7f0d618a96ce,2026-06-23,US House,District 14,New York,NY,https://ocasio-cortez.house.gov/,verified,Verified from Alexandria Ocasio-Cortez's official House page (NY-14).
race-54b552116a27a8f0ef97,2026-09-01,State Representative,12th Hampden,Massachusetts,MA,https://www.sec.state.ma.us/divisions/elections/research-and-statistics/dem-state-primary-candidates2026.htm,verified,Verified from the Massachusetts 2026 Democratic state-primary candidate list.
race-62284e6ada39ddf7906f,2026-05-19,State House,District 58,Georgia,GA,,source_unavailable,"Third-party coverage and an opponent campaign domain indicate Georgia House District 58, but no accessible official or candidate-controlled source was located."
race-64bde8b146c8826d40ce,2026-06-23,US House,District 13,New York,NY,https://espaillat.house.gov/,verified,Verified from Adriano Espaillat's official House page (NY-13).
race-7280deaba4ff6d65102b,2026-06-23,State Assembly,District 65,New York,NY,,source_unavailable,No official or candidate-controlled source located; queue and campaign references only support New York Assembly District 65.
race-739b00d07e247e111eb1,2025-10-11,City Council,District E (New Orleans),Louisiana,LA,https://www.danyelle4districte.com/platform,verified,"Verified from Danyelle Christmas's campaign platform page, which describes the New Orleans District E City Council race."
race-73ab9dfc740e7a921829,2026-08-04,Mayor,Ann Arbor,Michigan,MI,https://taylorforannarbor.com/,verified,Verified from Christopher Taylor's campaign website for the Ann Arbor mayoral race.
race-74050d04f83c96e831f1,2026-05-19,Governor,Idaho,Idaho,ID,,source_unavailable,Only third-party election coverage was located for the Idaho Democratic gubernatorial primary; no official or candidate-controlled source was found.
race-769f83762ec3df2d24a4,2026-06-09,State Assembly,District 34,Nevada,NV,https://navarrofornevada.com/,verified,Verified from Shaun Navarro's campaign website.
race-76c7cbb9d6b99bc5d802,2026-06-02,US House,District 26,California,CA,https://drsoniaforcongress.com/,verified,Verified from opponent Sonia Devgan-Kacker's campaign website identifying CA-26.
race-77a704658c0877fef129,2025-08-05,City Council,Ward 3 (Tucson),Arizona,AZ,https://www.tucsonaz.gov/files/sharedassets/public/v/1/clerks/documents/campaign-finance/campaign-finance-reports/2025/shaw-07-15-25-quarterly-citystate-report.pdf,verified,Verified from Tucson campaign-finance filings for Sadie Shaw; the referenced campaign domain now resolves elsewhere.
race-7887f598f39fd35231f5,2026-08-04,State Representative,District 8,Michigan,MI,https://chrisgilmerhill.com/,verified,Verified from Chris Gilmer-Hill's campaign website.
race-7d1d86d506cf06be54a0,2026-06-23,State Assembly,District 54,New York,NY,https://cct4nyc.com/,verified,Verified from Christian Celeste Tate's campaign website.
race-81e2713609390a44638a,2026-06-23,State Assembly,District 70,New York,NY,https://elections.ny.gov/system/files/documents/2026/05/accessible-june-23-2026-primary-certification-amended-5.13.26_0.pdf,verified,Verified from New York State Board of Elections primary certification.
race-8b7a8f7e7882f4f63dbb,2026-06-23,State Assembly,District 56,New York,NY,https://baileyfor56.com/,verified,Verified from opponent Michael Bailey's campaign website identifying Assembly District 56.
race-8dbe7e847ee21df8fe5f,2026-08-11,State Senate,District 2,Connecticut,CT,https://www.bloomfieldct.gov/1218/Primary---August-11-2026,verified,Verified from official Bloomfield primary-election information for the Connecticut Senate District 2 race.
race-9172cee3bc57bf96a6c8,2026-06-23,State Assembly,District 36,New York,NY,,source_unavailable,No official election authority or candidate-controlled source located during review.
race-92d9ab18d64e4a42b737,2026-06-30,US House,District 1,Colorado,CO,https://www.kirosforco.com/,verified,Verified from Melat Kiros's campaign website for Colorado's First District.
race-93787fac3bcf83084723,2026-05-19,State Representative,District 35,Oregon,OR,https://secure.sos.state.or.us/orestar/cfDetail.do?cfRsn=24174&page=search,verified,Verified from Oregon ORESTAR candidate filing.
race-95a691a9cb8491b42328,2026-05-19,US House,District 3,Pennsylvania,PA,https://www.chrisrabb.com/press,verified,Verified from Chris Rabb's campaign press page referencing the PA-03 congressional race.
race-963c37b83b359ddc79cb,2026-08-04,Mayor,Ypsilanti,Michigan,MI,,source_unavailable,Only local news and a now-parked campaign domain were located; no accessible official or candidate-controlled source confirmed the race metadata.
race-996219411814ef8b62f1,2026-06-02,State Representative,District 60,New Mexico,NM,,source_unavailable,Only third-party election directories were located; no official or candidate-controlled source found.
race-9a964e5d79326deb3255,2026-02-03,State Senate,District 35,Michigan,MI,,source_unavailable,"Campaign-launch coverage identifies the Michigan Senate District 35 special primary, but no official or candidate-controlled source was located."
race-9c84c4f62bbebc0b7b7d,2025-06-24,Common Council,Ward 5 (Ithaca),New York,NY,https://hannahforithaca.com/,verified,Verified from Hannah Shvets's campaign website.
race-a0ccc13a066fcae2bee5,2026-08-04,State Representative,District 26,Michigan,MI,https://housedems.com/dylan-wegela/about/,verified,"Verified from the Michigan House Democrats page for Rep. Dylan Wegela, which identifies District 26."
race-a0d0079bd79eae1cceb4,2026-08-11,US House,District 3,Wisconsin,WI,https://bergeforcongress.com/,verified,Verified from Emily Berge's campaign website for Wisconsin's 3rd District.
race-a392fccdcf3d58c3c5a9,2025-08-05,City Council,Ward 6 (Tucson),Arizona,AZ,https://mirandaforward6.com/,verified,Verified from Miranda Schubert's campaign website.
race-a493243e3fd4b72b829f,2026-06-16,Mayor,District of Columbia,District of Columbia,DC,https://janeesefordc.com/,verified,Verified from Janeese Lewis George's campaign website.
race-a4cb4c786c15bc1f06d5,2026-06-23,County Council,District 9 (Prince George's County),Maryland,MD,https://imaracrooms.com/,verified,Verified from Imara Crooms's campaign website.
race-a8714bfc41c3a8b6f98f,2026-06-23,State Assembly,District 37,New York,NY,https://samanthaforqueens.com/,verified,Verified from Samantha Kattan's campaign website.
race-ac18370d47435bd68552,2026-08-04,State Representative,District 24 Position 2,Washington,WA,,source_unavailable,Only a third-party voter-guide profile and opponent campaign site were located; no official or candidate-controlled source found.
race-ac20ab59155880ab9c39,2026-05-19,State Representative,District 7,Oregon,OR,,source_unavailable,Only third-party voter-guide/news coverage was located for Oregon House District 7; no official or candidate-controlled source found.
race-b1a420450d32f5e0bd93,2026-03-17,US House,District 8,Illinois,IL,https://sanjyotforcongress.com/news/rep-susie-lee-endorses-sanjyot-dunung-for-illinois-8th-congressional-district,verified,Verified from opponent Sanjyot Dunung's campaign press release identifying Illinois' 8th Congressional District.
race-b5fb722f3ee83006712a,2026-06-02,Lieutenant Governor,Statewide,California,CA,https://vig.cdn.sos.ca.gov/2026/primary/pdf/candidate-statements.pdf,verified,Verified from the California Secretary of State 2026 primary voter guide.
race-bac785822c8a53b0ea8e,2026-06-23,State Senate,District 23,Maryland,MD,https://raaheela.com/,verified,Verified from Raaheela Ahmed's campaign website.
race-c0281c2f7e9fa4145d2d,2026-06-23,County Legislature,District 8 (Onondaga County),New York,NY,,source_unavailable,"Central Current Q&A identifies Onondaga County Legislature District 8, but no official or candidate-controlled source was located."
race-ceb86db4c84836622c21,2025-06-24,City Council,Rochester,New York,NY,,source_unavailable,"Democrat and Chronicle coverage identifies the Rochester City Council primary, but no official or candidate-controlled source was located."
race-d2aabb75a31f1e810737,2026-06-23,US House,District 7,New York,NY,,source_unavailable,"Third-party questionnaire coverage identifies the race to succeed Rep. Nydia Velazquez, but no official or candidate-controlled source was located."
race-d696522faa4508ad99d7,2026-06-02,City Council,Ward 1 (Plainfield),New Jersey,NJ,https://megforqueencity.com/,verified,Verified from Meghana Anandarangam's campaign website.
race-d6b2b42e806068d1745f,2026-05-19,State Representative,District 27,Oregon,OR,https://tammyfororegon.com/,verified,Verified from Tammy Carpenter's campaign website.
race-d8835fb9366a2e5d54c7,2026-06-23,State Delegate,District 39,Maryland,MD,https://georgeformaryland.com/,verified,Verified from opponent George Lluberes's campaign website identifying the Maryland District 39 delegate race.
race-de21053db68753151e45,2025-09-09,City Council,District 2 (Frederick),Maryland,MD,https://cityoffrederick.com/DocumentCenter/View/25311/Diaz-First-Report,verified,Verified from official Frederick campaign-finance filings for Cesar Diaz for District 2.
race-e187caea2168121e2e21,2026-06-23,County Legislature,District 15 (Onondaga County),New York,NY,https://onondaga.gov/elections/wp-content/uploads/sites/191/2026/05/2026-Primary-Election-Candidate-List-No-Addresses.pdf,verified,Verified from the Onondaga County Board of Elections 2026 primary candidate list.
race-e311906b4ccb39c194bc,2026-05-19,City Council,District 5 (Louisville Metro),Kentucky,KY,,source_unavailable,No official election authority or candidate-controlled source located during review.
race-e380dcac34b2bd829dd4,2026-08-04,City Council,Ward 2 (Ypsilanti),Michigan,MI,https://amyrondel.com/,verified,Verified from Amy Rondel's campaign website.
race-e87b28f84c6a49987afa,2026-08-11,State Assembly,District 76,Wisconsin,WI,,source_unavailable,Only third-party election coverage was located for Wisconsin Assembly District 76; no official or candidate-controlled source was found.
race-e8e05c727cae155eb824,2026-06-23,County Commissioner,District 3 (Charles County),Maryland,MD,https://votejameswade.com/,verified,"Verified from James Wade's campaign website, which identifies the Charles County Commissioner District 3 race."
race-ea4b493abc12bd83e1d8,2026-03-17,State Senate,District 24,Illinois,IL,https://mcadamsforil.com/,verified,Verified from Ben McAdams's campaign website.
race-ecc2987534fdb6d1d696,2025-09-09,Legislative Council,At-Large (Hamden),Connecticut,CT,,source_unavailable,"Local coverage identifies the Hamden Legislative Council at-large primary, but no official or candidate-controlled source was located."
race-f1e0f94b57d24c62031b,2026-05-19,State House,District 42,Georgia,GA,https://sanchezforgeorgia.com/,verified,Verified from Gabriel Sanchez's campaign website.
race-fc455554338c9836cfc0,2026-06-23,State Senate,District 25,New York,NY,https://jabariforstatesenate.com/,verified,Verified from Jabari Brisport's campaign website.
race-fd97e89a58d56d7d9494,2026-06-23,County Council,At-Large (Montgomery County),Maryland,MD,https://karlasilvestre.com/,verified,Verified from opponent Karla Silvestre's campaign website identifying the Montgomery County Council at-large race.
