source_pdf,page,chamber,district,primary_party,candidate_name,candidate_source_id,declared_party,write_in,votes,contest_total
wi-2026-partisan-primary-summary.pdf,9,House,07,Democratic,Chris Armstrong,wi-2026-house-07-democratic-1,Democratic,False,20764,68282
wi-2026-partisan-primary-summary.pdf,9,House,07,Democratic,Fred Clark,wi-2026-house-07-democratic-2,Democratic,False,25716,68282
wi-2026-partisan-primary-summary.pdf,9,House,07,Democratic,Ginger Murray,wi-2026-house-07-democratic-3,Democratic,False,21726,68282
wi-2026-partisan-primary-summary.pdf,9,House,07,Democratic,SCATTERING,wi-2026-house-07-democratic-4,,True,76,68282
wi-2026-partisan-primary-summary.pdf,9,House,07,Constitution,SCATTERING,wi-2026-house-07-constitution-1,,True,14,14
wi-2026-partisan-primary-summary.pdf,9,House,07,Libertarian,SCATTERING,wi-2026-house-07-libertarian-1,,True,10,10
wi-2026-partisan-primary-summary.pdf,9,House,07,Wisconsin Green,SCATTERING,wi-2026-house-07-wisconsin-green-1,,True,5,5
wi-2026-partisan-primary-summary.pdf,10,House,08,Republican,Tony Wied,wi-2026-house-08-republican-1,Republican,False,63211,63348
wi-2026-partisan-primary-summary.pdf,10,House,08,Republican,SCATTERING,wi-2026-house-08-republican-2,,True,137,63348
wi-2026-partisan-primary-summary.pdf,10,House,08,Democratic,Mark Christopher Scheffler,wi-2026-house-08-democratic-1,Democratic,False,23392,70855
wi-2026-partisan-primary-summary.pdf,10,House,08,Democratic,Rick Crosson,wi-2026-house-08-democratic-2,Democratic,False,24970,70855
wi-2026-partisan-primary-summary.pdf,10,House,08,Democratic,Katrina deVille,wi-2026-house-08-democratic-3,Democratic,False,22405,70855
wi-2026-partisan-primary-summary.pdf,10,House,08,Democratic,SCATTERING,wi-2026-house-08-democratic-4,,True,88,70855
wi-2026-partisan-primary-summary.pdf,10,House,08,Constitution,SCATTERING,wi-2026-house-08-constitution-1,,True,8,8
wi-2026-partisan-primary-summary.pdf,10,House,08,Libertarian,SCATTERING,wi-2026-house-08-libertarian-1,,True,16,16
wi-2026-partisan-primary-summary.pdf,10,House,08,Wisconsin Green,SCATTERING,wi-2026-house-08-wisconsin-green-1,,True,10,10
