source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
la-2026-house-future-qualifying-roster,LA,2026-11-03,nonpartisan_primary,official_candidate_inquiry_roster,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,la/2026/la-2026-11-03-house-candidate-inquiry.html,2026-09-22,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,captured,verified_official_future_roster,qualifying_roster_not_results,future_election,39,6,qualified U.S. House candidates in districts 1-6,office IDs 70195-70200 and candidate sections,"Retained separately in future_qualifying_roster.csv. No votes, winner status, or nomination outcome is inferred."
ms-2024-democratic-primary-recap,MS,2024-03-12,primary,official_statewide_recap_pdf,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-democratic-primary-recap.pdf,2026-09-22,c885b427e8950f4aa5255697aaeb065c315cc47289563f09621a39e7dd98dd03,captured,verified_official,official_results,final_county_recap,5,4,published statewide federal party-primary totals,PDF page and extracted-text line,"X cells mean county not in contest, not zero votes."
ms-2024-democratic-primary-recap-text,MS,2024-03-12,primary,derived_pdf_text,Derived from Mississippi Secretary of State PDF,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-democratic-primary-recap.txt,2026-09-22,dbfd9648d73f01e1c5dd55011ee83c5eb104636322f299aee4e9197aa37f504c,captured,derived_parser_input,inherits_pdf,inherits_pdf,5,4,all PDF pages with physical PAGE markers,text line locators recorded per result row,Extracted with pypdf 6.16.0; result rows hash the PDF.
ms-2024-republican-primary-recap,MS,2024-03-12,primary,official_statewide_recap_pdf,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-republican-primary-recap.pdf,2026-09-22,668cd6e8d7820c2e63326fab958f3b0b390922cc80c83b3771c80ae8a7f6da66,captured,verified_official,official_results,final_county_recap,11,5,published statewide federal party-primary totals,PDF page and extracted-text line,"X cells mean county not in contest, not zero votes."
ms-2024-republican-primary-recap-text,MS,2024-03-12,primary,derived_pdf_text,Derived from Mississippi Secretary of State PDF,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-republican-primary-recap.txt,2026-09-22,50e724bed1f77eba4132759ce4e6f9bc63add00b290d5bd3386f9e66c85276ba,captured,derived_parser_input,inherits_pdf,inherits_pdf,11,5,all PDF pages with physical PAGE markers,text line locators recorded per result row,Extracted with pypdf 6.16.0; result rows hash the PDF.
ms-2024-republican-primary-runoff-recap,MS,2024-04-02,primary_runoff,official_statewide_recap_pdf,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-republican-primary-runoff-recap.pdf,2026-09-22,7e90d0e91b8c25f2f293308bfd152cecfb2595713b55a5e58d77722132736738,captured,verified_official,official_results,final_county_recap,2,1,published statewide federal party-primary totals,PDF page and extracted-text line,"X cells mean county not in contest, not zero votes."
ms-2024-republican-primary-runoff-recap-text,MS,2024-04-02,primary_runoff,derived_pdf_text,Derived from Mississippi Secretary of State PDF,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2024/ms-2024-republican-primary-runoff-recap.txt,2026-09-22,7e1b8fabca52f7318817cb966047ae25a2c579f7c9efe2e676df12781c67e6cc,captured,derived_parser_input,inherits_pdf,inherits_pdf,2,1,all PDF pages with physical PAGE markers,text line locators recorded per result row,Extracted with pypdf 6.16.0; result rows hash the PDF.
ms-2026-democratic-primary-recap,MS,2026-03-10,primary,official_statewide_recap_pdf,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2026/ms-2026-democratic-primary-recap.pdf,2026-09-22,270b461a23890b7b593146fc10055e3d75e91057ebd4614e17a4064fd94444c4,captured,verified_official,official_results,final_county_recap,11,5,published statewide federal party-primary totals,PDF page and extracted-text line,"X cells mean county not in contest, not zero votes."
ms-2026-democratic-primary-recap-text,MS,2026-03-10,primary,derived_pdf_text,Derived from Mississippi Secretary of State PDF,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2026/ms-2026-democratic-primary-recap.txt,2026-09-22,2db41d15ba4aa167498ee3c179bc047f93ca5f357f286def25989cd7d06917f7,captured,derived_parser_input,inherits_pdf,inherits_pdf,11,5,all PDF pages with physical PAGE markers,text line locators recorded per result row,Extracted with pypdf 6.16.0; result rows hash the PDF.
ms-2026-republican-primary-recap,MS,2026-03-10,primary,official_statewide_recap_pdf,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2026/ms-2026-republican-primary-recap.pdf,2026-09-22,4710107c67435530a3923becf34d5810fb4870b84118240033d1374fb6a38c66,captured,verified_official,official_results,final_county_recap,8,5,published statewide federal party-primary totals,PDF page and extracted-text line,"X cells mean county not in contest, not zero votes."
ms-2026-republican-primary-recap-text,MS,2026-03-10,primary,derived_pdf_text,Derived from Mississippi Secretary of State PDF,https://www.sos.ms.gov/elections-voting/election-results,https://www.sos.ms.gov/elections-voting/election-results,ms/2026/ms-2026-republican-primary-recap.txt,2026-09-22,ca8e4be5a610389ff8167c03e9cefbd6073ff2330d06e10df8e01b75f88fe676,captured,derived_parser_input,inherits_pdf,inherits_pdf,8,5,all PDF pages with physical PAGE markers,text line locators recorded per result row,Extracted with pypdf 6.16.0; result rows hash the PDF.
ok-2024-june-primary-results,OK,2024-06-18,primary,official_public_results_application_json,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://results.okelections.gov/OKER/?elecDate=20240618,ok/2024/ok-2024-06-18-primary.json,2026-09-22,9ac653a904c8a6232917c325cf1d34a15fe0ffbb015a9b016a1821984ffb3dd7,captured,verified_official,isOfficial=true,all_precincts_reporting,14,5,all published statewide federal primary contests,race and result JSON array indexes,Captured from the public application's authenticated network response.
ok-2024-august-runoff-results,OK,2024-08-27,primary_runoff,official_public_results_application_json,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://results.okelections.gov/OKER/?elecDate=20240827,ok/2024/ok-2024-08-27-runoff.json,2026-09-22,f71017a3adde6fdf75d87548cca3e2622ccf6f0b4ebd249d612d706acfa237e6,captured,verified_official,isOfficial=true,all_precincts_reporting,0,0,all published statewide federal primary contests,race and result JSON array indexes,Captured from the public application's authenticated network response.
ok-2026-june-primary-results,OK,2026-06-16,primary,official_public_results_application_json,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://results.okelections.gov/OKER/?elecDate=20260616,ok/2026/ok-2026-06-16-primary.json,2026-09-22,a6a5985fa31812564dab8a847ce8567762f979d0875cac886583ff15457f6851,captured,verified_official,isOfficial=true,all_precincts_reporting,35,10,all published statewide federal primary contests,race and result JSON array indexes,Captured from the public application's authenticated network response.
ok-2026-august-runoff-results,OK,2026-08-25,primary_runoff,official_public_results_application_json,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://results.okelections.gov/OKER/?elecDate=20260825,ok/2026/ok-2026-08-25-runoff.json,2026-09-22,fab9e9c157a811e4169e69f58d7d461d188799b0dbde08bfdc930c592c6eeddb,captured,verified_official,isOfficial=true,all_precincts_reporting,2,1,all published statewide federal primary contests,race and result JSON array indexes,Captured from the public application's authenticated network response.
ok-2024-official-candidate-roster,OK,,roster_or_observation,official_candidate_roster_or_withdrawal,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://oklahoma.gov/elections/elections-results.html,ok/2024/ok-2024-candidate-roster.json,2026-09-22,99c474ae427f2792f1ed3f4656683a12a92ef391c263d4ffff305bac929f6dac,captured,verified_official,not_vote_results,roster_only,4,0,missing primary units or nomination-resolution observation,"candidate ID, PDF page, or withdrawal table",Used only for missing unopposed/no-candidate primary units.
ok-2026-official-candidate-book,OK,,roster_or_observation,official_candidate_roster_or_withdrawal,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://oklahoma.gov/elections/elections-results.html,ok/2026/ok-2026-candidate-list-book.pdf,2026-09-22,c5e56857e341527dba9535d13be7c109ccadebe575f5f71f2000d3467c8ff5fe,captured,verified_official,not_vote_results,roster_only,3,0,missing primary units or nomination-resolution observation,"candidate ID, PDF page, or withdrawal table",Official ballot-proof candidate book; roster-only rows carry no votes.
ok-2026-candidate-withdrawals,OK,,roster_or_observation,official_candidate_roster_or_withdrawal,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://oklahoma.gov/elections/elections-results.html,ok/2026/ok-2026-candidate-withdrawals.html,2026-09-22,46dbac23ca6ff839cef6a4756cca14474009d71bb081c817c24b1a62d9e70fce,captured,verified_official,not_vote_results,roster_only,0,0,missing primary units or nomination-resolution observation,"candidate ID, PDF page, or withdrawal table",Documents the June 19 House District 1 Republican withdrawal.
ok-2026-derived-roster-only-extraction,OK,,roster_or_observation,official_candidate_roster_or_withdrawal,Oklahoma State Election Board,https://oklahoma.gov/elections/elections-results.html,https://oklahoma.gov/elections/elections-results.html,ok/2026/ok-2026-roster-only.csv,2026-09-22,53715e0885b16e21ed7669a752f73956567d64c7f4df788fe390671f8ff89869,captured,verified_official,not_vote_results,roster_only,7,7,missing primary units or nomination-resolution observation,"candidate ID, PDF page, or withdrawal table",Structured extraction of three no-result primary units from the candidate book.
