#FormatVersion 1																				
#Contest ID	Contest Title	Contest Seq Nbr	Contest Type	Contest Party	Mail Blank Votes	In-Person Blank Votes	Mail Over Votes	In-Person Over Votes	Mail Invalid Votes	In-Person Invalid Votes	Registered Voters	Total Precincts	Counted Precincts	Candidate ID	Candidate Name	Candidate Seq Nbr	Candidate Party	Mail Votes	In-Person Votes	Total Votes
27	"State Representative, Dist 9"	46	OF	D	622	14	0	0	138	2	846543	10	10	1	"WOODSON, Justin H."	1		3021	48	3069
507	"State Representative, Dist 10"	47	OF	R	262	20	0	0	119	6	846543	14	14	2	"BUMANGLAG, Travis"	1		873	61	934
156	"State Representative, Dist 10"	48	OF	D	412	7	3	0	150	4	846543	14	14	2	"MIYAKE, Tyson K."	2		3702	62	3764
156	"State Representative, Dist 10"	48	OF	D	412	7	3	0	150	4	846543	14	14	1	"KAHO'OHANOHANO, Ki'i"	1		1181	38	1219
396	"State Representative, Dist 11"	49	OF	R	191	8	0	0	58	0	846543	8	8	2	"WALKER, Sheila"	1		995	55	1050
271	"State Representative, Dist 11"	50	OF	D	913	8	0	0	68	1	846543	8	8	1	"AMATO, Terez (T.Amato)"	1		2908	30	2938
285	"State Representative, Dist 12"	51	OF	R	212	9	0	0	80	1	846543	10	10	1	"JOHNSON, Dan"	1		941	50	991
188	"State Representative, Dist 12"	52	OF	D	348	4	7	0	135	2	846543	10	10	1	"YAMASHITA, Kyle T."	2		3039	32	3071
188	"State Representative, Dist 12"	52	OF	D	348	4	7	0	135	2	846543	10	10	2	"KUOHA, Keoni"	1		2441	36	2477
330	"State Representative, Dist 13"	53	OF	R	200	11	0	0	80	2	846543	18	18	1	"VANDERPOOL, Robin D."	1		669	51	720
151	"State Representative, Dist 13"	54	OF	D	1010	10	0	0	105	3	846543	18	18	1	"POEPOE, Mahina"	1		3004	66	3070
493	"State Representative, Dist 14"	55	OF	G	2	0	0	0	172	4	846543	10	10	1	"KIAKONA, Pa'ele"	1		164	17	181
290	"State Representative, Dist 14"	56	OF	R	286	30	0	0	96	4	846543	10	10	1	"COCHRAN, Elle"	1		667	59	726
32	"State Representative, Dist 14"	57	OF	D	362	13	3	0	122	5	846543	10	10	3	"PATEL, Sne"	3		963	32	995
32	"State Representative, Dist 14"	57	OF	D	362	13	3	0	122	5	846543	10	10	1	"OLSON, Ashley"	2		904	27	931
32	"State Representative, Dist 14"	57	OF	D	362	13	3	0	122	5	846543	10	10	2	"BALINBIN, Kanamu"	1		703	23	726
232	"State Representative, Dist 15"	58	OF	D	800	28	0	0	117	1	846543	10	10	1	"NAKAMURA, Nadine K."	1		3387	89	3476
323	"State Representative, Dist 16"	59	OF	R	275	21	0	0	84	2	846543	10	10	2	"HAZLEBECK, David"	1		814	120	934
204	"State Representative, Dist 16"	60	OF	D	931	29	0	0	111	4	846543	10	10	1	"EVSLIN, Luke A."	1		4013	134	4147
300	"State Representative, Dist 17"	61	OF	R	321	16	0	0	58	0	846543	12	12	1	"CLUETT, Misty"	1		703	65	768
165	"State Representative, Dist 17"	62	OF	D	498	7	5	0	147	3	846543	12	12	3	"MORIKAWA, Daynette (Dee)"	1		3191	60	3251
165	"State Representative, Dist 17"	62	OF	D	498	7	5	0	147	3	846543	12	12	2	"SCHIMMELFENNIG, Chad K."	2		1231	37	1268
334	"State Representative, Dist 18"	63	OF	R	149	8	0	0	61	0	846543	10	10	1	"GEDEON, Joe"	1		1272	37	1309
373	"State Representative, Dist 18"	64	OF	D	2043	13	0	0	50	0	846543	10	10	1	"WATARU, James (Jamie)"	1		5089	16	5105
36	"State Representative, Dist 19"	65	OF	D	552	2	1	0	114	3	846543	8	8	1	"HASHEM, Mark Jun"	1		4144	17	4161
36	"State Representative, Dist 19"	65	OF	D	552	2	1	0	114	3	846543	8	8	2	"PACARRO, Kahi"	2		3107	49	3156
276	"State Representative, Dist 20"	66	OF	R	133	2	0	0	43	1	846543	10	10	1	"ASING, David"	1		629	24	653
37	"State Representative, Dist 20"	67	OF	D	1317	12	0	0	34	1	846543	10	10	1	"NAKADA GRANDINETTI, Tina"	1		4422	39	4461
167	"State Representative, Dist 21"	68	OF	D	328	1	8	0	113	0	846543	8	8	3	"TURBIN, Derek"	5		2620	18	2638
167	"State Representative, Dist 21"	68	OF	D	328	1	8	0	113	0	846543	8	8	1	"MORROW, Jake Takaya"	3		1337	23	1360
167	"State Representative, Dist 21"	68	OF	D	328	1	8	0	113	0	846543	8	8	2	"PHOMSOUVANH, Andrew"	4		1331	9	1340
167	"State Representative, Dist 21"	68	OF	D	328	1	8	0	113	0	846543	8	8	4	"KNIGHT, Angie"	2		342	5	347
167	"State Representative, Dist 21"	68	OF	D	328	1	8	0	113	0	846543	8	8	5	"ASUEGA-FUALAAU, Ranell"	1		166	1	167
39	"State Representative, Dist 22"	69	OF	D	1199	17	0	0	37	1	846543	10	10	1	"GARRETT, Andrew Takuya"	1		4917	41	4958
548	"State Representative, Dist 23"	70	OF	R	95	5	0	0	38	1	846543	10	10	1	"MUH, Victor"	1		478	26	504
203	"State Representative, Dist 23"	71	OF	D	850	19	0	0	53	1	846543	10	10	1	"OLDS, Ikaika M."	1		2869	49	2918
368	"State Representative, Dist 24"	72	OF	N	55	1	0	0	69	3	846543	8	8	1	"CLAUSEN, Jonathan"	1		74	0	74
41	"State Representative, Dist 24"	73	OF	D	221	2	4	0	116	2	846543	8	8	1	"TAM, Adrian"	2		3023	38	3061
41	"State Representative, Dist 24"	73	OF	D	221	2	4	0	116	2	846543	8	8	2	"EASTMAN, Bulla"	1		440	12	452
42	"State Representative, Dist 25"	74	OF	D	1214	24	0	0	67	5	846543	8	8	1	"IWAMOTO, Kim Coco"	1		3698	59	3757
530	"State Representative, Dist 26"	75	OF	R	66	2	0	0	50	0	846543	8	8	3	"SILVA, Tony"	2		367	26	393
530	"State Representative, Dist 26"	75	OF	R	66	2	0	0	50	0	846543	8	8	2	"MCCREARY, Robin C. (Robyn)"	1		316	27	343
160	"State Representative, Dist 26"	76	OF	D	400	5	2	0	69	3	846543	8	8	3	"ROSS, Ian M.A."	4		1989	28	2017
160	"State Representative, Dist 26"	76	OF	D	400	5	2	0	69	3	846543	8	8	2	"CHAR, Nathan Kenichi"	1		1483	26	1509
160	"State Representative, Dist 26"	76	OF	D	400	5	2	0	69	3	846543	8	8	1	"FUJINAKA, Janel S."	2		718	24	742
160	"State Representative, Dist 26"	76	OF	D	400	5	2	0	69	3	846543	8	8	4	"HEIM, Arjuna"	3		415	6	421
44	"State Representative, Dist 27"	77	OF	D	1044	17	0	0	57	2	846543	8	8	1	"TAKENOUCHI, Jenna W.Y.C."	1		5528	57	5585
45	"State Representative, Dist 28"	78	OF	D	197	2	5	0	88	4	846543	8	8	3	"RATCLIFFE, Michael (Cov)"	5		719	13	732
45	"State Representative, Dist 28"	78	OF	D	197	2	5	0	88	4	846543	8	8	5	"ALVES, Nadia"	2		631	13	644
45	"State Representative, Dist 28"	78	OF	D	197	2	5	0	88	4	846543	8	8	2	"NAGATANI, Anthony A. (Tony)"	4		564	7	571
45	"State Representative, Dist 28"	78	OF	D	197	2	5	0	88	4	846543	8	8	1	"ABIHAI, Reno"	1		246	6	252
45	"State Representative, Dist 28"	78	OF	D	197	2	5	0	88	4	846543	8	8	4	"CARAVALHO, Ernest"	3		198	5	203
270	"State Representative, Dist 29"	79	OF	R	88	7	0	0	45	1	846543	8	8	1	"ABALOS, Tess"	1		431	16	447
217	"State Representative, Dist 29"	80	OF	D	57	1	3	0	118	0	846543	8	8	1	"HUSSEY, Ikaika"	1		1385	13	1398
217	"State Representative, Dist 29"	80	OF	D	57	1	3	0	118	0	846543	8	8	2	"MIZUNO, John M."	2		1350	11	1361
332	"State Representative, Dist 30"	81	OF	R	39	1	0	0	92	1	846543	8	8	2	"YBANEZ, Amanda"	1		216	4	220
332	"State Representative, Dist 30"	81	OF	R	39	1	0	0	92	1	846543	8	8	3	"YOUNG, Angela Melody"	2		173	7	180
190	"State Representative, Dist 30"	82	OF	D	65	0	0	0	93	2	846543	8	8	1	"TEMPLO, Shirley Ann"	3		1180	12	1192
190	"State Representative, Dist 30"	82	OF	D	65	0	0	0	93	2	846543	8	8	3	"KEALOHA, Kekoa O Pololu"	2		430	9	439
190	"State Representative, Dist 30"	82	OF	D	65	0	0	0	93	2	846543	8	8	2	"FAATEA, Faatea S."	1		117	1	118
291	"State Representative, Dist 31"	83	OF	R	90	5	0	0	46	0	846543	8	8	1	"VALDEZ, Nancy"	1		577	25	602
179	"State Representative, Dist 31"	84	OF	D	432	8	0	0	62	1	846543	8	8	1	"ICHIYAMA, Linda"	1		3130	15	3145
313	"State Representative, Dist 32"	85	OF	R	69	5	0	0	74	3	846543	10	10	1	"SHIMIZU, Garner M."	1		877	27	904
211	"State Representative, Dist 32"	86	OF	D	1289	19	0	0	46	1	846543	10	10	2	"AIU, Micah Pookela Kim"	1		2782	18	2800
173	"State Representative, Dist 33"	87	OF	D	1640	16	0	0	63	1	846543	8	8	1	"KONG, Sam Satoru"	1		5061	28	5089
324	"State Representative, Dist 34"	88	OF	R	138	5	0	0	46	0	846543	8	8	2	"DUPIO, Gaius, II (Kipi)"	1		797	31	828
166	"State Representative, Dist 34"	89	OF	D	893	11	0	0	30	0	846543	8	8	1	"TAKAYAMA, Gregg"	1		4012	19	4031
52	"State Representative, Dist 35"	90	OF	D	707	2	0	0	60	1	846543	12	12	1	"CHUN, Cory M."	1		2961	12	2973
53	"State Representative, Dist 36"	91	OF	D	107	0	4	0	82	3	846543	8	8	3	"HARTSFIELD, Daisy Balais"	2		981	7	988
53	"State Representative, Dist 36"	91	OF	D	107	0	4	0	82	3	846543	8	8	2	"BARSATAN, Eric C."	1		728	8	736
53	"State Representative, Dist 36"	91	OF	D	107	0	4	0	82	3	846543	8	8	1	"MORITA, Maurice"	3		347	3	350
511	"State Representative, Dist 37"	92	OF	N	31	1	0	0	71	1	846543	8	8	1	"SVRCINA, Emil"	1		56	3	59
54	"State Representative, Dist 37"	93	OF	D	554	3	2	0	60	2	846543	8	8	1	"LA CHICA, Trish"	1		5015	28	5043
54	"State Representative, Dist 37"	93	OF	D	554	3	2	0	60	2	846543	8	8	2	"NAGAMINE, Trevor T."	2		1171	9	1180
305	"State Representative, Dist 38"	94	OF	R	67	5	0	0	83	0	846543	8	8	1	"CHEAPE MATSUMOTO, Lauren"	1		1244	45	1289
320	"State Representative, Dist 39"	95	OF	R	81	6	0	0	68	2	846543	12	12	1	"DEGRACIA, Daniel (Danny)"	1		743	33	776
320	"State Representative, Dist 39"	95	OF	R	81	6	0	0	68	2	846543	12	12	2	"KAIWI, Wayne"	2		440	34	474
56	"State Representative, Dist 39"	96	OF	D	209	1	2	0	81	2	846543	12	12	1	"ROSENLEE, Corey"	2		2161	25	2186
56	"State Representative, Dist 39"	96	OF	D	209	1	2	0	81	2	846543	12	12	2	"DOCTOLERO, Loren Keola"	1		1283	20	1303
312	"State Representative, Dist 40"	97	OF	R	175	10	0	0	70	1	846543	8	8	1	"REYES ODA, Julie"	1		1087	76	1163
57	"State Representative, Dist 40"	98	OF	D	369	10	0	0	57	3	846543	8	8	1	"MARTINEZ, Rose"	1		1869	26	1895
296	"State Representative, Dist 41"	99	OF	R	147	12	0	0	55	0	846543	10	10	1	"ALCOS, David A., III"	1		1138	79	1217
301	"State Representative, Dist 42"	100	OF	R	51	6	0	0	70	0	846543	8	8	1	"GARCIA, Diamond"	1		854	87	941
59	"State Representative, Dist 42"	101	OF	D	632	9	0	0	44	1	846543	8	8	1	"PARIS, Anthony Makana"	1		1962	34	1996
289	"State Representative, Dist 43"	102	OF	R	32	3	3	0	119	4	846543	8	8	2	"MEDEIROS, Sheila"	1		733	109	842
289	"State Representative, Dist 43"	102	OF	R	32	3	3	0	119	4	846543	8	8	3	"SOUZA, Kanani"	2		809	33	842
419	"State Representative, Dist 44"	103	OF	N	13	0	0	0	105	4	846543	8	8	1	"DE LA CRUZ, Blessings"	1		36	5	41
463	"State Representative, Dist 44"	104	OF	R	79	6	0	0	56	4	846543	8	8	2	"WEAVER, Charla (Kahealani)"	1		840	60	900
61	"State Representative, Dist 44"	105	OF	D	72	3	1	0	81	2	846543	8	8	2	"KILA, Darius K."	2		1734	26	1760
61	"State Representative, Dist 44"	105	OF	D	72	3	1	0	81	2	846543	8	8	1	"KAHIKINA, Michael P."	1		223	5	228
303	"State Representative, Dist 45"	106	OF	R	54	9	0	0	61	2	846543	8	8	2	"MURAOKA, Chris"	1		855	55	910
247	"State Representative, Dist 45"	107	OF	D	359	5	0	0	29	1	846543	8	8	1	"KAOPUA, Kalehua"	1		1389	27	1416
314	"State Representative, Dist 46"	108	OF	R	119	3	1	0	66	1	846543	14	14	1	"GABRIEL, Daniel Michael"	1		724	76	800
314	"State Representative, Dist 46"	108	OF	R	119	3	1	0	66	1	846543	14	14	2	"YOUNGSTROM, Rocklin"	2		224	23	247
62	"State Representative, Dist 46"	109	OF	D	487	12	0	0	92	0	846543	14	14	1	"PERRUSO, Amy A."	1		2719	41	2760
288	"State Representative, Dist 47"	110	OF	R	127	4	0	0	46	0	846543	8	8	1	"TALAEAI, Mark"	1		959	48	1007
215	"State Representative, Dist 47"	111	OF	D	280	0	0	0	39	0	846543	8	8	1	"QUINLAN, Sean"	1		1749	16	1765
172	"State Representative, Dist 48"	112	OF	D	811	9	0	0	34	0	846543	10	10	1	"KITAGAWA, Lisa C."	1		4275	33	4308
306	"State Representative, Dist 49"	113	OF	R	225	15	0	0	38	2	846543	12	12	1	"RODAS, 'Ale"	1		933	91	1024
65	"State Representative, Dist 49"	114	OF	D	700	10	0	0	48	4	846543	12	12	2	"MATAYOSHI, Scot"	1		4341	24	4365
356	"State Representative, Dist 50"	115	OF	G	1	0	0	0	48	1	846543	10	10	1	"FITZGERALD, Jesse W.M."	1		23	0	23
66	"State Representative, Dist 50"	116	OF	D	1001	5	0	0	67	1	846543	10	10	1	"LEE, Mike"	1		4825	31	4856
154	"State Representative, Dist 51"	117	OF	D	138	3	6	0	118	5	846543	10	10	2	"MARTEN, Lisa"	3		3376	11	3387
154	"State Representative, Dist 51"	117	OF	D	138	3	6	0	118	5	846543	10	10	1	"KALAMA, Micah C.K."	2		1316	26	1342
154	"State Representative, Dist 51"	117	OF	D	138	3	6	0	118	5	846543	10	10	3	"HAUMSCHILD, Steve"	1		253	0	253
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	9	"GALUTERIA, Brickwood M."	8		73598	1198	74796
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	15	"WAIHEE, John, IV"	15		69636	1125	70761
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	6	"ANDERSON, Ikaika"	2		57737	1181	58918
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	8	"SOUZA, Keoni"	14		56536	1464	58000
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	7	"AKINA, Adrian (Kealii)"	1		42704	1334	44038
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	2	"CRABBE, Kanekoa (Koa)"	7		29367	941	30308
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	10	"PARISH, Kalena A."	13		27268	1041	28309
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	13	"LEE, Brendon Kalei'aina"	10		22911	586	23497
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	16	"COSTELLO, Michelle (Mikala)"	6		22141	613	22754
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	4	"BAKER, Karl Veto"	3		19376	600	19976
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	1	"NIHIPALI, R. Kunani, Sr."	12		18575	619	19194
115	At-Large Trustee	118	OF	NON	340530	6807	531	4	0	0	846543	494	494	12	"BURKE, Jackie Kahookele"	5		14074	414	14488
