document_id,url,final_url,publication_date,retrieved_at,retrieved_at_precision,raw_path,sha256,bytes,status,notes,content_type,artifact_kind,artifact_type
il08-sanjyot-dunung-wttw-followup,https://news.wttw.com/elections/voters-guide/2026-primary/sanjyot-dunung,https://news.wttw.com/elections/voters-guide/2026-primary/sanjyot-dunung,,2026-09-23T01:52:56.665184+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-sanjyot-dunung-wttw-followup/42533f41ed9a98dee359ddafe60648268226f9212dd88b2d84eb1d83bd9d167f.html,42533f41ed9a98dee359ddafe60648268226f9212dd88b2d84eb1d83bd9d167f,70219,timing_unverified,Full candidate questionnaire; paragraphs 117-121 are the candidate's healthcare answer. Publication time and the exact version before the primary remain unverified.,text/html,,
il08-yasmeen-bankole-wttw-followup,https://news.wttw.com/elections/voters-guide/2026-primary/yasmeen-bankole,https://news.wttw.com/elections/voters-guide/2026-primary/yasmeen-bankole,,2026-09-23T01:52:56.714430+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-yasmeen-bankole-wttw-followup/e4d457a0d939106a81b420487e3adc2be694caa4587135a114965a98a0bd6cbd.html,e4d457a0d939106a81b420487e3adc2be694caa4587135a114965a98a0bd6cbd,61327,timing_unverified,Full candidate questionnaire; paragraphs 98-99 are the candidate's healthcare answer. Original publication date and pre-primary version are unverified.,text/html,,
il08-neil-khot-campaign-current,https://neilforcongress.com/priorities/,https://neilforcongress.com/priorities/,,2026-09-23T01:58:26.821911+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-neil-khot-campaign-current/6c7e131e08bc77ee227a54f5df2eca2fa3da68aafff8377f976921d68a6bf560.html,6c7e131e08bc77ee227a54f5df2eca2fa3da68aafff8377f976921d68a6bf560,210695,excluded,"Undated live capture retained for provenance. Its complete extracted text matches the subsequently recovered pre-primary archive, which now supports the excerpts; this live copy is not double-counted.",text/html,,
il08-melissa-bean-campaign-current,https://www.melissabeanforcongress.com/issues,https://www.melissabeanforcongress.com/issues,,2026-09-23T01:59:33.529899+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-melissa-bean-campaign-current/28ab85eaf2602287ff5ad39ca393e7ff5159f12a17bfd5abe70e06f91ed7fa49.html,28ab85eaf2602287ff5ad39ca393e7ff5159f12a17bfd5abe70e06f91ed7fa49,614809,timing_unverified,Official campaign platform for the Illinois 8th District; third-person bullets explicitly follow Melissa Bean will. Publication date is unknown; this is not asserted to be the pre-primary version.,text/html,,
il08-ryan-vetticad-archive-20260317,https://www.ryanforillinois.com/,https://web.archive.org/web/20260319025455id_/https://www.ryanforillinois.com/,,2026-09-23T02:02:06.739869+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-ryan-vetticad-archive-20260317/e2cb37e7235d4777e0ef8431ff173827c3ebff0c0dc1b90be01e664c145a45d5.com,e2cb37e7235d4777e0ef8431ff173827c3ebff0c0dc1b90be01e664c145a45d5,340875,timing_unverified,"Full archived campaign homepage identifies Ryan Vetticad in the footer and contains his first-person platform. Requested March 17 snapshot redirected to March 19 after the primary; the actual final capture date is retained, not backdated.",text/html,,
pa03-ala-stanford-citystate-413461,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-ala-stanford/413461/?oref=ng-homepage-top-story,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-ala-stanford/413461/?oref=ng-homepage-top-story,2026-05-11,2026-09-23T02:09:44.828847+00:00,timestamp,data/raw/policy_pa_il_2026/followup/pa03-ala-stanford-citystate-413461/a8d46e686c4d5e6a7f5aef861548b815302263a3441fcc200d327a0d340099ef.html,a8d46e686c4d5e6a7f5aef861548b815302263a3441fcc200d327a0d340099ef,148257,used,Actual candidate questionnaire and title verified at article 413461. Earlier guessed/indexed article IDs redirected to unrelated publications and are not used. Healthcare answer at paragraph 92.,text/html,,
pa03-cbs-affordability-20260513,https://www.cbsnews.com/philadelphia/news/pennsylvania-primary-2026-third-congressional-district-affordability/,https://www.cbsnews.com/philadelphia/news/pennsylvania-primary-2026-third-congressional-district-affordability/,2026-05-13,2026-09-23T02:09:44.794886+00:00,timestamp,data/raw/policy_pa_il_2026/followup/pa03-cbs-affordability-20260513/c68a65fd6028efeae58a0b6bca128daa3627001bb88b8cfca3e38bd0d0383617.html,c68a65fd6028efeae58a0b6bca128daa3627001bb88b8cfca3e38bd0d0383617,676323,used,Published May 13 at 6:32PM EDT in paragraph 142. Paragraph 161 is a direct quotation attributed to Griffith; reporter narration and other candidates' words are not attributed to him.,text/html,,
pa03-shaun-griffith-rendered,https://griffithforcongress.org/,https://griffithforcongress.org/,,2026-09-23T02:08:23.340Z,timestamp,data/raw/policy_pa_il_2026/followup/pa03-shaun-griffith-rendered/db659e630e73ead99952cf0e9c3973476332c7b735974849050f9bcc7a8fab90.html,db659e630e73ead99952cf0e9c3973476332c7b735974849050f9bcc7a8fab90,24595,timing_unverified,"Full visible DOM of the official JavaScript campaign site, rendered in an isolated sandboxed browser. Campaign text is attributable, but publication date and pre-primary version are unverified. Not a video transcript.",text/html,rendered_dom,
il08-neil-khot-archive-20260317,https://neilforcongress.com/priorities/,https://web.archive.org/web/20260317005959id_/https://neilforcongress.com/priorities/,,2026-09-23T02:21:35.412569+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-neil-khot-archive-20260317/c5e2b7527a9736bba27187a720e8fb0a076766aa222f89baa18b17c0fc55112d.html,c5e2b7527a9736bba27187a720e8fb0a076766aa222f89baa18b17c0fc55112d,210620,used,"Replay retained the requested March 17 00:59:59 UTC capture, before the local Illinois primary day. Complete extracted text matches the reviewed live page, including healthcare paragraphs 47-48. Capture date is not publication date.",text/html,,
il08-morrison-afc-questionnaire-text,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,,2026-09-23,date_only,data/raw/policy_pa_il_2026/il08-kevin-morrison-afc-questionnaire.txt,64380f513a5094d94daa088451f848a318784074eb1b8ad1d1ecfd46199e2c16,4888,timing_unverified,Derived full-text extraction for review and quote location; original PDF is the source capture.,text/plain,,derived_text_extraction
