state_code,cycle,election_date,stage,chamber,district,term,primary_party,coverage_status,result_rows,missing_reason,source_ids
TN,2024,2024-08-01,primary,House,05,regular,Democratic,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,05,regular,Republican,actual_results,2,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,06,regular,Democratic,actual_results,3,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,06,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,07,regular,Democratic,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,07,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,08,regular,Democratic,actual_results,5,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,08,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,09,regular,Democratic,actual_results,4,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,09,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,Senate,S,regular,Democratic,actual_results,5,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,Senate,S,regular,Republican,actual_results,2,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,01,regular,Democratic,actual_results,3,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,01,regular,Republican,actual_results,1,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,02,regular,Democratic,actual_results,1,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,02,regular,Republican,actual_results,1,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,03,regular,Democratic,actual_results,2,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,03,regular,Republican,actual_results,2,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,04,regular,Democratic,actual_results,5,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,04,regular,Republican,actual_results,4,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,05,regular,Democratic,actual_results,5,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,05,regular,Republican,actual_results,2,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,06,regular,Democratic,actual_results,5,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,06,regular,Republican,actual_results,4,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,07,regular,Democratic,actual_results,5,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,07,regular,Republican,actual_results,1,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,08,regular,Democratic,actual_results,4,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,08,regular,Republican,actual_results,1,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,09,regular,Democratic,actual_results,4,,tn-2026-statewide-primary-precinct-workbook
TN,2026,2026-08-06,primary,House,09,regular,Republican,actual_results,4,,tn-2026-statewide-primary-precinct-workbook
