,,,
Julie Oliver,,Heidi Sloan,
"11. The U.S.'s infrastructure, from our roads and bridges to our dams, waterways, and the electrical grid, have not been properly invested in nor used the advances in technology for maintenance or improvements. America is long overdue to rebuild our crumbling roads, bridges, railways, airports, public transit systems, ports, dams, wastewater plants, and other infrastructure needs.",1,"11. The U.S.'s infrastructure, from our roads and bridges to our dams, waterways, and the electrical grid, have not been properly invested in nor used the advances in technology for maintenance or improvements. America is long overdue to rebuild our crumbling roads, bridges, railways, airports, public transit systems, ports, dams, wastewater plants, and other infrastructure needs.",1
12. The U.S. defense spending is larger than that of the next seven largest defense budgets. We must firmly reject any increase in defense spending at the cost of cuts to domestic social spending.,1,12. The U.S. defense spending is larger than that of the next seven largest defense budgets. We must firmly reject any increase in defense spending at the cost of cuts to domestic social spending.,1
"13. The United States must lead the world in tackling the climate crisis. We must transform our energy system away from polluting fossil fuels, and towards energy efficiency and sustainability.",1,"13. The United States must lead the world in tackling the climate crisis. We must transform our energy system away from polluting fossil fuels, and towards energy efficiency and sustainability.",1
"14. African-Americans and Latinos are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police. They also comprise well over half of all prisoners, even though African-Americans and Latinos make up approximately one-quarter of the total US population. We must change this by de-militarizing our police forces, ban for-profit prisons, turn back from the War on Drugs, eliminate mandatory minimums, and increase investment in programs that help individuals recover from substance abuse and mental health problems.",1,"14. African-Americans and Latinos are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police. They also comprise well over half of all prisoners, even though African-Americans and Latinos make up approximately one-quarter of the total US population. We must change this by de-militarizing our police forces, ban for-profit prisons, turn back from the War on Drugs, eliminate mandatory minimums, and increase investment in programs that help individuals recover from substance abuse and mental health problems.",1
"15. Despite the central role immigrants play in our economy and in our daily lives, undocumented workers are reviled by some for political gain and shunted into the shadows. It is time for this disgraceful situation to end. We must pave the way for a swift legislative path to citizenship for 11 million undocumented immigrants and protect programs like DACA.",1,"15. Despite the central role immigrants play in our economy and in our daily lives, undocumented workers are reviled by some for political gain and shunted into the shadows. It is time for this disgraceful situation to end. We must pave the way for a swift legislative path to citizenship for 11 million undocumented immigrants and protect programs like DACA.",1
"16. The inhumane deportation machine must be dismantled by ending deportation programs, closing down private detention centers, offering humane treatment and asylum to victims of violence and minors fleeing from dangerous circumstances.",1,"16. The inhumane deportation machine must be dismantled by ending deportation programs, closing down private detention centers, offering humane treatment and asylum to victims of violence and minors fleeing from dangerous circumstances.",1
"17. The U.S. must move away from a policy of unilateral military action, and toward a policy of emphasizing compassion, diplomacy, and ensuring the decision to go to war is a last resort.",1,"17. The U.S. must move away from a policy of unilateral military action, and toward a policy of emphasizing compassion, diplomacy, and ensuring the decision to go to war is a last resort.",1
18. The U.S. must have a just approach to the Palestinian and Israeli conflict; one that supports Israel’s right to exist and that denounces human rights abuses and crimes against humanity committed by the state of Israel against the Palestinian people.,1,18. The U.S. must have a just approach to the Palestinian and Israeli conflict; one that supports Israel’s right to exist and that denounces human rights abuses and crimes against humanity committed by the state of Israel against the Palestinian people.,1
19. We should do everything possible to ensure pay equity for women.,1,19. We should do everything possible to ensure pay equity for women.,1
20. Expand and protect the reproductive rights of women.,1,20. Expand and protect the reproductive rights of women.,1
"21. The United States has made remarkable progress on gay rights in a relatively short amount of time. But there is still much work to be done. In many states, it is still legal to fire someone for being gay. It is legal to deny someone housing for being transgender. That is unacceptable and must change. We must end discrimination in all forms.",1,"21. The United States has made remarkable progress on gay rights in a relatively short amount of time. But there is still much work to be done. In many states, it is still legal to fire someone for being gay. It is legal to deny someone housing for being transgender. That is unacceptable and must change. We must end discrimination in all forms.",1
"22. As a nation, we have a moral obligation to provide the best quality care to those who have put their lives on the line to defend us. Taking care of our veterans is a cost of war. The Department of Veterans Affairs must be fully funding and expanded so that every veteran gets the care that they have earned and deserve. Additionally, claim processing, mental health and dental services, and access to the VA must be improved.",1,"22. As a nation, we have a moral obligation to provide the best quality care to those who have put their lives on the line to defend us. Taking care of our veterans is a cost of war. The Department of Veterans Affairs must be fully funding and expanded so that every veteran gets the care that they have earned and deserve. Additionally, claim processing, mental health and dental services, and access to the VA must be improved.",1
23. American unions played a critical role in building the American Middle class. Unions all across the nation are under attack from bad policies. It is beyond important to reinvigorate unions.,1,23. American unions played a critical role in building the American Middle class. Unions all across the nation are under attack from bad policies. It is beyond important to reinvigorate unions.,1
24. A Green New Deal is necessary to save our planet.,1,24. A Green New Deal is necessary to save our planet.,1
25. We need to create a job guarantee or a universal basic income.,2,25. We need to create a job guarantee or a universal basic income.,1
26. The census should not ask the immigration question.,1,26. The census should not ask the immigration question.,1
27. Automation is here. What should we do to address this issue?,Apply limitations,27. Automation is here. What should we do to address this issue?,Let it develop with oversight
"28. Do you support Medicare for Most, Medicare for Those Who Want It, the ACA 2.0, or Medicare buy ins?",Single payer is the only solution,"28. Do you support Medicare for Most, Medicare for Those Who Want It, the ACA 2.0, or Medicare buy ins?",Single payer is the only solution
29. Are moderates more likely to win?,Being a fearless progressive is the only way to motivate non-voters to the polls.,29. Are moderates more likely to win?,Being a fearless progressive is the only way to motivate non-voters to the polls.
30. When do we need a Green New Deal?,"We needed one back in the 1970's, but now that we're here we only have 10 or so years left to stop the climate crisis from getting worse",30. When do we need a Green New Deal?,"We needed one back in the 1970's, but now that we're here we only have 10 or so years left to stop the climate crisis from getting worse"
