state_code,cycle,election_date,stage,chamber,district,term,primary_party,coverage_status,result_rows,roster_rows,missing_reason,source_ids
FL,2026,2026-08-18,primary,House,01,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,01,regular,Republican,actual_results,3,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,02,regular,Democratic,actual_results,4,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,02,regular,Republican,actual_results,8,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,03,regular,Democratic,actual_results,4,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,03,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,04,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,04,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,05,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,05,regular,Republican,actual_results,2,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,06,regular,Democratic,actual_results,4,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,06,regular,Republican,actual_results,4,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,07,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,07,regular,Republican,actual_results,4,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,08,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,08,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,09,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,09,regular,Republican,actual_results,7,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,10,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,10,regular,Republican,no_qualified_party_candidate,0,0,no qualified party candidate,
FL,2026,2026-08-18,primary,House,11,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,11,regular,Republican,actual_results,5,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,12,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,12,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,13,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,13,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,14,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,14,regular,Republican,actual_results,8,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,15,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,15,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,16,regular,Democratic,actual_results,5,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,16,regular,Republican,actual_results,3,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,17,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,17,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,18,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,18,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,19,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,19,regular,Republican,actual_results,10,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,20,regular,Democratic,actual_results,5,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,20,regular,Republican,actual_results,4,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,21,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,21,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,22,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,22,regular,Republican,actual_results,7,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,23,regular,Democratic,actual_results,3,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,23,regular,Republican,actual_results,2,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,24,regular,Democratic,actual_results,7,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,24,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,25,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,25,regular,Republican,actual_results,5,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,26,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,26,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,27,regular,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,House,27,regular,Republican,actual_results,2,0,,fl-2026-primary-republican-federal-official-results
FL,2026,2026-08-18,primary,House,28,regular,Democratic,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
FL,2026,2026-08-18,primary,House,28,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,fl-2026-federal-candidate-extract
