gap_id,state_code,cycle,stage,chamber,district,primary_party,coverage_status,recovered_scope,missing_scope,blocker,next_authoritative_step,source_urls
fl-2026-08-18-primary-house-13-republican,FL,2026,primary,House,13,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-14-democratic,FL,2026,primary,House,14,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-15-republican,FL,2026,primary,House,15,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-17-republican,FL,2026,primary,House,17,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-18-democratic,FL,2026,primary,House,18,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-18-republican,FL,2026,primary,House,18,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-21-republican,FL,2026,primary,House,21,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-24-republican,FL,2026,primary,House,24,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-26-democratic,FL,2026,primary,House,26,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-26-republican,FL,2026,primary,House,26,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-28-democratic,FL,2026,primary,House,28,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-28-republican,FL,2026,primary,House,28,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
