source_id,state_code,election_date,artifact_kind,authority,publication_url,source_url,raw_filename,sha256,acquisition_status,verification_status,candidate_rows,contests,coverage,notes
ny-2024-primary-certified-results-pdf,NY,2024-06-25,certified_results_pdf,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/document/472?page=1,https://ny.staging.elstats2.civera.com/eng/files/serve/472,ny-2024-primary-certified-results.pdf,0a8fe8217c4d20e66856994b6dee088caadd8b675e7a4312b2dbd2e636603c00,recovered,official_partial_state_board_canvass,,,same_four_congressional_contests_as_search_export,Used as an independent official cross-check of the CSV.
ny-2024-contest-5580,NY,2024-06-25,contest_results_csv,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/contest/5580,https://ny.elstats3.civera.com/api/download_contest/5580_table.csv?split_party=false,ny-2024-cd16-dem.csv,607ec9216464c5c0a568c4ba44030f8d10a1c229ef402e304dab1aff2218c30a,recovered,official_contest_cross_check,,,CD16_Democratic,
ny-2024-contest-5566,NY,2024-06-25,contest_results_csv,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/contest/5566,https://ny.elstats3.civera.com/api/download_contest/5566_table.csv?split_party=false,ny-2024-cd17-wfp.csv,7aecd39f32546af33188ff857be002dc2a36939a9379da3087dc98733a440e6d,recovered,official_contest_cross_check,,,CD17_Working_Families,
ny-2024-contest-5567,NY,2024-06-25,contest_results_csv,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/contest/5567,https://ny.elstats3.civera.com/api/download_contest/5567_table.csv?split_party=false,ny-2024-cd22-dem.csv,ae47deb4c60b45cf62b66c6408cb9155dc0e808ec448ad57d94eecd12c9cc620,recovered,official_contest_cross_check,,,CD22_Democratic,
ny-2024-contest-5568,NY,2024-06-25,contest_results_csv,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/contest/5568,https://ny.elstats3.civera.com/api/download_contest/5568_table.csv?split_party=false,ny-2024-cd24-rep.csv,84c3126daf9107ca8024e3c9d3340bbb8b168f98a57153176f71449593b9473e,recovered,official_contest_cross_check,,,CD24_Republican,
nyc-2024-cd10-dem,NY,2024-06-25,certified_county_primary_results,Board of Elections in the City of New York,https://vote.nyc/page/election-results-summary-2024,https://www.vote.nyc/sites/default/files/pdf/election_results/2024/20240625Primary%20Election/01001900010Crossover%20Democratic%20Representative%20in%20Congress%2010th%20Congressional%20District%20Recap.csv,nyc/nyc-2024-01001900010Crossover_Democratic_Representative_in_Congress_10th_Congressional_District_Recap.csv,52b9aa19e0b800822a584430f368dd9f01b18b6e38180a8009be4524f3d7f3b7,recovered,certified_or_final_county_return,167,1,Congressional_District_10_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2024-cd14-dem,NY,2024-06-25,certified_county_primary_results,Board of Elections in the City of New York,https://vote.nyc/page/election-results-summary-2024,https://www.vote.nyc/sites/default/files/pdf/election_results/2024/20240625Primary%20Election/01001900014Crossover%20Democratic%20Representative%20in%20Congress%2014th%20Congressional%20District%20Recap.csv,nyc/nyc-2024-01001900014Crossover_Democratic_Representative_in_Congress_14th_Congressional_District_Recap.csv,0b3ad7e36d7387151a339e7b9402c5ad42912aadec7600561b2b6803608a25d6,recovered,certified_or_final_county_return,48,1,Congressional_District_14_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd07-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600007Crossover%20Democratic%20Representative%20in%20Congress%207th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01001600007Crossover_Democratic_Representative_in_Congress_7th_Congressional_District_Recap.csv,987c2376f99712b84e47dab54ca159a4011f57c7188fbabc57d3bf1f788cd988,recovered,certified_or_final_county_return,56,1,Congressional_District_07_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd10-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600010Crossover%20Democratic%20Representative%20in%20Congress%2010th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01001600010Crossover_Democratic_Representative_in_Congress_10th_Congressional_District_Recap.csv,1761c46e40586474580d8c0878b21b5002db9581c4e8d853ef2590c7adc2c527,recovered,certified_or_final_county_return,72,1,Congressional_District_10_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd11-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600011Crossover%20Democratic%20Representative%20in%20Congress%2011th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01001600011Crossover_Democratic_Representative_in_Congress_11th_Congressional_District_Recap.csv,983ee556076abd6c09c5b4ed72f491fc718712502dda0b791f135dd356d3e6ba,recovered,certified_or_final_county_return,108,1,Congressional_District_11_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd13-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600013Crossover%20Democratic%20Representative%20in%20Congress%2013th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01001600013Crossover_Democratic_Representative_in_Congress_13th_Congressional_District_Recap.csv,5b43b21090966df5d58abadc54c9f434009eeede9bf5591b83c135f5380ebbcb,recovered,certified_or_final_county_return,92,1,Congressional_District_13_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd14-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600014Crossover%20Democratic%20Representative%20in%20Congress%2014th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01001600014Crossover_Democratic_Representative_in_Congress_14th_Congressional_District_Recap.csv,d92d6dea0cbd66c6abcf3931559d3d8884ea44aa88307e718a6e562e30156ee5,recovered,certified_or_final_county_return,71,1,Congressional_District_14_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd12-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01101600012New%20York%20Democratic%20Representative%20in%20Congress%2012th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01101600012New_York_Democratic_Representative_in_Congress_12th_Congressional_District_Recap.csv,bf9e9344a407bfc7e4685fade6873cbab896994ef578a5d32027cf7ea1aec0a4,recovered,certified_or_final_county_return,80,1,Congressional_District_12_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd15-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01201600015Bronx%20Democratic%20Representative%20in%20Congress%2015th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01201600015Bronx_Democratic_Representative_in_Congress_15th_Congressional_District_Recap.csv,e6ecea5eb0c7aa341d5302e5a113af781c515994b1da320f82d585fc9fc328f7,recovered,certified_or_final_county_return,49,1,Congressional_District_15_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd09-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01301600009Kings%20Democratic%20Representative%20in%20Congress%209th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01301600009Kings_Democratic_Representative_in_Congress_9th_Congressional_District_Recap.csv,fc6d4ddff39bcc5d006343fb84f1e2d0fb886ff8985ac1e1592e29f50e48afa2,recovered,certified_or_final_county_return,174,1,Congressional_District_09_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
nyc-2026-cd06-dem,NY,2026-06-23,certified_county_primary_results,Board of Elections in the City of New York,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01401600006Queens%20Democratic%20Representative%20in%20Congress%206th%20Congressional%20District%20Recap.csv,nyc/nyc-2026-01401600006Queens_Democratic_Representative_in_Congress_6th_Congressional_District_Recap.csv,0b35439f0b5f08794f0cb6aea35d4d1acb4cacf99964dde81a0caf4716caad91,recovered,certified_or_final_county_return,49,1,Congressional_District_06_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
suffolk-2024-cd01-dem,NY,2024-06-25,certified_county_primary_results,Suffolk County Board of Elections,https://apps2.suffolkcountyny.gov/boe/eleres/24pe/default.htm,https://apps2.suffolkcountyny.gov/boe/eleres/24pe/DEMs.htm,suffolk/suffolk-2024-primary-democratic.html,90355b218eba14ff5bda96a666986eeb39b93e1d2c3060ad4f1eee08d7a75709,recovered,certified_or_final_county_return,2,1,Congressional_District_01_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
suffolk-2026-cd01-dem,NY,2026-06-23,certified_county_primary_results,Suffolk County Board of Elections,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/default.htm,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/DEMs.htm,suffolk/suffolk-2026-primary-DEMs.html,9f8c5a154a2a4cfa1288e7496c6d43ab9e5a952d8c75560a7b3351b2bdd08af1,recovered,certified_or_final_county_return,2,1,Congressional_District_01_Democratic,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party is blank for write-ins."
ny-2026-cd17-certified-county-canvass,NY,2026-06-23,certified_multi_county_primary_results,"Dutchess, Putnam, Rockland, and Westchester County Boards of Elections",multiple_official_county_canvasses,https://app.enhancedvoting.com/results/public/api/elections/putnam-county-ny/PE26/data | https://app.enhancedvoting.com/results/public/api/elections/rockland-county-ny/PE26/data | https://app.enhancedvoting.com/results/public/api/elections/westchester-county-ny/PE26/data | https://elections.dutchessny.gov/wp-content/uploads/2026/07/Detailed-Results-by-Contest-Table-7-10.pdf,"counties/dutchess-2026-primary-detailed.pdf | counties/enhanced/{putnam,rockland,westchester}-county-ny-PE26-data.json",3b6310e5b1a81537be5a6511669e5837ddd8c77f22258defdcbad796e53c34da,recovered,complete_certified_all_county_aggregate,6,1,CD17_Democratic_all_four_county_units,"County candidate totals sum to 46,955 including 44 reported write-in/irregular votes; no party affiliation is inferred for write-ins."
ny-2026-enr-uncertified,NY,2026-06-23,partial_election_night_results,New York State Board of Elections,https://nyenr.elections.ny.gov/,https://nyenr.elections.ny.gov/HomeNoJS.aspx,ny-2026-enr.txt,5005f432779de1ee6046f6f1eb0277a1b18d0a3b09ee2346422fed87a8736c5b,recovered,official_hosted_uncertified_excluded_from_results,28,9,nine_unresolved_2026_congressional_primary_contests,Preserved separately. Complete ED reporting is not equivalent to a certified canvass; absent or incomplete reporting is not interpreted as no primary.
ny-2026-county-nassau-cd03-democratic,NY,2026-06-23,county_canvass_supporting_source,Nassau County Board of Elections,https://app.nassaucountyny.gov/BOE/results/election2.html,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,2f75a5714fb49814fcf031bf554abe2927daa550f942dea8532e6cf5439743e2,recovered,official_hosted_uncertified,,1,CD03_Democratic_Nassau_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-queens-cd03-democratic,NY,2026-06-23,county_canvass_supporting_source,Queens County Board of Elections,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/page/election-results-summary,nyc/nyc-2026-01401600003Queens_Democratic_Representative_in_Congress_3rd_Congressional_District_Recap.csv,166af71251a8b885d01b58905cc0e95024d0893f5a3fd12b9af4f94c94a0758f,recovered,certified_county_canvass,,1,CD03_Democratic_Queens_county_unit,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party remains blank for write-ins."
ny-2026-county-suffolk-cd03-democratic,NY,2026-06-23,county_canvass_supporting_source,Suffolk County Board of Elections,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/DEMs.htm,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/DEMs.htm,suffolk/suffolk-2026-primary-DEMs.html,9f8c5a154a2a4cfa1288e7496c6d43ab9e5a952d8c75560a7b3351b2bdd08af1,recovered,final_county_return,,1,CD03_Democratic_Suffolk_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-nassau-cd03-republican,NY,2026-06-23,county_canvass_supporting_source,Nassau County Board of Elections,https://app.nassaucountyny.gov/BOE/results/election2.html,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,2f75a5714fb49814fcf031bf554abe2927daa550f942dea8532e6cf5439743e2,recovered,official_hosted_uncertified,,1,CD03_Republican_Nassau_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-queens-cd03-republican,NY,2026-06-23,county_canvass_supporting_source,Queens County Board of Elections,https://www.vote.nyc/page/election-results-summary,https://www.vote.nyc/page/election-results-summary,nyc/nyc-2026-02401600003Queens_Republican_Representative_in_Congress_3rd_Congressional_District_Recap.csv,56423bf27fbe1bf7616a992b54f45bb528fe16fe851892daf7af350162c09a32,recovered,certified_county_canvass,,1,CD03_Republican_Queens_county_unit,"Named write-ins are reported ballot options, not proof of willing or qualified candidacy or political affiliation. primary_party is the ballot category; party remains blank for write-ins."
ny-2026-county-suffolk-cd03-republican,NY,2026-06-23,county_canvass_supporting_source,Suffolk County Board of Elections,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/REPs.htm,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/REPs.htm,suffolk/suffolk-2026-primary-REPs.html,2d88a3dadcf05a982bb30b755b4016841c15ec4aeb92175c07699b1f61694c0e,recovered,final_county_return,,1,CD03_Republican_Suffolk_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-nassau-cd04-republican,NY,2026-06-23,county_canvass_supporting_source,Nassau County Board of Elections,https://app.nassaucountyny.gov/BOE/results/election2.html,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,2f75a5714fb49814fcf031bf554abe2927daa550f942dea8532e6cf5439743e2,recovered,official_hosted_uncertified,,1,CD04_Republican_Nassau_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-putnam-cd17-democratic,NY,2026-06-23,county_canvass_supporting_source,Putnam County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/putnam-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/putnam-county-ny/PE26/data,counties/enhanced/putnam-county-ny-PE26-data.json,d7473f91c1b1d77821d9f635340047494873000a671338e88d5708272569dd1c,recovered,certified_county_canvass,,1,CD17_Democratic_Putnam_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-rockland-cd17-democratic,NY,2026-06-23,county_canvass_supporting_source,Rockland County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/rockland-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/rockland-county-ny/PE26/data,counties/enhanced/rockland-county-ny-PE26-data.json,fe4f55be815c5e503c4685fbdd65312e9afe075555427887b0d5c31f18f55d5c,recovered,certified_county_canvass,,1,CD17_Democratic_Rockland_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-dutchess-cd17-democratic,NY,2026-06-23,county_canvass_supporting_source,Dutchess County Board of Elections,https://elections.dutchessny.gov/wp-content/uploads/2026/07/Detailed-Results-by-Contest-Table-7-10.pdf,https://elections.dutchessny.gov/wp-content/uploads/2026/07/Detailed-Results-by-Contest-Table-7-10.pdf,counties/dutchess-2026-primary-detailed.pdf,608dfb2baa0b8aa24fd880cc534624d5dcf4f9b1ff0f5a67d324188e1c87726e,recovered,certified_county_canvass,,1,CD17_Democratic_Dutchess_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-westchester-cd17-democratic,NY,2026-06-23,county_canvass_supporting_source,Westchester County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/westchester-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/westchester-county-ny/PE26/data,counties/enhanced/westchester-county-ny-PE26-data.json,c765b4455302fbdcee4ff038799ab1fc8479d6819eeaf00cd751d9fcfdd279d1,recovered,certified_county_canvass,,1,CD17_Democratic_Westchester_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-broome-cd19-republican,NY,2026-06-23,county_canvass_supporting_source,Broome County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/broome-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/broome-county-ny/PE26/data,counties/enhanced/broome-county-ny-PE26-data.json,5ac2683a85ee8bb1f4d8d4d50b358f091905b7727438809c860e63366a842f3d,recovered,official_hosted_uncertified,,1,CD19_Republican_Broome_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-columbia-cd19-republican,NY,2026-06-23,county_canvass_supporting_source,Columbia County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/columbia-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/columbia-county-ny/PE26/data,counties/enhanced/columbia-county-ny-PE26-data.json,1f6c99e2aa70712c959750ab24a8db47939f29a109c8d26567d77be552833a9f,recovered,certified_county_canvass,,1,CD19_Republican_Columbia_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-sullivan-cd19-republican,NY,2026-06-23,county_canvass_supporting_source,Sullivan County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/sullivan-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/sullivan-county-ny/PE26/data,counties/enhanced/sullivan-county-ny-PE26-data.json,4427eb427f9743d05700bdedfde77bf8ecd767e78161f47c84460db5fc4d346b,recovered,certified_county_canvass,,1,CD19_Republican_Sullivan_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-tompkins-cd19-republican,NY,2026-06-23,county_canvass_supporting_source,Tompkins County Board of Elections,https://electionhistory.tompkinscountyny.gov/contest/647,https://electionhistory.tompkinscountyny.gov/contest/647,counties/tompkins-2026-cd19-certified.csv,e00236b6502587a01f3191db1f812e896838f4d0caea4de57a2d0b400d120da8,recovered,certified_county_canvass,,1,CD19_Republican_Tompkins_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-rensselaer-cd19-republican,NY,2026-06-23,county_canvass_supporting_source,Rensselaer County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/rensselaer-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/rensselaer-county-ny/PE26/data,counties/enhanced/rensselaer-county-ny-PE26-data.json,08db165b125d17dc3177333f84f86dfde9a5f6bca9dae070a392e5efdcaa26b1,recovered,certified_county_canvass,,1,CD19_Republican_Rensselaer_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-jefferson-cd21-democratic,NY,2026-06-23,county_canvass_supporting_source,Jefferson County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/jefferson-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/jefferson-county-ny/PE26/data,counties/enhanced/jefferson-county-ny-PE26-data.json,ebc1f7fa1ee8d1e051bd02c59cf37861ccfecde1e22c0d1ebe21204344feafcb,recovered,official_hosted_uncertified,,1,CD21_Democratic_Jefferson_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-jefferson-cd21-republican,NY,2026-06-23,county_canvass_supporting_source,Jefferson County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/jefferson-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/jefferson-county-ny/PE26/data,counties/enhanced/jefferson-county-ny-PE26-data.json,ebc1f7fa1ee8d1e051bd02c59cf37861ccfecde1e22c0d1ebe21204344feafcb,recovered,official_hosted_uncertified,,1,CD21_Republican_Jefferson_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-cattaraugus-cd23-democratic,NY,2026-06-23,county_canvass_supporting_source,Cattaraugus County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/cattaraugus-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/cattaraugus-county-ny/PE26/data,counties/enhanced/cattaraugus-county-ny-PE26-data.json,bee906e3957d09251c4dc093f48a0563b79bc41791f546a1f8890d2c3a649348,recovered,certified_county_canvass,,1,CD23_Democratic_Cattaraugus_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-chemung-cd23-democratic,NY,2026-06-23,county_canvass_supporting_source,Chemung County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/chemung-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/chemung-county-ny/PE26/data,counties/enhanced/chemung-county-ny-PE26-data.json,f1c18668f7cd4c68312e2a0edc4e51acd8a59a6574745294ee0822fe13b579fd,recovered,certified_county_canvass,,1,CD23_Democratic_Chemung_county_unit,Supporting county unit; district status is recorded in county accounting.
ny-2026-county-steuben-cd23-democratic,NY,2026-06-23,county_canvass_supporting_source,Steuben County Board of Elections,https://app.enhancedvoting.com/results/public/api/elections/steuben-county-ny/PE26/data,https://app.enhancedvoting.com/results/public/api/elections/steuben-county-ny/PE26/data,counties/enhanced/steuben-county-ny-PE26-data.json,879e339afacf6c62a331c1d3cdb08bf7614a9ee760507422299464239f93fb1a,recovered,official_hosted_uncertified,,1,CD23_Democratic_Steuben_county_unit,Supporting county unit; district status is recorded in county accounting.
