,,Joe Wilson,Hamp Redmond,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
Precinct,Congaree 02,134,62,196,26,222
Precinct,Cromer,177,64,241,27,268
Precinct,Dreher Island,278,97,375,16,391
Precinct,Dutchman Shores,453,180,633,42,675
Precinct,Edenwood,208,66,274,103,377
Precinct,Edmund 01,107,46,153,21,174
Precinct,Edmund 02,189,123,312,18,330
Precinct,Emmanuel Church,224,95,319,34,353
Precinct,Failsafe,8,3,11,3,14
Precinct,Failsafe Provisional,10,3,13,2,15
Precinct,Fairview,126,103,229,13,242
Precinct,Faith Church,158,47,205,16,221
Precinct,Gardendale,78,34,112,124,236
Precinct,Gaston 01,97,64,161,23,184
Precinct,Gaston 02,109,68,177,25,202
Precinct,Gilbert,274,115,389,25,414
Precinct,Grenadier,96,38,134,78,212
Precinct,Hollow Creek,342,154,496,16,512
Precinct,Hook's Store,132,51,183,63,246
Precinct,Irmo,141,71,212,60,272
Precinct,Kitti Wake,183,80,263,50,313
Precinct,Lake Murray 01,414,174,588,39,627
Precinct,Lake Murray 02,477,152,629,76,705
Precinct,Leaphart Road,66,29,95,39,134
Precinct,Leesville,297,109,406,63,469
Precinct,Lexington No. 01,343,131,474,66,540
Precinct,Lexington No. 02,249,94,343,65,408
Precinct,Lexington No. 03,463,156,619,65,684
Precinct,Lexington No. 04,376,111,487,51,538
Precinct,Lincreek,187,81,268,62,330
Precinct,Mack-edisto,77,73,150,13,163
Precinct,Midway,214,64,278,30,308
Precinct,Mims,141,44,185,16,201
Precinct,Mount Horeb,492,172,664,45,709
Precinct,Mt. Hebron,138,56,194,56,250
Precinct,Murraywood,193,64,257,64,321
Precinct,Oakwood,349,131,480,59,539
Precinct,Old Barnwell Road,201,72,273,38,311
Precinct,Old Lexington,411,138,549,42,591
Precinct,Park Road 01,222,93,315,53,368
Precinct,Park Road 02,245,77,322,29,351
Precinct,Pelion 01,138,58,196,12,208
Precinct,Pelion 02,175,100,275,16,291
Precinct,Pilgrim Church,312,99,411,60,471
Precinct,Pine Ridge 01,131,40,171,48,219
Precinct,Pine Ridge 02,206,78,284,65,349
Precinct,Pineview,159,90,249,49,298
Precinct,Platt Springs 01,168,77,245,23,268
Precinct,Platt Springs 02,178,101,279,79,358
Precinct,Pond Branch,269,113,382,26,408
Precinct,Providence Church,571,160,731,72,803
Precinct,Provisional,3,2,5,0,5
Precinct,Quail Hollow,268,91,359,114,473
Precinct,Quail Valley,212,62,274,73,347
Precinct,Red Bank,412,193,605,78,683
Precinct,Red Bank South 01,263,89,352,19,371
Precinct,Red Bank South 02,210,78,288,61,349
Precinct,Ridge Road,375,126,501,43,544
Precinct,River Bluff,276,86,362,54,416
Precinct,Round Hill,336,168,504,37,541
Precinct,Saint David,324,101,425,75,500
Precinct,Saluda River,147,49,196,98,294
Precinct,Sand Hill,89,38,127,22,149
Precinct,Sandy Run,87,43,130,65,195
Precinct,Sharpes Hill,114,77,191,20,211
Precinct,Springdale,255,137,392,50,442
Precinct,Springdale South,69,32,101,10,111
Precinct,St. Michaels,402,152,554,63,617
Precinct,Summit,151,83,234,11,245
Precinct,Swansea 01,72,61,133,108,241
Precinct,Swansea 02,112,65,177,56,233
Precinct,West Columbia No. 01,52,23,75,72,147
Precinct,West Columbia No. 02,13,2,15,61,76
Precinct,West Columbia No. 03,59,32,91,95,186
Precinct,West Columbia No. 04,93,52,145,51,196
Precinct,Westover,202,94,296,127,423
Precinct,White Knoll,262,95,357,40,397
Precinct,Whitehall,223,57,280,166,446
Precinct,Woodland Hills,55,20,75,76,151
County,Orangeburg,395,119,514,2610,3124
Precinct,Bolentown,33,5,38,139,177
Precinct,Cope,21,4,25,65,90
Precinct,Cordova 01,23,12,35,152,187
Precinct,Cordova 02,26,5,31,161,192
Precinct,Edisto,44,9,53,93,146
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Limestone 01,20,2,22,324,346
Precinct,Limestone 02,24,11,35,332,367
Precinct,Neeses-livingston,53,19,72,71,143
Precinct,North 01,25,10,35,155,190
Precinct,North 02,46,16,62,158,220
Precinct,Norway,41,3,44,170,214
Precinct,Pinehill,16,3,19,139,158
Precinct,Provisional,0,0,0,14,14
Precinct,Springfield,21,20,41,201,242
Precinct,Suburban 07,2,0,2,436,438
County,Richland,4805,1282,6087,11997,18084
Precinct,Arcadia,31,20,51,144,195
Precinct,Ballentine 01,36,13,49,52,101
Precinct,Ballentine 02,83,36,119,42,161
Precinct,Blythewood 01,61,19,80,140,220
Precinct,Blythewood 02,52,8,60,220,280
Precinct,Blythewood 03,31,11,42,305,347
Precinct,Bookman,87,25,112,280,392
Precinct,Brandon 01,28,7,35,116,151
Precinct,Brandon 02,10,1,11,131,142
Precinct,Briarwood,33,10,43,233,276
Precinct,Bridge Creek,23,14,37,297,334
Precinct,Cooper,45,7,52,88,140
Precinct,Dutch Fork 01,57,18,75,27,102
Precinct,Dutch Fork 02,24,14,38,55,93
Precinct,Dutch Fork 03,82,27,109,64,173
Precinct,Dutch Fork 04,45,16,61,59,120
Precinct,East Forest Acres,83,16,99,73,172
Precinct,Estates,86,19,105,199,304
Precinct,Failsafe,2,0,2,11,13
Precinct,Failsafe Provisional,2,0,2,6,8
Precinct,Friarsgate 01,48,10,58,75,133
Precinct,Friarsgate 02,33,7,40,82,122
Precinct,Gregg Park,111,25,136,120,256
Precinct,Hampton,12,10,22,76,98
Precinct,Harbison 01,18,9,27,175,202
Precinct,Harbison 02,30,11,41,128,169
Precinct,Kelly Mill,33,13,46,233,279
Precinct,Lake Carolina,50,22,72,366,438
Precinct,Longcreek,87,22,109,557,666
Precinct,Mallet Hill,45,12,57,235,292
Precinct,Meadowfield,121,30,151,82,233
Precinct,Midway,20,4,24,292,316
Precinct,Monticello,43,19,62,165,227
Precinct,North Forest Acres,79,20,99,89,188
Precinct,North Springs 01,31,4,35,192,227
Precinct,North Springs 02,72,11,83,316,399
Precinct,North Springs 03,11,5,16,292,308
Precinct,Oak Pointe 01,34,12,46,52,98
Precinct,Oak Pointe 02,24,7,31,24,55
Precinct,Oak Pointe 03,16,8,24,67,91
Precinct,Oakwood,13,6,19,73,92
Precinct,Old Friarsgate,27,13,40,55,95
Precinct,Parkridge 01,35,4,39,41,80
Precinct,Parkridge 02,14,8,22,31,53
Precinct,Parkway 01,22,6,28,300,328
Precinct,Parkway 02,30,7,37,364,401
Precinct,Parkway 03,9,4,13,333,346
Precinct,Pennington 01,199,32,231,47,278
Precinct,Pennington 02,100,28,128,94,222
Precinct,Polo Road,36,5,41,236,277
Precinct,Pontiac 01,164,38,202,233,435
Precinct,Pontiac 02,160,44,204,353,557
Precinct,Provisional,5,0,5,23,28
Precinct,Rice Creek 01,13,1,14,173,187
Precinct,Rice Creek 02,16,7,23,344,367
Precinct,Ridge View 01,33,10,43,387,430
Precinct,Ridge View 02,26,3,29,383,412
Precinct,River Springs 01,30,14,44,23,67
Precinct,River Springs 02,22,6,28,52,80
Precinct,River Springs 03,50,11,61,53,114
Precinct,Riverwalk,53,29,82,260,342
Precinct,Round Top,14,2,16,81,97
Precinct,Satchelford,48,13,61,89,150
Precinct,South Beltline,37,6,43,52,95
Precinct,South Forest Acres,178,29,207,104,311
Precinct,Spring Hill,127,57,184,30,214
Precinct,Spring Valley,47,7,54,272,326
Precinct,Springville 01,91,42,133,40,173
Precinct,Springville 02,103,32,135,18,153
Precinct,Trenholm Road,27,11,38,56,94
Precinct,Valhalla,59,13,72,174,246
Precinct,Ward 16,204,41,245,104,349
Precinct,Ward 17,202,37,239,155,394
Precinct,Ward 24,97,25,122,96,218
Precinct,Ward 25,281,48,329,93,422
Precinct,Ward 26,60,16,76,74,150
Precinct,Wildewood,110,13,123,226,349
Precinct,Woodfield,29,6,35,222,257
Precinct,Woodlands,215,66,281,93,374
