,,Mal Hyman,Daryl W Scott,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
Precinct,Kemper,23,56,79,19,98
Precinct,Lake View,84,100,184,104,288
Precinct,Latta,292,422,714,254,968
Precinct,Little Rock,53,66,119,44,163
Precinct,Manning,27,40,67,27,94
Precinct,Minturn,19,12,31,25,56
Precinct,Mt. Calvary,233,220,453,135,588
Precinct,New Holly,28,43,71,38,109
Precinct,Oak Grove,88,161,249,109,358
Precinct,Oakland,86,149,235,76,311
Precinct,Pleasant Hill,27,27,54,54,108
Precinct,Provisional,0,1,1,2,3
Precinct,South Dillon,198,242,440,136,576
Precinct,West Dillon,217,209,426,115,541
County,Florence,2502,2304,4806,1262,6068
Precinct,Back Swamp,6,3,9,0,9
Precinct,Brookgreen,37,42,79,0,79
Precinct,Cartersville,36,15,51,12,63
Precinct,Claussen,51,34,85,3,88
Precinct,Coles Crossroads,103,129,232,32,264
Precinct,Coward No. 01,17,18,35,20,55
Precinct,Coward No. 02,4,12,16,1,17
Precinct,Delmae No. 01,40,39,79,0,79
Precinct,Delmae No. 02,26,34,60,1,61
Precinct,Ebenezer No. 01,51,39,90,0,90
Precinct,Ebenezer No. 02,58,98,156,4,160
Precinct,Ebenezer No. 03,43,55,98,19,117
Precinct,Effingham,4,5,9,11,20
Precinct,Elim-glenwood,22,23,45,13,58
Precinct,Evergreen,16,11,27,20,47
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,1,1,0,1
Precinct,Florence Ward 01,86,76,162,51,213
Precinct,Florence Ward 02,47,73,120,21,141
Precinct,Florence Ward 03,79,78,157,20,177
Precinct,Florence Ward 04,33,23,56,11,67
Precinct,Florence Ward 05,24,40,64,14,78
Precinct,Florence Ward 06,52,28,80,17,97
Precinct,Florence Ward 07,88,62,150,41,191
Precinct,Florence Ward 08,104,72,176,67,243
Precinct,Florence Ward 09,118,108,226,48,274
Precinct,Florence Ward 10,42,35,77,17,94
Precinct,Florence Ward 11,44,30,74,19,93
Precinct,Florence Ward 12,98,76,174,39,213
Precinct,Florence Ward 14,102,71,173,48,221
Precinct,Florence Ward 15,6,7,13,1,14
Precinct,Friendfield,3,2,5,96,101
Precinct,Gilbert,52,67,119,0,119
Precinct,Greenwood,66,46,112,6,118
Precinct,Hannah,5,1,6,82,88
Precinct,Johnsonville,18,19,37,71,108
Precinct,Kingsburg-stone,41,17,58,48,106
Precinct,Mars Bluff No. 01,37,31,68,0,68
Precinct,Mars Bluff No. 02,28,29,57,1,58
Precinct,Mcallister Mill,8,12,20,0,20
Precinct,Mill Branch,46,7,53,21,74
Precinct,Oak Grove-sardis,25,15,40,2,42
Precinct,Olanta,13,27,40,0,40
Precinct,Pamplico No. 01,16,4,20,112,132
Precinct,Pamplico No. 02,25,9,34,22,56
Precinct,Prospect,0,0,0,38,38
Precinct,Provisional,2,2,4,1,5
Precinct,Quinby,55,37,92,0,92
Precinct,Salem,1,2,3,0,3
Precinct,Savannah Grove,135,135,270,40,310
Precinct,Scranton,12,11,23,6,29
Precinct,South Florence 01,95,99,194,37,231
Precinct,South Florence 02,44,50,94,5,99
Precinct,Spaulding,100,92,192,20,212
Precinct,Tans Bay,34,62,96,8,104
Precinct,Timmonsville 01,59,43,102,36,138
Precinct,Timmonsville 02,35,37,72,11,83
Precinct,Vox,0,3,3,29,32
Precinct,West Florence 01,65,67,132,8,140
Precinct,West Florence 02,45,41,86,12,98
County,Georgetown,1304,889,2193,306,2499
Precinct,Andrews,112,95,207,42,249
Precinct,Andrews Outside,33,27,60,11,71
Precinct,Bethel,5,3,8,0,8
Precinct,Black River,25,10,35,2,37
Precinct,Browns Ferry,130,18,148,20,168
Precinct,Carvers Bay,0,3,3,1,4
Precinct,Choppee,34,44,78,19,97
Precinct,Dreamkeepers,83,25,108,22,130
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Folly Grove,7,19,26,1,27
Precinct,Georgetown No. 01,46,12,58,12,70
Precinct,Georgetown No. 03,96,43,139,17,156
Precinct,Georgetown No. 04,16,11,27,3,30
Precinct,Georgetown No. 05,35,17,52,4,56
Precinct,Kensington,27,14,41,4,45
Precinct,Lambert Town,13,12,25,9,34
Precinct,Murrells Inlet No. 01,19,13,32,0,32
Precinct,Murrells Inlet No. 02,24,13,37,0,37
Precinct,Murrells Inlet No. 03,7,10,17,0,17
Precinct,Murrells Inlet No. 04,14,3,17,0,17
Precinct,Myersville,34,29,63,8,71
Precinct,Pawleys Island No. 01,45,25,70,1,71
Precinct,Pawleys Island No. 02,83,44,127,2,129
Precinct,Pawleys Island No. 03,39,7,46,0,46
Precinct,Pawleys Island No. 04,30,10,40,2,42
Precinct,Pawleys Island No. 05,39,16,55,1,56
Precinct,Pee Dee,20,29,49,12,61
Precinct,Penny Royal,8,24,32,9,41
Precinct,Plantersville,46,32,78,12,90
Precinct,Pleasant Hill,11,28,39,3,42
Precinct,Potato Bed Ferry,7,10,17,18,35
Precinct,Provisional,0,0,0,0,0
Precinct,Sampit,56,90,146,18,164
Precinct,Santee,86,100,186,38,224
Precinct,Spring Gully,53,36,89,10,99
Precinct,Winyah Bay,21,17,38,5,43
County,Horry,2023,1391,3414,18684,22098
Precinct,4 Mile,11,17,28,207,235
Precinct,Adrian,8,14,22,208,230
Precinct,Allsbrook,0,1,1,108,109
Precinct,Atlantic Beach,4,10,14,2,16
Precinct,Aynor,12,8,20,379,399
Precinct,Bayboro-gurley,5,23,28,126,154
Precinct,Brooksville #01,20,18,38,121,159
Precinct,Brooksville #02,12,6,18,46,64
Precinct,Brownway,16,7,23,201,224
Precinct,Burgess 01,20,7,27,184,211
Precinct,Burgess 02,32,18,50,222,272
Precinct,Burgess 03,17,2,19,228,247
Precinct,Burgess 04,20,8,28,160,188
Precinct,Burgess 05,15,10,25,225,250
Precinct,Carolina Bays,21,11,32,128,160
Precinct,Carolina Forest 01,16,9,25,73,98
Precinct,Carolina Forest 02,18,6,24,95,119
Precinct,Cedar Grove,4,4,8,217,225
Precinct,Cherry Grove 01,12,9,21,129,150
Precinct,Cherry Grove 02,14,11,25,112,137
Precinct,Coastal Carolina,6,6,12,130,142
Precinct,Coastal Lane 01,7,7,14,29,43
Precinct,Coastal Lane 02,8,4,12,29,41
Precinct,Cool Springs,3,2,5,95,100
Precinct,Crescent,7,8,15,51,66
Precinct,Daisy,3,4,7,163,170
Precinct,Deerfield,24,18,42,265,307
Precinct,Dog Bluff,1,0,1,206,207
Precinct,Dogwood,17,19,36,59,95
Precinct,Dunes 01,24,11,35,551,586
Precinct,Dunes 02,30,8,38,107,145
Precinct,Dunes 03,21,1,22,45,67
Precinct,East Conway,15,11,26,323,349
Precinct,East Loris,19,28,47,214,261
Precinct,Ebenezer,21,6,27,142,169
Precinct,Emerald Forest 01,11,9,20,61,81
Precinct,Emerald Forest 02,41,30,71,295,366
Precinct,Emerald Forest 03,24,15,39,115,154
Precinct,Enterprise #01,21,9,30,59,89
Precinct,Enterprise #02,16,17,33,47,80
Precinct,Failsafe,0,1,1,11,12
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Forestbrook,39,12,51,346,397
Precinct,Galivants Ferry,4,1,5,32,37
Precinct,Garden City 01,20,3,23,179,202
Precinct,Garden City 02,2,2,4,165,169
Precinct,Garden City 03,14,7,21,116,137
Precinct,Garden City 04,12,14,26,95,121
Precinct,Glenns Bay,28,7,35,144,179
Precinct,Green Sea,10,6,16,73,89
Precinct,Hickory Grove,8,7,15,153,168
Precinct,Homewood,16,21,37,243,280
Precinct,Horry,6,6,12,256,268
Precinct,Inland,6,4,10,26,36
Precinct,Jackson Bluff,2,2,4,51,55
Precinct,Jamestown,57,50,107,319,426
Precinct,Jernigans Xroads,1,3,4,41,45
Precinct,Jet Port 01,13,8,21,107,128
Precinct,Jet Port 02,25,5,30,102,132
Precinct,Jet Port 03,45,13,58,235,293
Precinct,Jet Port 04,29,16,45,183,228
Precinct,Juniper Bay,2,11,13,196,209
Precinct,Lake Park #01,7,5,12,51,63
Precinct,Lake Park #02,4,3,7,56,63
Precinct,Lake Park #03,16,4,20,48,68
Precinct,Leon,10,24,34,52,86
Precinct,Little River 01,16,13,29,105,134
Precinct,Little River 02,23,19,42,129,171
Precinct,Little River 03,18,12,30,106,136
Precinct,Live Oak,2,6,8,109,117
Precinct,Maple,13,17,30,241,271
Precinct,Marlowe 01,14,6,20,77,97
Precinct,Marlowe 02,48,12,60,150,210
Precinct,Marlowe 03,26,14,40,109,149
Precinct,Methodist-mill Swamp,4,7,11,225,236
Precinct,Mt. Olive,4,6,10,167,177
Precinct,Mt. Vernon,0,0,0,117,117
Precinct,Myrtle Trace,20,17,37,234,271
Precinct,Myrtlewood 01,6,5,11,77,88
Precinct,Myrtlewood 02,22,11,33,170,203
Precinct,Myrtlewood 03,10,6,16,270,286
Precinct,Nixons Xroads 01,11,10,21,87,108
Precinct,Nixons Xroads 02,34,22,56,77,133
Precinct,Nixons Xroads 03,23,18,41,85,126
Precinct,North Conway 01,25,15,40,220,260
Precinct,North Conway 02,8,6,14,274,288
Precinct,Ocean Drive 01,19,12,31,103,134
Precinct,Ocean Drive 02,11,10,21,70,91
Precinct,Ocean Drive 03,14,7,21,135,156
Precinct,Ocean Forest 01,13,11,24,207,231
Precinct,Ocean Forest 02,19,16,35,363,398
Precinct,Ocean Forest 03,13,6,19,90,109
Precinct,Palmetto Bays,45,20,65,361,426
Precinct,Pawleys Swamp,0,5,5,49,54
Precinct,Pleasant View,2,3,5,87,92
Precinct,Poplar Hill,2,1,3,167,170
Precinct,Port Harrelson,77,29,106,11,117
Precinct,Provisional,1,1,2,7,9
Precinct,Racepath 01,19,23,42,85,127
Precinct,Racepath 02,43,76,119,56,175
Precinct,Red Bluff,12,10,22,100,122
Precinct,Red Hill 01,5,3,8,78,86
Precinct,Red Hill 02,15,18,33,260,293
Precinct,River Oaks,19,14,33,219,252
Precinct,Salem,26,3,29,276,305
Precinct,Sea Oats 01,7,7,14,70,84
Precinct,Sea Oats 02,5,5,10,69,79
Precinct,Sea Winds,23,11,34,114,148
Precinct,Shell,20,7,27,230,257
Precinct,Socastee 01,4,9,13,64,77
Precinct,Socastee 02,1,2,3,61,64
Precinct,Socastee 03,36,14,50,283,333
Precinct,Socastee 04,3,4,7,87,94
Precinct,Surfside 01,15,5,20,170,190
Precinct,Surfside 02,10,3,13,128,141
Precinct,Surfside 03,26,14,40,191,231
Precinct,Surfside 04,31,8,39,235,274
Precinct,Sweet Home,5,13,18,29,47
Precinct,Tilly Swamp,20,16,36,307,343
Precinct,Toddville,22,13,35,201,236
Precinct,Waccamaw,22,14,36,397,433
Precinct,Wampee,28,39,67,63,130
Precinct,West Conway,13,13,26,117,143
Precinct,West Loris,6,13,19,37,56
Precinct,White Oak,2,3,5,104,109
Precinct,Wild Wing,39,20,59,381,440
Precinct,Windy Hill 01,10,9,19,61,80
Precinct,Windy Hill 02,21,12,33,95,128
County,Marion,2451,2727,5178,774,5952
Precinct,Brittons Neck,195,199,394,29,423
Precinct,Centenary,157,194,351,52,403
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Friendship,50,42,92,11,103
Precinct,Marion No. 01,185,168,353,79,432
Precinct,Marion No. 02,205,205,410,84,494
Precinct,Marion North,183,192,375,43,418
Precinct,Marion South,348,391,739,120,859
Precinct,Marion West,133,144,277,34,311
Precinct,Nichols,48,47,95,15,110
Precinct,Northeast Mullins,201,196,397,60,457
Precinct,Northwest Mullins,134,149,283,40,323
Precinct,Provisional,3,6,9,0,9
Precinct,Rains,72,106,178,29,207
Precinct,Sellers,16,34,50,2,52
Precinct,Southeast Mullins,149,199,348,85,433
Precinct,Southwest Mullins,215,226,441,61,502
Precinct,Temperance,91,131,222,17,239
Precinct,Zion,66,98,164,13,177
County,Marlboro,822,1796,2618,1404,4022
Precinct,Adamsville,11,37,48,32,80
Precinct,Blenheim,23,28,51,26,77
Precinct,Brightsville,38,56,94,46,140
Precinct,Brownsville,25,31,56,29,85
Precinct,Clio,97,194,291,91,382
Precinct,E Bennettsville,81,193,274,119,393
Precinct,East Mccoll,15,30,45,204,249
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,0,3,3,3,6
Precinct,Mccoll,34,64,98,191,289
Precinct,N Bennettsville,155,364,519,245,764
Precinct,Provisional,0,0,0,0,0
Precinct,Quicks Xroads,47,99,146,70,216
Precinct,Red Hill,70,134,204,85,289
Precinct,S Bennettsville,55,126,181,31,212
Precinct,Tatum,12,50,62,36,98
Precinct,W Bennettsville,106,282,388,78,466
Precinct,Wallace,53,105,158,117,275
