,,Duke Buckner,Justin Scott,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
Precinct,St. Pauls 06,177,86,263,148,411
County,Clarendon,840,900,1740,2655,4395
Precinct,Alcolu,35,29,64,108,172
Precinct,Barrineau,31,39,70,9,79
Precinct,Barrows Mill,19,14,33,19,52
Precinct,Bloomville,15,28,43,32,75
Precinct,Calvary,6,9,15,97,112
Precinct,Davis Station,59,64,123,156,279
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Harmony,38,26,64,100,164
Precinct,Hicks,55,47,102,14,116
Precinct,Home Branch,6,13,19,14,33
Precinct,Jordan,119,140,259,169,428
Precinct,Manning No. 01,15,16,31,102,133
Precinct,Manning No. 02,31,35,66,113,179
Precinct,Manning No. 03,46,61,107,212,319
Precinct,Manning No. 04,12,17,29,313,342
Precinct,Manning No. 05,24,31,55,116,171
Precinct,New Zion,38,55,93,43,136
Precinct,Oakdale,9,17,26,39,65
Precinct,Panola,6,8,14,39,53
Precinct,Paxville,35,21,56,154,210
Precinct,Provisional,1,1,2,7,9
Precinct,Sardinia-gable,8,21,29,52,81
Precinct,Summerton No. 01,94,92,186,214,400
Precinct,Summerton No. 02,4,0,4,81,85
Precinct,Summerton No. 03,14,18,32,206,238
Precinct,Turbeville,95,57,152,61,213
Precinct,Wilson-Foreston,25,41,66,185,251
County,Colleton,1220,893,2113,1786,3899
Precinct,Ashton-lodge,55,47,102,30,132
Precinct,Bells,15,19,34,18,52
Precinct,Berea-smoaks,27,19,46,92,138
Precinct,Canadys,21,22,43,52,95
Precinct,Cottageville,77,29,106,80,186
Precinct,Edisto,3,7,10,24,34
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Hendersonville,39,22,61,121,182
Precinct,Horse Pen,40,24,64,31,95
Precinct,Hudsons Mill,41,18,59,30,89
Precinct,Jacksonboro,5,3,8,16,24
Precinct,Maple Cane,54,39,93,24,117
Precinct,Mashawville,28,20,48,96,144
Precinct,Peeples,58,40,98,63,161
Precinct,Peniel,44,27,71,56,127
Precinct,Petits,10,12,22,45,67
Precinct,Provisional,0,0,0,0,0
Precinct,Rice Patch,40,38,78,44,122
Precinct,Ritter,13,19,32,76,108
Precinct,Round O,52,36,88,40,128
Precinct,Ruffin,11,7,18,31,49
Precinct,Sidneys,43,14,57,18,75
Precinct,Sniders,38,34,72,52,124
Precinct,Stokes,61,48,109,20,129
Precinct,Walterboro No. 01,44,52,96,158,254
Precinct,Walterboro No. 02,22,16,38,98,136
Precinct,Walterboro No. 03,20,13,33,223,256
Precinct,Walterboro No. 04,117,49,166,65,231
Precinct,Walterboro No. 05,152,133,285,67,352
Precinct,Walterboro No. 06,23,20,43,94,137
Precinct,Williams,12,13,25,10,35
Precinct,Wolf Creek,55,53,108,12,120
County,Dorchester,978,759,1737,2403,4140
Precinct,4 Hole,51,53,104,54,158
Precinct,Archdale,55,10,65,56,121
Precinct,Archdale 02,74,48,122,56,178
Precinct,Ashley River,65,73,138,111,249
Precinct,Beech Hill 02,34,25,59,211,270
Precinct,Cypress,4,3,7,239,246
Precinct,Delemars,22,25,47,177,224
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Givhans,8,6,14,170,184
Precinct,Givhans 02,4,5,9,207,216
Precinct,Grover,34,43,77,74,151
Precinct,Harleyville,44,28,72,37,109
Precinct,Indian Field,17,18,35,71,106
Precinct,Indian Field 02,35,39,74,81,155
Precinct,Lincoln,2,4,6,88,94
Precinct,Patriot,12,16,28,74,102
Precinct,Provisional,0,0,0,1,1
Precinct,Reevesville,43,50,93,82,175
Precinct,Ridgeville,91,63,154,52,206
Precinct,Ridgeville 02,41,27,68,61,129
Precinct,Rosinville,62,36,98,128,226
Precinct,Rosses,87,40,127,62,189
Precinct,Saul Dam,62,43,105,25,130
Precinct,St. George No. 01,60,44,104,114,218
Precinct,St. George No. 02,45,38,83,56,139
Precinct,Windsor,20,18,38,62,100
Precinct,Windsor 02,6,4,10,54,64
County,Florence,70,49,119,338,457
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,1,1
Precinct,High Hill,15,13,28,1,29
Precinct,Lake City No. 01,12,4,16,85,101
Precinct,Lake City No. 02,18,19,37,38,75
Precinct,Lake City No. 03,16,3,19,63,82
Precinct,Lake City No. 04,2,0,2,122,124
Precinct,Leo,6,5,11,0,11
Precinct,Provisional,0,0,0,5,5
Precinct,Scranton,1,5,6,23,29
County,Hampton,115,106,221,1905,2126
Precinct,Black Creek,3,4,7,35,42
Precinct,Bonnett,8,14,22,100,122
Precinct,Brunson,4,4,8,86,94
Precinct,Crocketville-Miley,6,3,9,60,69
Precinct,Cummings,20,10,30,125,155
Precinct,Early Branch,4,3,7,54,61
Precinct,Estill,9,15,24,375,399
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Furman,2,3,5,63,68
Precinct,Garnett,0,0,0,21,21
Precinct,Gifford,1,5,6,72,78
Precinct,Hampton Courthouse No. 01,9,8,17,145,162
Precinct,Hampton Courthouse No. 02,15,12,27,258,285
Precinct,Hopewell,7,6,13,41,54
Precinct,Horse Gall,0,4,4,13,17
Precinct,Provisional,0,0,0,2,2
Precinct,Rivers Mill,1,2,3,8,11
Precinct,Scotia,2,0,2,43,45
Precinct,Varnville,14,7,21,300,321
Precinct,Yemassee,10,6,16,103,119
County,Jasper,938,928,1866,1274,3140
Precinct,Coosawhatchie,11,12,23,30,53
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Gillisonville,49,55,104,77,181
Precinct,Grahamville 01,91,84,175,108,283
Precinct,Grahamville 02,81,86,167,265,432
Precinct,Grays,80,76,156,50,206
Precinct,Hardeeville 01,23,22,45,61,106
Precinct,Hardeeville 02,33,23,56,45,101
Precinct,Hardeeville 03,67,54,121,34,155
Precinct,Levy,33,31,64,11,75
Precinct,Margaritaville,205,197,402,133,535
Precinct,Okatie,15,21,36,28,64
Precinct,Pineland,6,3,9,135,144
Precinct,Provisional,0,1,1,2,3
Precinct,Ridgeland 01,82,84,166,56,222
Precinct,Ridgeland 02,45,57,102,77,179
Precinct,Ridgeland 03,85,83,168,80,248
Precinct,Tillman,32,39,71,82,153
County,Orangeburg,361,333,694,7793,8487
Precinct,4 Holes,14,17,31,82,113
Precinct,Bethel,9,3,12,104,116
Precinct,Bowman 01,13,13,26,281,307
Precinct,Bowman 02,8,5,13,135,148
Precinct,Branchville 01,15,10,25,97,122
Precinct,Branchville 02,11,6,17,55,72
Precinct,Brookdale,4,5,9,458,467
Precinct,Elloree 01,29,25,54,158,212
Precinct,Elloree 02,2,5,7,161,168
Precinct,Eutawville 01,26,27,53,145,198
Precinct,Eutawville 02,15,8,23,355,378
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Holly Hill 01,8,5,13,347,360
Precinct,Holly Hill 02,6,7,13,462,475
Precinct,Jamison,9,11,20,402,422
Precinct,Nix,1,0,1,230,231
Precinct,Orangeburg Ward 01,6,13,19,107,126
Precinct,Orangeburg Ward 02,1,0,1,60,61
Precinct,Orangeburg Ward 03,1,0,1,134,135
Precinct,Orangeburg Ward 04,0,0,0,45,45
Precinct,Orangeburg Ward 05,4,0,4,81,85
Precinct,Orangeburg Ward 06,4,2,6,107,113
Precinct,Orangeburg Ward 07,16,11,27,199,226
Precinct,Orangeburg Ward 08,8,10,18,127,145
Precinct,Orangeburg Ward 09,1,6,7,114,121
Precinct,Orangeburg Ward 10,12,13,25,195,220
Precinct,Providence,14,9,23,250,273
Precinct,Provisional,0,0,0,14,14
Precinct,Rowesville,14,6,20,65,85
Precinct,Santee 01,41,35,76,183,259
Precinct,Santee 02,2,3,5,335,340
Precinct,Suburban 01,0,1,1,107,108
Precinct,Suburban 02,0,0,0,130,130
Precinct,Suburban 03,2,3,5,285,290
Precinct,Suburban 04,2,8,10,26,36
Precinct,Suburban 05,7,2,9,220,229
Precinct,Suburban 06,8,4,12,85,97
Precinct,Suburban 07,19,18,37,401,438
Precinct,Suburban 08,11,6,17,190,207
Precinct,Suburban 09,2,8,10,291,301
Precinct,Vance,16,24,40,325,365
Precinct,Whittaker,0,4,4,245,249
County,Richland,746,828,1574,10257,11831
Precinct,Ardincaple,0,0,0,46,46
Precinct,Beatty Road,1,1,2,34,36
Precinct,Bluff,1,3,4,279,283
Precinct,Caughman Road,10,20,30,0,30
Precinct,College Place,0,0,0,196,196
Precinct,Dennyside,28,10,38,69,107
Precinct,Dentsville,3,3,6,282,288
Precinct,Eastover,2,4,6,254,260
Precinct,Edgewood,3,5,8,158,166
Precinct,Failsafe,0,1,1,12,13
Precinct,Failsafe Provisional,1,0,1,7,8
Precinct,Fairlawn,7,13,20,391,411
Precinct,Fairwold,0,3,3,123,126
Precinct,Gadsden,3,2,5,316,321
Precinct,Garners,6,6,12,91,103
Precinct,Greenview,1,2,3,284,287
Precinct,Hampton,17,13,30,68,98
Precinct,Hopkins 01,6,11,17,265,282
Precinct,Hopkins 02,5,7,12,310,322
Precinct,Horrell Hill,22,24,46,2,48
Precinct,Hunting Creek,8,7,15,0,15
Precinct,Keels 01,6,3,9,172,181
Precinct,Keels 02,2,3,5,87,92
Precinct,Keenan,21,7,28,136,164
Precinct,Killian,21,18,39,303,342
Precinct,Kingswood,15,24,39,279,318
Precinct,Lincolnshire,5,3,8,234,242
Precinct,Longleaf,2,6,8,151,159
Precinct,Lykesland,14,12,26,0,26
Precinct,Mcentire,9,10,19,0,19
Precinct,Meadowlake,4,2,6,342,348
Precinct,Mill Creek,13,26,39,0,39
Precinct,North Springs 03,1,0,1,307,308
Precinct,Oakwood,13,7,20,72,92
Precinct,Olympia,4,10,14,86,100
Precinct,Pine Grove,4,5,9,142,151
Precinct,Pine Lakes 01,4,3,7,0,7
Precinct,Pine Lakes 02,3,13,16,0,16
Precinct,Pinewood,4,18,22,0,22
Precinct,Provisional,0,1,1,27,28
Precinct,Ridgewood,0,1,1,67,68
Precinct,Riverside,9,2,11,54,65
Precinct,Sandlapper,11,6,17,317,334
Precinct,Skyland,9,3,12,82,94
Precinct,South Forest Acres,0,0,0,311,311
Precinct,Spring Valley West,24,18,42,273,315
Precinct,St. Andrews,11,15,26,143,169
Precinct,Trinity,15,24,39,21,60
Precinct,Valley State Park,7,8,15,313,328
Precinct,Walden,1,7,8,51,59
Precinct,Ward 01,14,9,23,161,184
Precinct,Ward 02,2,3,5,42,47
Precinct,Ward 03,15,16,31,185,216
Precinct,Ward 04,25,15,40,220,260
Precinct,Ward 05,8,11,19,62,81
Precinct,Ward 06,37,37,74,76,150
Precinct,Ward 07,2,7,9,0,9
Precinct,Ward 08,0,0,0,18,18
Precinct,Ward 09,2,3,5,58,63
Precinct,Ward 10,17,19,36,334,370
Precinct,Ward 11,2,12,14,114,128
Precinct,Ward 12,23,21,44,246,290
Precinct,Ward 13,42,22,64,303,367
Precinct,Ward 14,65,90,155,55,210
Precinct,Ward 15,44,51,95,38,133
Precinct,Ward 18,3,7,10,73,83
Precinct,Ward 19,0,3,3,0,3
Precinct,Ward 20,10,8,18,178,196
Precinct,Ward 21,3,0,3,166,169
Precinct,Ward 22,3,0,3,155,158
Precinct,Ward 23,15,23,38,4,42
Precinct,Ward 29,6,2,8,146,154
Precinct,Ward 30,5,9,14,79,93
Precinct,Ward 31,2,7,9,0,9
Precinct,Ward 32,1,1,2,79,81
Precinct,Ward 33,8,12,20,1,21
Precinct,Ward 34,9,19,28,86,114
Precinct,Webber,11,11,22,79,101
Precinct,Westminster,9,13,22,87,109
Precinct,Whitewell,7,7,14,55,69
County,Sumter,212,222,434,1410,1844
Precinct,Bates,2,0,2,82,84
Precinct,Birnie,0,0,0,111,111
Precinct,Crosswell,7,8,15,90,105
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Hampton Park,23,24,47,50,97
Precinct,Lemira,5,5,10,104,114
Precinct,Loring,4,4,8,36,44
Precinct,Magnolia-harmony,1,1,2,53,55
Precinct,Mayesville,9,14,23,1,24
Precinct,Mayewood,32,25,57,93,150
Precinct,Morris College,4,4,8,76,84
Precinct,Pocotaligo 01,34,39,73,131,204
Precinct,Pocotaligo 02,6,12,18,53,71
Precinct,Provisional,0,0,0,6,6
Precinct,Salem,5,9,14,0,14
Precinct,Savage-Glover,0,0,0,44,44
Precinct,South Liberty,2,5,7,62,69
Precinct,South Red Bay,1,2,3,79,82
Precinct,St. John,7,13,20,0,20
Precinct,Stone Hill,0,1,1,54,55
Precinct,Swan Lake,52,35,87,109,196
Precinct,Turkey Creek,17,20,37,76,113
Precinct,Wilder,1,1,2,100,102
County,Williamsburg,126,99,225,4100,4325
Precinct,Black River,3,2,5,73,78
Precinct,Bloomingvale,0,5,5,126,131
Precinct,Cades,0,0,0,39,39
Precinct,Cedar Swamp,2,4,6,69,75
Precinct,Central,4,3,7,240,247
Precinct,Earles,8,15,23,54,77
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Greeleyville,8,4,12,369,381
Precinct,Harmony,6,2,8,34,42
Precinct,Hebron,7,7,14,20,34
Precinct,Hemingway,13,7,20,201,221
Precinct,Henry-Poplar Hill,9,0,9,70,79
Precinct,Indiantown,6,3,9,233,242
Precinct,Kingstree No. 01,28,12,40,442,482
Precinct,Kingstree No. 02,0,0,0,150,150
Precinct,Kingstree No. 03,1,1,2,454,456
Precinct,Kingstree No. 04,7,3,10,249,259
Precinct,Lane,2,4,6,254,260
Precinct,Morrisville,0,0,0,60,60
Precinct,Mount Vernon,3,1,4,94,98
Precinct,Muddy Creek,9,9,18,68,86
Precinct,Nesmith,0,0,0,134,134
Precinct,Pergamos,0,0,0,25,25
Precinct,Piney Forest,1,1,2,4,6
Precinct,Provisional,0,0,0,3,3
Precinct,Salters,2,8,10,257,267
Precinct,Sandy Bay,2,1,3,34,37
Precinct,Singletary,0,1,1,45,46
Precinct,Suttons,1,3,4,31,35
Precinct,Trio,4,3,7,267,274
