,,Bryon L Best,Frances Guldner,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
Precinct,Walnut Springs,40,30,70,726,796
Precinct,Ware Place,22,13,35,385,420
Precinct,Woodmont,131,75,206,284,490
County,Greenwood,1062,411,1473,5832,7305
Precinct,Airport,18,20,38,205,243
Precinct,Allies Crossing,13,8,21,139,160
Precinct,Angel Oak's Crossing,29,14,43,244,287
Precinct,Ashley River Run,28,5,33,17,50
Precinct,Bee's Ferry,83,10,93,5,98
Precinct,Biltmore Pines,21,14,35,156,191
Precinct,Bradley,14,1,15,35,50
Precinct,Callison,16,4,20,152,172
Precinct,Civic Center,38,10,48,88,136
Precinct,Cokesbury,56,5,61,66,127
Precinct,Coronaca,15,17,32,314,346
Precinct,Emerald,43,8,51,33,84
Precinct,Emerald High,8,6,14,104,118
Precinct,Epworth,7,1,8,102,110
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,4,1,5,7,12
Precinct,Fairhope Ferry,32,21,53,70,123
Precinct,Georgetown,24,3,27,168,195
Precinct,Gideons Way,44,5,49,44,93
Precinct,Glendale,11,7,18,128,146
Precinct,Graham's Glen,8,8,16,137,153
Precinct,Grandiflora Glen,50,10,60,95,155
Precinct,Greenwood High,23,8,31,161,192
Precinct,Greenwood Mill,4,3,7,131,138
Precinct,Harris,19,14,33,119,152
Precinct,Hodges,21,6,27,226,253
Precinct,Hope's Ferry,7,3,10,36,46
Precinct,Laco,37,17,54,141,195
Precinct,Levi's Knoll,25,17,42,120,162
Precinct,Liberty,24,7,31,63,94
Precinct,Loblolly Pines,20,6,26,16,42
Precinct,Lower Lake,10,12,22,313,335
Precinct,Marshall Oaks,9,3,12,20,32
Precinct,Maxwellton Pike,7,2,9,147,156
Precinct,Mimosa Crest,33,12,45,112,157
Precinct,Mountain Laurel,16,11,27,58,85
Precinct,New Market,23,7,30,99,129
Precinct,Newcastle,25,6,31,175,206
Precinct,Ninety Six,37,6,43,87,130
Precinct,Ninety Six Mill,3,1,4,122,126
Precinct,Parsons Mill,7,7,14,91,105
Precinct,Pebble Stone Way,21,23,44,147,191
Precinct,Pinecrest,23,10,33,143,176
Precinct,Provisional,0,4,4,9,13
Precinct,Riley,3,2,5,33,38
Precinct,Rutherford Shoals,7,5,12,85,97
Precinct,Sandridge,9,2,11,98,109
Precinct,Shoals Junction,5,0,5,58,63
Precinct,Sparrows Grace,15,8,23,322,345
Precinct,Stonewood,11,11,22,216,238
Precinct,Troy,3,1,4,28,32
Precinct,Verdery,48,16,64,103,167
Precinct,Ware Shoals,5,3,8,43,51
County,Laurens,518,319,837,8015,8852
Precinct,Bailey,12,10,22,252,274
Precinct,Barksdale-Narnie,12,6,18,212,230
Precinct,Brewerton-princeton,1,3,4,171,175
Precinct,Clinton 01,16,15,31,236,267
Precinct,Clinton 02,11,5,16,317,333
Precinct,Clinton 03,14,12,26,421,447
Precinct,Clinton Mill,26,16,42,126,168
Precinct,Cooks,9,4,13,182,195
Precinct,Cross Hill,17,10,27,317,344
Precinct,Ekom,5,1,6,150,156
Precinct,Failsafe,2,2,4,3,7
Precinct,Failsafe Provisional,0,0,0,10,10
Precinct,Gray Court,25,12,37,208,245
Precinct,Greenpond,11,10,21,334,355
Precinct,Hickory Tavern,5,7,12,637,649
Precinct,Joanna,20,9,29,404,433
Precinct,Jones,25,16,41,244,285
Precinct,Laurens 01,21,13,34,90,124
Precinct,Laurens 02,15,4,19,26,45
Precinct,Laurens 03,16,8,24,91,115
Precinct,Laurens 04,39,19,58,55,113
Precinct,Laurens 05,35,18,53,364,417
Precinct,Laurens 06,26,11,37,320,357
Precinct,Long Branch,6,5,11,348,359
Precinct,Lydia Mill,21,10,31,143,174
Precinct,Maddens,19,9,28,291,319
Precinct,Martins-Poplar Springs,6,3,9,153,162
Precinct,Mountville,9,9,18,152,170
Precinct,Mt. Olive,2,2,4,225,229
Precinct,Ora-lanford,20,6,26,209,235
Precinct,Owings,2,5,7,130,137
Precinct,Provisional,0,0,0,6,6
Precinct,Trinity Ridge,37,27,64,361,425
Precinct,Waterloo,19,16,35,336,371
Precinct,Wattsville,10,6,16,279,295
Precinct,Youngs,4,10,14,212,226
County,McCormick,312,165,477,1447,1924
Precinct,Bethany,23,7,30,23,53
Precinct,Clarks Hill,8,6,14,44,58
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Mccormick No. 01,70,29,99,151,250
Precinct,Mccormick No. 02,31,20,51,82,133
Precinct,Modoc,0,0,0,68,68
Precinct,Monticello,12,11,23,218,241
Precinct,Mt. Carmel,37,13,50,14,64
Precinct,Parksville,4,0,4,33,37
Precinct,Plum Branch,58,30,88,139,227
Precinct,Provisional,0,0,0,1,1
Precinct,Savannah,32,43,75,639,714
Precinct,Willington,37,6,43,35,78
County,Newberry,309,181,490,4786,5276
Precinct,Beth-Eden,7,6,13,108,121
Precinct,Bush River,1,0,1,82,83
Precinct,Chappells,4,2,6,136,142
Precinct,Consolidated 05,9,6,15,232,247
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fairview,8,11,19,486,505
Precinct,Hartford,3,8,11,181,192
Precinct,Helena,34,5,39,57,96
Precinct,Johnstone,2,5,7,142,149
Precinct,Kinards-Jalapa,2,6,8,113,121
Precinct,Little Mountain,13,5,18,267,285
Precinct,Maybinton,11,5,16,8,24
Precinct,Mt. Bethel-Garmany,22,4,26,173,199
Precinct,Newberry Ward 01,8,4,12,77,89
Precinct,Newberry Ward 02,13,7,20,292,312
Precinct,Newberry Ward 03,15,10,25,155,180
Precinct,Newberry Ward 04,18,8,26,23,49
Precinct,Newberry Ward 05,10,9,19,17,36
Precinct,Newberry Ward 06,17,18,35,280,315
Precinct,O'neal,11,6,17,401,418
Precinct,Oakland,13,2,15,34,49
Precinct,Peak,3,1,4,34,38
Precinct,Pomaria,2,3,5,114,119
Precinct,Prosperity City,17,6,23,154,177
Precinct,Prosperity Outside,10,9,19,182,201
Precinct,Provisional,0,0,0,0,0
Precinct,Silverstreet,13,7,20,180,200
Precinct,St. Phillips-Jolly Street,18,9,27,225,252
Precinct,Stoney Hill,3,5,8,279,287
Precinct,Wheeland,6,4,10,119,129
Precinct,Whitmire City,8,5,13,111,124
Precinct,Whitmire Outside,8,5,13,124,137
County,Oconee,242,343,585,10693,11278
Precinct,Bountyland,3,10,13,384,397
Precinct,Earles Grove,1,4,5,217,222
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,0,0,0,6,6
Precinct,Fair Play,1,3,4,291,295
Precinct,Friendship,8,6,14,346,360
Precinct,Holly Springs,0,0,0,94,94
Precinct,Keowee,7,12,19,529,548
Precinct,Long Creek,1,4,5,105,110
Precinct,Madison,1,2,3,137,140
Precinct,Mountain Rest,4,7,11,378,389
Precinct,New Hope,5,13,18,711,729
Precinct,Newry Corinth,3,6,9,34,43
Precinct,Oakway,6,4,10,313,323
Precinct,Provisional,0,1,1,6,7
Precinct,Ravenel,15,35,50,465,515
Precinct,Return,1,2,3,187,190
Precinct,Richland,12,8,20,240,260
Precinct,Salem,11,7,18,422,440
Precinct,Seneca 01,24,28,52,397,449
Precinct,Seneca 02,16,18,34,333,367
Precinct,Seneca 03,5,7,12,297,309
Precinct,Seneca 04,29,18,47,347,394
Precinct,Shiloh,8,21,29,211,240
Precinct,South Union,3,14,17,344,361
Precinct,Stamp Creek,18,28,46,623,669
Precinct,Tamassee,1,6,7,273,280
Precinct,Tokeena-Providence,3,4,7,275,282
Precinct,Utica,3,6,9,57,66
Precinct,Walhalla 01,16,21,37,875,912
Precinct,Walhalla 02,14,16,30,514,544
Precinct,West Union,8,15,23,479,502
Precinct,Westminster 01,8,10,18,514,532
Precinct,Westminster 02,7,7,14,288,302
County,Pickens,294,373,667,18047,18714
Precinct,6 Mile Mountain,4,8,12,399,411
Precinct,9 Forks,3,6,9,483,492
Precinct,Abel,7,6,13,76,89
Precinct,Albert R. Lewis,3,3,6,422,428
Precinct,Arial Mill,1,0,1,209,210
Precinct,Brushy Creek,2,2,4,437,441
Precinct,Calhoun,6,9,15,78,93
Precinct,Cedar Rock,4,3,7,342,349
Precinct,Clemson,17,38,55,455,510
Precinct,Crescent Hill,3,4,7,448,455
Precinct,Crestview,7,5,12,454,466
Precinct,Crossroads,3,2,5,340,345
Precinct,Crosswell,2,4,6,290,296
Precinct,Dacusville,7,4,11,266,277
Precinct,Easley,1,7,8,247,255
Precinct,East Liberty,5,3,8,251,259
Precinct,East Pickens,0,6,6,417,423
Precinct,Failsafe,0,0,0,15,15
Precinct,Failsafe Provisional,0,0,0,7,7
Precinct,Flat Rock,4,1,5,308,313
Precinct,Forest Acres,2,7,9,278,287
Precinct,Fruit Mountain,6,6,12,203,215
Precinct,Georges Creek,7,8,15,274,289
Precinct,Glassy Mountain,4,2,6,362,368
Precinct,Griffin,5,3,8,474,482
Precinct,Holly Springs,11,6,17,573,590
Precinct,Issaqueena,9,7,16,111,127
Precinct,Lawrence Chapel,5,14,19,305,324
Precinct,Lenhardt,7,4,11,337,348
Precinct,McAllister,2,4,6,257,263
Precinct,Mckissick,8,10,18,329,347
Precinct,Morrison,2,6,8,156,164
Precinct,Mountain View,5,12,17,355,372
Precinct,Norris,5,7,12,247,259
Precinct,North Central,7,9,16,228,244
Precinct,North Liberty,6,3,9,245,254
Precinct,North Pickens,1,4,5,472,477
Precinct,Pendleton,6,2,8,276,284
Precinct,Pickensville,0,5,5,254,259
Precinct,Pike,2,13,15,140,155
Precinct,Pope Field,5,4,9,236,245
Precinct,Praters Creek,3,4,7,346,353
Precinct,Provisional,1,0,1,6,7
Precinct,Pumpkintown,10,8,18,502,520
Precinct,Rices Creek,0,0,0,331,331
Precinct,Rock Springs,6,6,12,261,273
Precinct,Saluda,3,3,6,185,191
Precinct,Sheffield,5,2,7,443,450
Precinct,Simpson,7,9,16,142,158
Precinct,Sitton,18,7,25,367,392
Precinct,Six Mile,2,6,8,381,389
Precinct,Skelton,2,2,4,340,344
Precinct,Smith Grove,0,3,3,134,137
Precinct,South Central,8,13,21,123,144
Precinct,South Pickens,7,3,10,305,315
Precinct,Stone Church,4,20,24,198,222
Precinct,Tri County,4,4,8,100,108
Precinct,University,3,4,7,91,98
Precinct,Vinland,0,7,7,216,223
Precinct,West Central,3,2,5,85,90
Precinct,West Liberty,2,3,5,384,389
Precinct,West Pickens,7,7,14,440,454
Precinct,Woodside,9,9,18,336,354
Precinct,Zion,6,4,10,275,285
County,Saluda,219,100,319,2554,2873
Precinct,Centennial,5,2,7,135,142
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fruit Hill,35,11,46,178,224
Precinct,Higgins-Zoar,10,4,14,124,138
Precinct,Holly,1,6,7,358,365
Precinct,Hollywood,4,9,13,361,374
Precinct,Holstons,13,5,18,120,138
Precinct,Pleasant Grove,4,12,16,251,267
Precinct,Provisional,0,0,0,0,0
Precinct,Richland,5,9,14,142,156
Precinct,Ridge Spring-Monetta,41,10,51,99,150
Precinct,Saluda No. 01,61,12,73,154,227
Precinct,Saluda No. 02,15,5,20,241,261
Precinct,Sardis,4,4,8,313,321
Precinct,Ward,21,11,32,78,110
