,,Sheri Biggs,Mark Burns,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
Precinct,Pelzer,42,56,98,0,98
Precinct,Pendleton,184,108,292,0,292
Precinct,Piedmont,33,49,82,0,82
Precinct,Piercetown,138,156,294,2,296
Precinct,Powdersville,88,164,252,1,253
Precinct,Provisional,4,7,11,0,11
Precinct,Rock Mill,138,85,223,0,223
Precinct,Rock Springs,63,55,118,0,118
Precinct,Shirley's Store,70,66,136,0,136
Precinct,Simpsonville,93,156,249,0,249
Precinct,South Fant,22,15,37,0,37
Precinct,Starr,68,63,131,0,131
Precinct,Toney Creek,57,55,112,0,112
Precinct,Town Creek,138,99,237,0,237
Precinct,Townville,61,59,120,0,120
Precinct,Varennes,15,28,43,0,43
Precinct,West Pelzer,144,168,312,8,320
Precinct,West Savannah,13,31,44,0,44
Precinct,White Plains,189,232,421,0,421
Precinct,Williamston,184,175,359,5,364
Precinct,Williamston Mill,149,192,341,5,346
Precinct,Wright's School,67,52,119,0,119
County,Edgefield,574,367,941,1,942
Precinct,Brunson,10,8,18,0,18
Precinct,Edgefield No. 01,48,22,70,0,70
Precinct,Edgefield No. 02,48,39,87,0,87
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Harmony,73,20,93,0,93
Precinct,Johnston No. 01,12,18,30,1,31
Precinct,Johnston No. 02,41,21,62,0,62
Precinct,Merriweather No. 01,97,62,159,0,159
Precinct,Merriweather No. 02,134,87,221,0,221
Precinct,North Side,15,14,29,0,29
Precinct,Provisional,0,0,0,0,0
Precinct,Trenton No. 01,25,14,39,0,39
Precinct,Trenton No. 02,11,15,26,0,26
Precinct,Westside,60,47,107,0,107
County,Greenville,1348,2346,3694,384,4078
Precinct,Baker Creek,51,110,161,6,167
Precinct,Dunklin,92,226,318,3,321
Precinct,Failsafe,0,0,0,1,1
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fork Shoals,103,176,279,6,285
Precinct,Fountain Inn 01,103,142,245,1,246
Precinct,Fountain Inn 02,26,52,78,0,78
Precinct,Long Creek,90,142,232,3,235
Precinct,Neely Farms,113,176,289,5,294
Precinct,Piedmont,73,105,178,0,178
Precinct,Pineview,44,74,118,0,118
Precinct,Provisional,1,0,1,23,24
Precinct,Raintree,90,169,259,1,260
Precinct,Reedy Fork,70,111,181,139,320
Precinct,Sycamore,83,171,254,2,256
Precinct,Verdmont,93,141,234,4,238
Precinct,Walnut Springs,130,254,384,0,384
Precinct,Ware Place,127,192,319,11,330
Precinct,Woodmont,59,105,164,179,343
County,Greenwood,3037,1984,5021,121,5142
Precinct,Airport,109,57,166,4,170
Precinct,Allies Crossing,68,34,102,4,106
Precinct,Angel Oak's Crossing,130,76,206,6,212
Precinct,Ashley River Run,12,3,15,0,15
Precinct,Bee's Ferry,1,3,4,0,4
Precinct,Biltmore Pines,73,67,140,4,144
Precinct,Bradley,17,13,30,1,31
Precinct,Callison,83,52,135,2,137
Precinct,Civic Center,49,29,78,4,82
Precinct,Cokesbury,23,24,47,1,48
Precinct,Coronaca,200,84,284,2,286
Precinct,Emerald,18,11,29,0,29
Precinct,Emerald High,61,32,93,3,96
Precinct,Epworth,44,46,90,2,92
Precinct,Failsafe,0,1,1,0,1
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fairhope Ferry,44,16,60,4,64
Precinct,Georgetown,77,50,127,2,129
Precinct,Gideons Way,30,12,42,0,42
Precinct,Glendale,72,50,122,4,126
Precinct,Graham's Glen,72,58,130,0,130
Precinct,Grandiflora Glen,45,35,80,3,83
Precinct,Greenwood High,87,50,137,4,141
Precinct,Greenwood Mill,82,44,126,6,132
Precinct,Harris,70,37,107,4,111
Precinct,Hodges,88,94,182,6,188
Precinct,Hope's Ferry,17,15,32,0,32
Precinct,Laco,71,47,118,5,123
Precinct,Levi's Knoll,61,35,96,1,97
Precinct,Liberty,34,21,55,0,55
Precinct,Loblolly Pines,4,4,8,0,8
Precinct,Lower Lake,174,76,250,3,253
Precinct,Marshall Oaks,9,7,16,2,18
Precinct,Maxwellton Pike,81,65,146,2,148
Precinct,Mimosa Crest,43,38,81,4,85
Precinct,Mountain Laurel,15,26,41,0,41
Precinct,New Market,51,32,83,1,84
Precinct,Newcastle,72,62,134,1,135
Precinct,Ninety Six,48,32,80,4,84
Precinct,Ninety Six Mill,49,67,116,1,117
Precinct,Parsons Mill,49,29,78,0,78
Precinct,Pebble Stone Way,80,45,125,5,130
Precinct,Pinecrest,73,37,110,4,114
Precinct,Provisional,11,9,20,0,20
Precinct,Riley,16,19,35,3,38
Precinct,Rutherford Shoals,44,39,83,1,84
Precinct,Sandridge,55,31,86,5,91
Precinct,Shoals Junction,28,22,50,0,50
Precinct,Sparrows Grace,179,105,284,7,291
Precinct,Stonewood,121,75,196,2,198
Precinct,Troy,16,10,26,0,26
Precinct,Verdery,49,47,96,3,99
Precinct,Ware Shoals,32,11,43,1,44
County,Laurens,1803,2666,4469,40,4509
Precinct,Bailey,45,63,108,0,108
Precinct,Barksdale-Narnie,30,61,91,0,91
Precinct,Brewerton-princeton,41,64,105,0,105
Precinct,Clinton 01,86,73,159,4,163
Precinct,Clinton 02,196,97,293,20,313
Precinct,Clinton 03,141,167,308,7,315
Precinct,Clinton Mill,15,35,50,1,51
Precinct,Cooks,35,99,134,0,134
Precinct,Cross Hill,73,115,188,1,189
Precinct,Ekom,24,42,66,0,66
Precinct,Failsafe,0,1,1,0,1
Precinct,Failsafe Provisional,0,4,4,0,4
Precinct,Gray Court,28,69,97,0,97
Precinct,Greenpond,69,123,192,0,192
Precinct,Hickory Tavern,124,226,350,0,350
Precinct,Joanna,118,179,297,4,301
Precinct,Jones,63,110,173,0,173
Precinct,Laurens 01,12,28,40,0,40
Precinct,Laurens 02,3,6,9,0,9
Precinct,Laurens 03,14,24,38,0,38
Precinct,Laurens 04,12,9,21,0,21
Precinct,Laurens 05,60,101,161,0,161
Precinct,Laurens 06,58,78,136,1,137
Precinct,Long Branch,52,122,174,0,174
Precinct,Lydia Mill,19,30,49,0,49
Precinct,Maddens,47,89,136,0,136
Precinct,Martins-Poplar Springs,57,42,99,0,99
Precinct,Mountville,24,46,70,0,70
Precinct,Mt. Olive,56,55,111,1,112
Precinct,Ora-lanford,40,55,95,0,95
Precinct,Owings,33,52,85,0,85
Precinct,Provisional,1,0,1,0,1
Precinct,Trinity Ridge,64,112,176,1,177
Precinct,Waterloo,74,105,179,0,179
Precinct,Wattsville,45,97,142,0,142
Precinct,Youngs,44,87,131,0,131
County,McCormick,511,369,880,1,881
Precinct,Bethany,8,7,15,0,15
Precinct,Clarks Hill,15,19,34,0,34
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Mccormick No. 01,29,23,52,1,53
Precinct,Mccormick No. 02,23,20,43,0,43
Precinct,Modoc,13,21,34,0,34
Precinct,Monticello,94,63,157,0,157
Precinct,Mt. Carmel,6,1,7,0,7
Precinct,Parksville,17,5,22,0,22
Precinct,Plum Branch,34,26,60,0,60
Precinct,Provisional,1,1,2,0,2
Precinct,Savannah,259,177,436,0,436
Precinct,Willington,12,6,18,0,18
County,Newberry,917,639,1556,2,1558
Precinct,Beth-Eden,25,11,36,0,36
Precinct,Bush River,20,11,31,0,31
Precinct,Chappells,29,46,75,0,75
Precinct,Consolidated 05,26,21,47,0,47
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,1,0,1,0,1
Precinct,Fairview,119,63,182,1,183
Precinct,Hartford,33,29,62,0,62
Precinct,Helena,9,8,17,0,17
Precinct,Johnstone,22,18,40,0,40
Precinct,Kinards-Jalapa,28,26,54,0,54
Precinct,Little Mountain,50,31,81,0,81
Precinct,Maybinton,6,1,7,0,7
Precinct,Mt. Bethel-Garmany,27,21,48,0,48
Precinct,Newberry Ward 01,12,10,22,0,22
Precinct,Newberry Ward 02,68,30,98,0,98
Precinct,Newberry Ward 03,28,9,37,0,37
Precinct,Newberry Ward 04,7,7,14,0,14
Precinct,Newberry Ward 05,4,4,8,0,8
Precinct,Newberry Ward 06,51,25,76,0,76
Precinct,O'neal,80,67,147,0,147
Precinct,Oakland,9,3,12,0,12
Precinct,Peak,2,5,7,0,7
Precinct,Pomaria,30,12,42,0,42
Precinct,Prosperity City,21,18,39,0,39
Precinct,Prosperity Outside,27,19,46,1,47
Precinct,Provisional,0,0,0,0,0
Precinct,Silverstreet,20,24,44,0,44
Precinct,St. Phillips-Jolly Street,32,26,58,0,58
Precinct,Stoney Hill,69,35,104,0,104
Precinct,Wheeland,24,13,37,0,37
Precinct,Whitmire City,13,22,35,0,35
Precinct,Whitmire Outside,25,24,49,0,49
County,Oconee,3674,2695,6369,6,6375
Precinct,Bountyland,181,93,274,0,274
Precinct,Earles Grove,46,57,103,0,103
Precinct,Failsafe,1,0,1,0,1
Precinct,Failsafe Provisional,1,1,2,0,2
Precinct,Fair Play,74,77,151,0,151
Precinct,Friendship,124,107,231,1,232
Precinct,Holly Springs,26,29,55,0,55
Precinct,Keowee,210,149,359,0,359
Precinct,Long Creek,30,24,54,1,55
Precinct,Madison,33,48,81,0,81
Precinct,Mountain Rest,83,90,173,1,174
Precinct,New Hope,278,211,489,0,489
Precinct,Newry Corinth,16,5,21,0,21
Precinct,Oakway,72,79,151,1,152
Precinct,Provisional,1,0,1,0,1
Precinct,Ravenel,170,120,290,0,290
Precinct,Return,64,39,103,0,103
Precinct,Richland,85,72,157,0,157
Precinct,Salem,193,123,316,0,316
Precinct,Seneca 01,169,67,236,0,236
Precinct,Seneca 02,143,58,201,0,201
Precinct,Seneca 03,116,74,190,1,191
Precinct,Seneca 04,124,70,194,0,194
Precinct,Shiloh,62,52,114,0,114
Precinct,South Union,96,109,205,0,205
Precinct,Stamp Creek,339,203,542,0,542
Precinct,Tamassee,78,95,173,1,174
Precinct,Tokeena-Providence,92,56,148,0,148
Precinct,Utica,15,25,40,0,40
Precinct,Walhalla 01,243,151,394,0,394
Precinct,Walhalla 02,139,98,237,0,237
Precinct,West Union,140,123,263,0,263
Precinct,Westminster 01,149,130,279,0,279
Precinct,Westminster 02,81,60,141,0,141
County,Pickens,6716,7623,14339,358,14697
Precinct,6 Mile Mountain,148,173,321,8,329
Precinct,9 Forks,151,243,394,8,402
Precinct,Abel,34,18,52,3,55
Precinct,Albert R. Lewis,156,206,362,2,364
Precinct,Arial Mill,78,99,177,2,179
Precinct,Brushy Creek,159,155,314,11,325
Precinct,Calhoun,45,20,65,0,65
Precinct,Cedar Rock,118,163,281,12,293
Precinct,Clemson,234,81,315,19,334
Precinct,Crescent Hill,171,206,377,19,396
Precinct,Crestview,166,154,320,16,336
Precinct,Crossroads,112,169,281,6,287
Precinct,Crosswell,92,120,212,2,214
Precinct,Dacusville,74,151,225,1,226
Precinct,Easley,118,91,209,9,218
Precinct,East Liberty,95,117,212,4,216
Precinct,East Pickens,168,202,370,9,379
Precinct,Failsafe,4,5,9,0,9
Precinct,Failsafe Provisional,1,0,1,0,1
Precinct,Flat Rock,112,143,255,6,261
Precinct,Forest Acres,112,89,201,4,205
Precinct,Fruit Mountain,59,88,147,4,151
Precinct,Georges Creek,96,100,196,6,202
Precinct,Glassy Mountain,142,186,328,2,330
Precinct,Griffin,169,209,378,9,387
Precinct,Holly Springs,244,261,505,11,516
Precinct,Issaqueena,58,29,87,1,88
Precinct,Lawrence Chapel,110,113,223,5,228
Precinct,Lenhardt,99,135,234,3,237
Precinct,McAllister,99,101,200,6,206
Precinct,Mckissick,116,128,244,7,251
Precinct,Morrison,83,42,125,3,128
Precinct,Mountain View,139,150,289,7,296
Precinct,Norris,99,114,213,3,216
Precinct,North Central,82,102,184,7,191
Precinct,North Liberty,96,99,195,1,196
Precinct,North Pickens,165,225,390,13,403
Precinct,Pendleton,91,117,208,0,208
Precinct,Pickensville,89,90,179,3,182
Precinct,Pike,61,62,123,4,127
Precinct,Pope Field,86,94,180,7,187
Precinct,Praters Creek,127,177,304,6,310
Precinct,Provisional,3,2,5,0,5
Precinct,Pumpkintown,158,264,422,11,433
Precinct,Rices Creek,117,165,282,6,288
Precinct,Rock Springs,86,105,191,1,192
Precinct,Saluda,53,70,123,1,124
Precinct,Sheffield,190,146,336,12,348
Precinct,Simpson,50,38,88,3,91
Precinct,Sitton,153,120,273,7,280
Precinct,Six Mile,124,205,329,5,334
Precinct,Skelton,131,164,295,6,301
Precinct,Smith Grove,45,72,117,3,120
Precinct,South Central,45,53,98,3,101
Precinct,South Pickens,114,117,231,13,244
Precinct,Stone Church,107,34,141,7,148
Precinct,Tri County,27,59,86,0,86
Precinct,University,45,20,65,2,67
Precinct,Vinland,57,101,158,4,162
Precinct,West Central,29,28,57,0,57
Precinct,West Liberty,136,183,319,6,325
Precinct,West Pickens,162,213,375,12,387
Precinct,Woodside,126,121,247,3,250
Precinct,Zion,100,116,216,4,220
County,Saluda,998,785,1783,40,1823
Precinct,Centennial,57,44,101,2,103
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fruit Hill,54,76,130,5,135
Precinct,Higgins-Zoar,47,52,99,3,102
Precinct,Holly,157,76,233,6,239
Precinct,Hollywood,129,138,267,5,272
Precinct,Holstons,27,21,48,0,48
Precinct,Pleasant Grove,83,66,149,3,152
Precinct,Provisional,0,0,0,0,0
Precinct,Richland,61,47,108,5,113
Precinct,Ridge Spring-Monetta,37,10,47,0,47
Precinct,Saluda No. 01,57,62,119,1,120
Precinct,Saluda No. 02,118,77,195,3,198
Precinct,Sardis,136,100,236,6,242
Precinct,Ward,35,16,51,1,52
