record_id,created_time,Blog,Bluesky,Email list,Event Calendar,Facebook,Group Email,Instagram,Linktree,Name,State,Status,Twitter,Website,directory_presence
rec2hrfX1lQo6X4HY,2020-06-08T13:08:52.000Z,https://siliconvalleydsa.org/blog/,https://bsky.app/profile/siliconvalleydsa.bsky.social,https://siliconvalleydsa.org/join/,https://siliconvalleydsa.org/events/,https://www.facebook.com/svdsa,info@siliconvalleydsa.org,https://www.instagram.com/silicon_valley_dsa/,https://linktr.ee/silicon_valley_dsa ,Silicon Valley,CA,Chapter,https://twitter.com/SV_DSA,https://siliconvalleydsa.org/,current
recuyHD4argSxhJUP,2025-01-28T22:01:30.000Z,https://www.socodsa.org/,https://bsky.app/profile/socodsa.org,,https://www.socodsa.org/event-calendar/,https://www.facebook.com/socodsa,info@socodsa.org,https://www.instagram.com/dsasonomacounty/,linktr.ee/Socodsa,Sonoma County,CA,Chapter,,https://www.socodsa.org/,current
recuHREFEAmpl9Rc5,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsa-vc.bsky.social,,https://dsaventuracounty.org/calendar,https://www.facebook.com/DSAVenturaCounty/,dsaventuracounty@gmail.com,https://www.instagram.com/dsaventuracounty/,linktr.ee/dsaventuracounty,Ventura County,CA,Chapter,,https://dsaventuracounty.org,current
recASnFYm5isBZEGa,2020-12-04T19:30:31.000Z,,https://bsky.app/profile/yolodsa.bsky.social,yolodsa.org/join,yolodsa.org/events,facebook.com/dsayolo,yolodemsocialists@gmail.com,https://www.instagram.com/yolodsa/,,Yolo County,CA,Chapter,,,current
recfbo03dGTTwdruW,2020-06-08T13:08:52.000Z,,,,,https://www.facebook.com/boulderdsa/,boulderdsa@gmail.com,,,Boulder,CO,Chapter,https://twitter.com/BoulderDSA,http://www.boulderdsa.org/,current
recyipdXaiOGJdtaq,2020-06-08T13:08:52.000Z,https://substack.com/@thefairsharecos,cospringsdsa.bsky.social,,https://www.cosdsa.org/events,facebook.com/springsdsa,cospringsdsa@gmail.com,https://www.instagram.com/cospringsdsa/,https://linktr.ee/Cospringsdsa,Colorado Springs,CO,Chapter,https://x.com/cospringsdsa,https://www.cosdsa.org/,current
recXsfT8mmJNZoTBB,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/denverdsa.bsky.social,https://actionnetwork.org/forms/join-our-email-list-25,https://denverdsa.org/events,https://www.facebook.com/denverdemsocialists,info@denverdsa.org,https://www.instagram.com/dsadenver/,https://linktr.ee/denverdsa,Denver,CO,Chapter,https://twitter.com/DSAdenver,https://denverdsa.org/,current
recWNaLkhH8fqjhlT,2024-06-10T18:45:45.000Z,,,,,,info@mesadsa.org,instagram.com/western_colorado_dsa,,Mesa County,CO,Chapter,,,current
recQ0XbRWCvOpu5HM,2021-03-18T15:45:27.000Z,,https://bsky.app/profile/dsafortcollins.bsky.social,https://www.dsafc.org/,https://www.dsafc.org/events/,https://www.facebook.com/DSAFortCollins,dsafortcollins@gmail.com,https://www.instagram.com/dsafortcollins/,,Northern Colorado,CO,Chapter,https://x.com/DSAFortCollins,https://dsafc.org/,current
recrsiHHI6LQJITPX,2020-06-08T13:08:52.000Z,https://ctdsa.org/garnet-oak-magazine/,https://bsky.app/profile/ctdsa.org,https://ctdsa.org/contact/,https://ctdsa.org/calendar/,https://www.facebook.com/ConnecticutDSA,steeringcommittee@ctdsa.org,https://www.instagram.com/ct.dsa/,linktr.ee/ctdsa,Connecticut,CT,Chapter,https://twitter.com/connecticutdsa,https://ctdsa.org,current
rec5aFxWovVQRZg1m,2020-06-08T13:08:52.000Z,http://washingtonsocialist.mdcdsa.org,,,https://mdcdsa.org/metro-dc-dsa-calendar-of-events/,https://www.facebook.com/MetroDCDSA/,info@mdcdsa.org,https://www.instagram.com/mdc_dsa/,,Metro DC,"DC, VA, MD",Chapter,https://twitter.com/mdc_dsa,https://mdcdsa.org/,current
recmr3OjlPiwCu6BI,2020-11-24T17:58:00.000Z,,delawaredsa.bsky.social,,,https://www.facebook.com/DelawareDSA/,delaware.socialists@gmail.com,https://instagram.com/delawaredsa,https://linktr.ee/delawaredsa,Delaware,DE,Chapter,https://twitter.com/delawaredsa,https://dedsa.org,current
reczGEZy8EMuUwqFd,2023-04-28T16:28:57.000Z,,,,https://alachuadsa.org/calendar/,https://www.facebook.com/groups/1211207800424465,alachuadsa@gmail.com,https://www.instagram.com/alachuadsa/,linktr.ee/alachuadsa,Alachua County,FL,Chapter,,http://alachuadsa.org,current
recI72439exLqogyy,2020-06-08T13:08:52.000Z,,,,https://calendar.google.com/calendar/u/0?cid=YnJvd2FyZGRzYUBnbWFpbC5jb20,,browarddsa@gmail.com,instagram.com/browarddsa,,Broward County,FL,Chapter,www.twitter.com/browarddsa,https://browardcountydsa.org/,current
recQQgAazXgKTRhfU,2026-08-12T20:15:52.000Z,,,,,,emcoastdsa@gmail.com,,,Emerald Coast,FL,Organizing Committee,,,current
reclf74z6YnA3tm63,2020-06-08T13:08:52.000Z,https://discord.gg/mTDWnR3RVz,,https://actionnetwork.org/forms/signupnow,https://linktr.ee/jaxdsa,,jacksonvilledsa@gmail.com,https://www.instagram.com/jax_dsa,https://linktr.ee/jaxdsa,Jacksonville,FL,Chapter,,https://linktr.ee/jaxdsa,current
recuyzNZu9ufw8620,2026-09-11T00:32:54.000Z,,,,,,keywestdsa@gmail.com,,,Key West,FL,Organizing Committee,,,current
recKUDCwfT4yxflU6,2026-09-11T00:33:26.000Z,,,,,,Leoncountydsa@gmail.com,,,Leon County,FL,Organizing Committee,,,current
recglapUaL0faNba5,2026-07-13T23:53:46.000Z,https://discord.gg/Ej6kPPcqsX,,https://email.marioncountydsa.org/,https://calendar.marioncountydsa.org/,https://www.facebook.com/marioncountydsa,admin@marioncountydsa.org,https://www.instagram.com/marioncountydsa,https://linktr.ee/marioncountydsa,Marion County,FL,Organizing Committee,,,current
reczsjCLxEGBKSa3u,2020-06-08T13:08:52.000Z,,,eepurl.com/cWvZvb,https://miamidsa.org/calendar,https://www.facebook.com/MiamiDSA/,miamidsa@gmail.com,https://www.instagram.com/miamidsa/,,Miami,FL,Chapter,https://twitter.com/MiamiDSA,http://miamidsa.org/,current
recJ0MEIEPUDiMCfs,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsaoforlando.bsky.social,https://actionnetwork.org/forms/odsa-interest-form,https://calendar.google.com/calendar/u/0?cid=ZHNhb2ZvcmxhbmRvQGdtYWlsLmNvbQ,https://www.facebook.com/OrlandoDSA,dsaoforlando@gmail.com,https://www.instagram.com/orlando_dsa/,https://linktr.ee/OrlandoDSA,Orlando,FL,Chapter,https://twitter.com/Orlando_DSA,https://orlando.chapters.dsausa.org/,current
rec7wqm3T5lsvYHLN,2020-10-21T17:59:35.000Z,https://palmbeachdsa.org/newsletter-updates/,https://bsky.app/profile/pbdsa.bsky.social,https://actionnetwork.org/forms/palm-beach-dsa-newsletter-sign-up,https://palmbeachdsa.org/calendar/dsa-public-events/,https://www.facebook.com/palmbeachdsa,pbtc-dsa@proton.me,https://www.instagram.com/palmbeachdsa/,https://linktr.ee/palmbeachdsa,Palm Beach & Treasure Coast,FL,Chapter,https://x.com/PalmBeachDSA,https://palmbeachdsa.org/,current
recAZzY3jqCBe7alk,2022-02-07T18:26:50.000Z,,,https://dsausa.us/PascoHernandoDSA,https://calendar.google.com/calendar/embed?src=pascohernandodsa%40gmail.com&ctz=America%2FNew_York,https://www.facebook.com/PascoHernandoDSA,PascoHernandoDSA@gmail.com,,,Pasco-Hernando,FL,Chapter,https://twitter.com/pasco_hernando,https://pascohernando.dsachapters.org,current
recSleokYJqguQEBD,2020-06-08T13:08:52.000Z,https://www.pensacoladsa.org/blog,https://bsky.app/profile/pensacoladsa.bsky.social,https://actionnetwork.org/forms/subscribe-to-the-pensacola-dsa-email-list,https://www.pensacoladsa.org/calendar,https://www.facebook.com/PensacolaDSA,info@PensacolaDSA.org,https://www.instagram.com/pensacoladsa/,,Pensacola,FL,Chapter,https://twitter.com/Pensacola_DSA,https://www.pensacoladsa.org/,current
recQ3VOBLDmZQHLQw,2020-06-08T13:08:52.000Z,https://dsa-pinellas.medium.com/,,,https://calendar.google.com/calendar/u/1?cid=Z3FvbDh1amxldGxlOHF2cGhsMmE3ZHZnanNAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ,facebook.com/pinellasdsa,dsa.pinellas@gmail.com,https://www.instagram.com/pinellasdsa/,,Pinellas County,FL,Chapter,twitter.com/pinellasdsa,www.pinellasdsa.org,current
recyjlVOMzrokvMZJ,2020-10-21T17:59:35.000Z,,,http://eepurl.com/g8VSNX,https://calendar.google.com/calendar/u/0/embed?src=polkcounty.dsa@gmail.com&ctz=America/New_York,https://www.facebook.com/Democratic-Socialists-of-America-Polk-County-Florida-Chapter-104241527973340,polkcounty.dsa@gmail.com,https://www.instagram.com/polk.dsa/,,Polk County,FL,Chapter,https://twitter.com/PolkDSA,https://linktr.ee/PolkDSA,current
recfAwAuIcuJvCEBN,2020-06-08T13:08:52.000Z,,,https://goo.gl/forms/qWScLfDZO4Sp0ydh2,,,spacecoastdsa@gmail.com,https://www.instagram.com/spacecoastdsa/,,Space Coast,FL,Chapter,,http://socialists.space/,current
recFlx4ORu1RH5pEV,2020-06-08T13:08:52.000Z,,,https://actionnetwork.org/forms/join-the-tampa-dsa-newsletter?clear_id=true,https://www.tampadsa.org/calendar/,https://www.facebook.com/tampadsa/,dsa.tampa@gmail.com,https://www.instagram.com/tampadsa/,,Tampa,FL,Chapter,https://www.twitter.com/tampadsa,https://www.tampadsa.org,current
recXWCW4tt6mYABG3,2026-01-30T19:36:44.000Z,,,https://actionnetwork.org/forms/join-the-volusia-dsa-newsletter?clear_id=true,https://calendar.google.com/calendar/newembed?src=volusiadsa@gmail.com&ctz=America/New_York,https://www.facebook.com/p/Volusia-County-DSA-61582536968633/,volusiadsa@gmail.com,https://www.instagram.com/volusiadsa/,https://solo.to/volusiadsa,Volusia,FL,Chapter,,,current
recKNkHw48qsmAbx9,2020-10-21T17:59:35.000Z,,,,https://athensareadsa.org/events/,https://www.facebook.com/AthensAreaDSA/,athensareadsa@gmail.com,https://www.instagram.com/athensareadsa/?hl=en,,Athens Area,GA,Chapter,https://twitter.com/athensareadsa,https://athensareadsa.org,current
recNdPpnEmU5i1xZn,2020-06-08T13:08:52.000Z,https://redclaycomrade.org,https://bsky.app/profile/atldemsoc.bsky.social,atldsa.org/subscribe,atldsa.org/events,https://facebook.com/atldemsoc,info@atldsa.org,https://instagram.com/atldemsoc,https://linktr.ee/atldemsoc,Atlanta,GA,Chapter,https://twitter.com/atldemsoc,https://atldsa.org,current
reckca2oZB7IvRSJw,2025-03-31T23:00:19.000Z,,https://web-cdn.bsky.app/profile/midgadsa.bsky.social,,https://midgadsa.org/index.php/my-calendar/,https://www.facebook.com/share/1HB6sAR9zo/,midgadsa@gmail.com,https://www.instagram.com/middlegeorgiadsa,,Middle Georgia,GA,Chapter,,www.mgdsa.org,current
recjr6SITxRfPKCFq,2026-09-11T00:33:11.000Z,,,,,,dsanwga@gmail.com,,,Northwest Georgia,GA,Organizing Committee,,,current
recBfwrqg9wJFtliS,2020-10-21T17:59:35.000Z,,,,www.savgadsa.org/events,www.facebook.com/SavannahDSA,info@savgadsa.org,www.instagram.com/dsasavannah,,Savannah,GA,Chapter,,www.savgadsa.org,current
rec4zDtZoXBGevsUj,2025-07-30T16:05:08.000Z,,https://bsky.app/profile/westgadsa.bsky.social,,,,westgadsa@gmail.com,https://www.instagram.com/westgadsa/,https://linktr.ee/westgadsa,West Georgia,GA,Organizing Committee,,,current
recyLl8GpS0aYAp9h,2025-07-22T23:12:59.000Z,https://discord.gg/8dbhh6K43r,,,,,csra.augusta.dsa@gmail.com,,,Augusta CSRA,GA SC,Organizing Committee,,,current
recQpiidcsftIPsZ0,2023-11-07T20:18:23.000Z,,,,,https://www.facebook.com/demsochi,DemSocialistsHI@gmail.com,https://www.instagram.com/demsochi/,,Big Island,HI,Organizing Committee,,,current
recazL76LSPDpqjno,2026-02-06T23:32:08.000Z,,,,,,demsocmaui@gmail.com,,,Maui,HI,Organizing Committee,,,current
recHpDq1gXwsb2MyJ,2024-03-13T18:28:49.000Z,,https://bsky.app/profile/dsoahu.bsky.social,,https://dsoahu.org/calendar,,demsocoahu@gmail.com,https://www.instagram.com/ds.of.oahu,,O'ahu,HI,Chapter,,https://dsoahu.org/,current
recTQ7GGGPoQwoxga,2021-08-10T19:30:24.000Z,,,,,https://www.facebook.com/cedarrapidsdsa,DSAcedarrapids@gmail.com,,,Cedar Rapids,IA,Chapter,@cedarrapidsdsa,,current
rec7NHEEDIalwfwe3,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsa-dsm.bsky.social,,https://calendar.google.com/calendar/embed?src=b6f2c910b116ae2abb27d65c0c397fc301e2334367c221c8f15f13fc3bd9b87f%40group.calendar.google.com&ctz=America%2FChicago,https://www.facebook.com/CentralIowaDSA,centraliowademsocialists@gmail.com,https://www.instagram.com/dsm_dsa/,https://linktr.ee/dsm_dsa,Central Iowa,IA,Chapter,https://x.com/DSM_DSA,https://centraliowadsa.org/,current
recGHdSb41i1tYtWk,2026-05-28T22:41:11.000Z,,https://bsky.app/profile/heartofiowadsa.bsky.social,https://actionnetwork.org/forms/sign-up-to-get-involved-with-the-heart-of-iowa-ames-area-dsa-chapter?source=dsa_site&,https://calendar.google.com/calendar/u/0/embed?showPrint=0&showTabs=0&height=400&wkst=1&bgcolor=%23ff0000&src=heartofiowadsa@gmail.com&color=%23711616&ctz=America/Chicago,https://www.facebook.com/HeartOfIowaDSA/,heartofiowadsa@gmail.com,https://www.instagram.com/heartofiowadsa/,,Heart of Iowa,IA,Organizing Committee,https://x.com/HeartOfIowaDSA,https://heartofiowadsa.weebly.com/,current
recxygLVMpSxU69wU,2020-06-08T13:08:52.000Z,,,,,https://www.facebook.com/IowaCityDSA/,exec@iowacitydsa.org,https://www.instagram.com/iowacitydsa,,Iowa City,IA,Chapter,https://twitter.com/dsaiowacity,,current
recDqUY8FTOw7paGw,2020-06-08T13:08:52.000Z,https://quadcitiesdsa.org/blog/,,https://quadcitiesdsa.org/join/,https://quadcitiesdsa.org/events/,https://www.facebook.com/quadcitiesdsa,quadcitiesdsa@gmail.com,https://www.instagram.com/quadcitiesdsa,,Quad Cities,"IA
IL",Chapter,https://twitter.com/quadcitiesdsa,https://quadcitiesdsa.org,current
recQCD4gvpqQv9PMU,2020-06-08T13:08:52.000Z,,,,https://www.boisedsa.org/calendar,https://www.facebook.com/BoiseDSA/,mail@boisedsa.org,https://www.instagram.com/boisedsa/,,Boise,ID,Chapter,https://twitter.com/boisedsa,https://www.boisedsa.org/,current
recLWOuFtRtCelnEh,2023-10-03T18:01:12.000Z,,,,https://calendar.google.com/calendar/embed?src=62e73439e7ec4f92813ca173c04911c50019182297801c6347d98dfee041c150%40group.calendar.google.com&ctz=America%2FDenver,http://www.facebook.com/SEIdahoDSA,seidahodsa@gmail.com,http://www.instagram.com/seidahodsa/,,Southeast Idaho,ID,Chapter,http://twitter.com/SEIdahoDSA,https://seidahodsa.org/,current
recl787Sb1leMilEi,2020-07-09T12:43:17.000Z,,,,,https://www.facebook.com/share/15kJ7DMixW/?mibextid=wwXIfr,southernidahodsa@gmail.com,https://www.instagram.com/southernidahodsa,https://linktr.ee/southernidahodsa,Southern Idaho,ID,Chapter,https://x.com/SouthIdahoDSA,,current
rec1mGRQwXhEKwfbZ,2026-03-11T19:04:14.000Z,https://substack.com/@sunvalleydsa,,,,https://www.facebook.com/share/1CDLtkrtyt/,sunvalleydsa@gmail.com,instagram.com/sunvalleydsa,,Sun Valley,ID,Chapter,,https://sunvalleydsa.org,current
recYXFf0UYitkSJpT,2020-06-08T13:08:52.000Z,,,,,facebook.com/chambanadsa,steering@cudsa.red,,,Champaign-Urbana,IL,Chapter,,cudsa.red,current
rectaMH8T8akTvuH6,2020-06-08T13:08:52.000Z,http://www.midwestsocialist.com/,https://bsky.app/profile/chicagodsa.bsky.social,https://actionnetwork.org/forms/interested-in-chicago-dsa?kiosk=true,https://chicagodsa.org/events/,https://www.facebook.com/Chicago-Democratic-Socialists-of-America-107555372640256/,info@chicagodsa.org,https://www.instagram.com/chicagodsa/,,Chicago,IL,Chapter,https://twitter.com/chicagocitydsa,http://www.chicagodsa.org/,current
rec1Ue7jCImWQduTC,2024-03-13T18:28:45.000Z,,,,,,eastcentralillinoisdsa@gmail.com,,,East Central Illinois,IL,Organizing Committee,,,current
recI6qK6j0B29VyIL,2020-06-08T13:08:52.000Z,https://www.lakefront-dsa.org/blog,,https://www.lakefront-dsa.org/our-mission,lakefront-dsa.org,https://www.facebook.com/share/1AT64ST9CV/,lakefront.DSA@gmail.com,https://www.instagram.com/lakefront.dsa,,Lakefront,IL,Chapter,,lakefront-dsa.org,current
recFbDlozToNgtm8d,2025-04-30T18:42:13.000Z,,https://bsky.app/profile/centralildsa.bsky.social,,,https://www.facebook.com/groups/1148356410186380,landoflincolndsa@proton.me,https://www.instagram.com/central.il.dsa,https://linktr.ee/landoflincolndsa,Land of Lincoln,IL,Organizing Committee,,,current
rechl5HCvitYdOGsy,2020-06-08T13:08:52.000Z,,,,,https://www.facebook.com/Northern-Illinois-Democratic-Socialists-of-America-442122069460346/,northernillinoisDSA@gmail.com,,,Northern Illinois,IL,Chapter,https://x.com/DSANorthernIL,https://www.northernillinoisdsa.org/,current
rec6LaSDWauZxCKEx,2020-07-09T11:51:54.000Z,,,,,https://www.facebook.com/southernildsa,southern.il.DSA@gmail.com,,,Southern Illinois,IL,Chapter,http://twitter.com/southern_il_dsa,https://www.soillsocialists.org/,current
