race_id,candidate_name,document_id,source_race_id,source_url,final_url,source_type,publication_date,retrieved_at,raw_path,raw_sha256,source_review_status,source_issues,source_class,role_in_registry,priority
race-634e869e6260148d2f4a,Turahn Jenkins,c0e52a33132a111324d4bb71,race-634e869e6260148d2f4a,https://www.cbsnews.com/pittsburgh/news/district-attorney-stephen-zappala-challenger-rosfeld-case,https://www.cbsnews.com/pittsburgh/news/district-attorney-stephen-zappala-challenger-rosfeld-case/,candidate_interview,,2026-08-19T23:41:08.838312+00:00,data/raw/candidate_documents/c0e52a33132a111324d4bb71/4f542a2924bb4233b09b3bc1aaaff33d28fec743c4a375dc09b54a2a88df3ab1.html,c1a1d9cecea5f94898dfd39e70584b40dd95ea470014f1c951e05fdf9f9501f1,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-634e869e6260148d2f4a,Turahn Jenkins,249e202adb733db4dd1e9bff-8b79298a734e,race-634e869e6260148d2f4a,https://www.pghcitypaper.com/pittsburgh/election-guide-allegheny-county-district-attorney/Content,https://web.archive.org/web/20190515144333id_/https://www.pghcitypaper.com/pittsburgh/election-guide-allegheny-county-district-attorney/Content?oid=14973316,candidate_questionnaire_or_guide,2019-05-15,2026-09-23T00:49:08-07:00,data/raw/policy_historical_c/followup/allegheny-da-city-paper-2019.html,8b79298a734e72f57d396590457934cf64ff3ca78fbed90e6ee234c8c1e0f792,source_requires_recovery_or_scope_review,reviewed_quote_not_full_text_input,questionnaire,endorsed,0
race-686ed0f1771e83016f0c,Irma Marianela Corado,5b61479d009bb11da9476be3,race-686ed0f1771e83016f0c,https://ggwash.org/view/72114/whos-best-on-housing-and-transportation-in-fairfaxs-braddock-district,https://ggwash.org/view/72114/whos-best-on-housing-and-transportation-in-fairfaxs-braddock-district,questionnaire,,2026-08-19T23:27:20.047784+00:00,data/raw/candidate_documents/5b61479d009bb11da9476be3/65eb318ea7877ccc6764dff04c6a3dfaa081579a8ab7005478a0e6e32439b684.html,65eb318ea7877ccc6764dff04c6a3dfaa081579a8ab7005478a0e6e32439b684,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-686ed0f1771e83016f0c,Irma Marianela Corado,d2726d1d6f3cae61cc646e65,race-686ed0f1771e83016f0c,https://www.connectionnewspapers.com/news/2019/may/23/corado-v-walkinshaw-braddock-district-nomination,https://www.connectionnewspapers.com/news/2019/may/23/corado-v-walkinshaw-braddock-district-nomination/,candidate_questionnaire,,2026-08-19T23:26:58.028322+00:00,data/raw/candidate_documents/d2726d1d6f3cae61cc646e65/0fcf2b479e5239884fb6d24fd00c98a29cddc9986bea2d9bb04aa4fae393a73d.html,0fcf2b479e5239884fb6d24fd00c98a29cddc9986bea2d9bb04aa4fae393a73d,source_requires_recovery_or_scope_review,not_extracted_or_unscoped | shared_document_unscoped | undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-686ed0f1771e83016f0c,James Robert Walkinshaw,f8470849dce3ccde886d3d7f,race-686ed0f1771e83016f0c,https://www.connectionnewspapers.com/news/2019/may/23/corado-v-walkinshaw-braddock-district-nomination,https://www.connectionnewspapers.com/news/2019/may/23/corado-v-walkinshaw-braddock-district-nomination/,candidate_questionnaire,2019-05-23,2026-08-19T23:26:58.028322+00:00,data/raw/candidate_documents/d2726d1d6f3cae61cc646e65/0fcf2b479e5239884fb6d24fd00c98a29cddc9986bea2d9bb04aa4fae393a73d.html,0fcf2b479e5239884fb6d24fd00c98a29cddc9986bea2d9bb04aa4fae393a73d,source_requires_recovery_or_scope_review,mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
race-686ed0f1771e83016f0c,James Robert Walkinshaw,a86e508872e08bf61a0e663a,race-686ed0f1771e83016f0c,https://connectionnewspapers.com/,https://www.connectionnewspapers.com/,campaign_page,,2026-08-19T23:57:00.402821+00:00,data/raw/candidate_documents/1c08c79495d3a26df6743ef9/a2bc8d39dd3c47b83a90a4506a9668a007e5a1f248728eb7bbf142411d1c23fd.html,a2bc8d39dd3c47b83a90a4506a9668a007e5a1f248728eb7bbf142411d1c23fd,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | unattributed_campaign_homepage,campaign_page,opponent,1
race-fb8880263e03b2c97832,Doyle Canning,f6105959479fc8a98762e0c7,race-fb8880263e03b2c97832,https://eugeneweekly.com/2019/09/19/primary-colors,https://eugeneweekly.com/2019/09/19/primary-colors/,candidate_interview,,2026-08-19T23:41:15.686727+00:00,data/raw/candidate_documents/f6105959479fc8a98762e0c7/ce1b947c7e631408e62e9cd9a6ca3402cbb53b0d8e5b9ec3a555e91dd9bb77f2.html,ce1b947c7e631408e62e9cd9a6ca3402cbb53b0d8e5b9ec3a555e91dd9bb77f2,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-fb8880263e03b2c97832,Peter DeFazio,50554eb66f7de333f33a9737,race-fb8880263e03b2c97832,https://defazioforcongress.org/,https://www.padpac.org/,campaign_page,,2026-08-19T23:56:50.885675+00:00,data/raw/candidate_documents/50554eb66f7de333f33a9737/5f0d1ee6df9ff98743a1b367f3c97104e471ea3332f7e977eec5b0b0a119fd03.html,5f0d1ee6df9ff98743a1b367f3c97104e471ea3332f7e977eec5b0b0a119fd03,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture,campaign_page,opponent,1
race-fb8880263e03b2c97832,Peter DeFazio,4984c192f8154b37aa7d20b9,race-fb8880263e03b2c97832,https://www.padpac.org/priorities,https://www.padpac.org/priorities/,policy_page,2026-08-20,2026-08-20T02:03:35.896383+00:00,data/raw/candidate_documents/4984c192f8154b37aa7d20b9/10ab10ab8a48c021e02332df0599b12798f12340e6210ff4a85d098b07fdee72.html,10ab10ab8a48c021e02332df0599b12798f12340e6210ff4a85d098b07fdee72,source_requires_recovery_or_scope_review,outside_primary_campaign_window,policy_page,opponent,1
race-545d24c0467c329fe6e1,Pat Mulvihill,88faa7762a4cc681ae02676e,race-545d24c0467c329fe6e1,https://www.lpm.org/news/2020-06-17/kentucky-primary-2020-louisville-metro-council-district-10,https://www.lpm.org/news/2020-06-17/kentucky-primary-2020-louisville-metro-council-district-10,candidate_questionnaire,,2026-08-19T23:30:30.761219+00:00,data/raw/candidate_documents/88faa7762a4cc681ae02676e/6599921dbf9218f75f14791daaec1e2decef9191f9e499fa7719264226c48d6d.html,6599921dbf9218f75f14791daaec1e2decef9191f9e499fa7719264226c48d6d,source_requires_recovery_or_scope_review,not_extracted_or_unscoped | shared_document_unscoped | undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
race-545d24c0467c329fe6e1,Ryan Fenwick,9fe48aec12ee91b7a632f4ba,race-545d24c0467c329fe6e1,https://www.lpm.org/news/2020-06-17/kentucky-primary-2020-louisville-metro-council-district-10,https://www.lpm.org/news/2020-06-17/kentucky-primary-2020-louisville-metro-council-district-10,candidate_questionnaire,,2026-08-19T23:30:30.761219+00:00,data/raw/candidate_documents/88faa7762a4cc681ae02676e/6599921dbf9218f75f14791daaec1e2decef9191f9e499fa7719264226c48d6d.html,6599921dbf9218f75f14791daaec1e2decef9191f9e499fa7719264226c48d6d,source_requires_recovery_or_scope_review,not_extracted_or_unscoped | shared_document_unscoped | undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-43e72676de9c6085ee97,Jody Shadduck-McNally,05278fd3ead81cfae06e8e08,race-43e72676de9c6085ee97,https://berthoudsurveyor.com/larimer-county-commissioner-candidate-profile-jody-shadduck-mcnally-democrat-larimer-county-commissioner-district-3,https://berthoudsurveyor.com/larimer-county-commissioner-candidate-profile-jody-shadduck-mcnally-democrat-larimer-county-commissioner-district-3/,candidate_questionnaire,,2026-08-19T23:41:20.619048+00:00,data/raw/candidate_documents/05278fd3ead81cfae06e8e08/4c8953b7075620e7ee0f7f38bb6c0dc6f79f675a36874b7560b357704eebfd5d.html,21aaf2522c76f12666f3bbf6ca606d77f1da547da49d399e48bcaa909c680cbe,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-43e72676de9c6085ee97,Myles G. Baker,ddf2304ef232e7861e9e5a48,race-43e72676de9c6085ee97,https://berthoudsurveyor.com/larimer-county-commissioner-candidate-profile-myles-baker-democrat-larimer-county-commissioner-district-3,https://berthoudsurveyor.com/larimer-county-commissioner-candidate-profile-myles-baker-democrat-larimer-county-commissioner-district-3/,candidate_questionnaire,,2026-08-19T23:50:15.948317+00:00,data/raw/candidate_documents/ddf2304ef232e7861e9e5a48/c45dce4b1ac0a91b4e075275a231f3653b9899de753a8e64b5ce8e03be34012f.html,10a36bd11d34ecf733889f1120e791c96a23a5f59f77d659083bee527d6c94f4,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
race-aa5003c070b361f1e672,Sara Taliaferro,80a47dc1708a048a5eaf7401,race-aa5003c070b361f1e672,https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-sara-taliaferro-wants-to-bring-thorough-problem-solving-to-douglas-county-commission,https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-sara-taliaferro-wants-to-bring-thorough-problem-solving-to-douglas-county-commission/,candidate_interview,,2026-08-19T23:50:19.933473+00:00,data/raw/candidate_documents/80a47dc1708a048a5eaf7401/2ce51411de96e35482b7cd35b6d5cc664dd45588d3f97b2df0febb4af436a6e3.html,2ce51411de96e35482b7cd35b6d5cc664dd45588d3f97b2df0febb4af436a6e3,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,opponent,0
race-aa5003c070b361f1e672,Shannon Portillo,03f9ec7f9feb0df3de5a148f,race-aa5003c070b361f1e672,https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-shannon-portillo-touts-her-criminal-justice-scholarship-for-douglas-county-commission-role,https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-shannon-portillo-touts-her-criminal-justice-scholarship-for-douglas-county-commission-role/,candidate_interview,,2026-08-19T23:41:23.993197+00:00,data/raw/candidate_documents/03f9ec7f9feb0df3de5a148f/a658051ac3ce67994f7402c053cfd0d3f6a3c7143fae414789ab22626c6b7f78.html,a658051ac3ce67994f7402c053cfd0d3f6a3c7143fae414789ab22626c6b7f78,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-dea57c83cdef4681dc1f,Erik Simonson,2d43f214c9755c7e39b30b50,race-dea57c83cdef4681dc1f,https://www.minnpost.com/greater-minnesota/2020/08/what-a-progressive-dflers-primary-victory-in-duluth-says-and-doesnt-say-about-politics-and-environmental-policy-in-northern-minnesota/,https://www.minnpost.com/greater-minnesota/2020/08/what-a-progressive-dflers-primary-victory-in-duluth-says-and-doesnt-say-about-politics-and-environmental-policy-in-northern-minnesota/,attributable_interview,2020-08-13,2026-08-20T19:31:56.763150+00:00,data/raw/candidate_documents/2d43f214c9755c7e39b30b50/5da9088c6b3ee69b21548e62ac40b020e6ad0c71ca505b9d2d91011cea27e383.html,5da9088c6b3ee69b21548e62ac40b020e6ad0c71ca505b9d2d91011cea27e383,source_requires_recovery_or_scope_review,outside_primary_campaign_window | mixed_speaker_source_requires_candidate_scope,interview,opponent,0
race-dea57c83cdef4681dc1f,Erik Simonson,231a3fead76635b324169e7a,race-dea57c83cdef4681dc1f,https://minnpost.com/,https://www.minnpost.com/,campaign_page,,2026-08-21T00:37:22.697563+00:00,data/raw/candidate_documents/231a3fead76635b324169e7a/0cc3e3aec7416089ae92225cd2ebd2492e72e10c6c3232bf05c30634c35d68a4.html,0cc3e3aec7416089ae92225cd2ebd2492e72e10c6c3232bf05c30634c35d68a4,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | unattributed_campaign_homepage,campaign_page,opponent,1
race-dea57c83cdef4681dc1f,Jen McEwen,aea00a371288ab2d9d1947b3,race-dea57c83cdef4681dc1f,https://web.archive.org/web/20201130033543id_/https://ballotpedia.org/Jen_McEwen,https://web.archive.org/web/20201130033543id_/https://ballotpedia.org/Jen_McEwen,candidate_questionnaire,,2026-08-20T19:36:54.267890+00:00,data/raw/candidate_documents/aea00a371288ab2d9d1947b3/986a241f9254f5c4d05c527068c13f1b428c032975166a7951676ed2bcb4af15.html,08528da7dd0703d36aa482746e8cb0bb9340a596d2290e1a5d36aec9eaffe1c4,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-671431314d6098bad4f2,Edward J. Markey,f7768457cd5747e1a0823e78,race-671431314d6098bad4f2,https://mavotertable.org/s/MA-Voter-Table-US-Senate-Primary-Questionnaire-Ed-Markey.pdf,https://static1.squarespace.com/static/57c6d8b729687fde090b28db/t/5f2d9f6a9259ad5ccb885387/1734548911827/MA+Voter+Table+US+Senate+Primary+Questionnaire+-+Ed+Markey.pdf,candidate_questionnaire,,2026-08-19T23:41:27.555103+00:00,data/raw/candidate_documents/f7768457cd5747e1a0823e78/76e109e752f8c6a0aa5cb7b436ddc9711acde5748f1b7c3e8a547234518647a1.pdf,76e109e752f8c6a0aa5cb7b436ddc9711acde5748f1b7c3e8a547234518647a1,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-671431314d6098bad4f2,"Joseph P. Kennedy, III",9bfe31ceb8f1a4db5d307206,race-671431314d6098bad4f2,https://mavotertable.org/s/MA-Voter-Table-US-Senate-Primary-Questionnaire-Joseph-Kennedy.pdf,https://static1.squarespace.com/static/57c6d8b729687fde090b28db/t/5f2d9fa9c832293a518e694f/1734548911827/MA+Voter+Table+US+Senate+Primary+Questionnaire+-+Joseph+Kennedy.pdf,candidate_questionnaire,,2026-08-20T00:06:09.627057+00:00,data/raw/candidate_documents/9bfe31ceb8f1a4db5d307206/cfd86fbc3b45fc19c7158091240a2798c8aed8a3761d336219ab2beae211770d.pdf,cfd86fbc3b45fc19c7158091240a2798c8aed8a3761d336219ab2beae211770d,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
race-7d93ab6b51ec87b8170e,Erik Martin Dilan,b77eda24afdbf3e78da312cb,race-7d93ab6b51ec87b8170e,https://dilan4assembly.com/,https://dilan4assembly.com/,campaign_page,,2026-08-19T23:57:11.164405+00:00,data/raw/candidate_documents/b77eda24afdbf3e78da312cb/d4f647ade152ebd1499b55a749c8010940a25c4a740d7a1e18bc805da9b03fa8.html,d4f647ade152ebd1499b55a749c8010940a25c4a740d7a1e18bc805da9b03fa8,source_requires_recovery_or_scope_review,not_extracted_or_unscoped | shared_document_unscoped | undated_source_without_in_window_capture,campaign_page,opponent,1
race-7d93ab6b51ec87b8170e,Erik Martin Dilan,47c7293a873537162c573848,race-7d93ab6b51ec87b8170e,https://dilan4assembly.com/issues.html,https://dilan4assembly.com/issues.html,policy_page,2026-08-20,2026-08-20T02:07:37.847572+00:00,data/raw/candidate_documents/47c7293a873537162c573848/9c44eb31c7a3470c9a1f0ba8fd8c7e33c0b9c7c925cd6f18be33aec8f50395e6.html,9c44eb31c7a3470c9a1f0ba8fd8c7e33c0b9c7c925cd6f18be33aec8f50395e6,source_requires_recovery_or_scope_review,outside_primary_campaign_window,policy_page,opponent,1
race-7d93ab6b51ec87b8170e,Erik Martin Dilan,215b9bc585bfcbc724fddc1a,race-7d93ab6b51ec87b8170e,https://dilan4assembly.com/news.html,https://dilan4assembly.com/news.html,press_release,2026-08-20,2026-08-20T02:07:37.751962+00:00,data/raw/candidate_documents/215b9bc585bfcbc724fddc1a/23472d59c26b4d526f9101145e56957e57ff5058d48ea6b925bb8f39e6d23451.html,23472d59c26b4d526f9101145e56957e57ff5058d48ea6b925bb8f39e6d23451,source_requires_recovery_or_scope_review,outside_primary_campaign_window,press_release,opponent,1
race-7d93ab6b51ec87b8170e,Samy Nemir Olivares,17f48216d68cecc4a2e08eec,race-7d93ab6b51ec87b8170e,https://indypendent.org/2022/06/samy-nemir-olivaress-millennial-journey,https://indypendent.org/2022/06/samy-nemir-olivaress-millennial-journey/,interview,,2026-08-19T23:41:58.750560+00:00,data/raw/candidate_documents/17f48216d68cecc4a2e08eec/9453c09d38a212f6f006895bd2c4b773eea20bd51d19f0fb1fd7a53d83cbfe95.html,9453c09d38a212f6f006895bd2c4b773eea20bd51d19f0fb1fd7a53d83cbfe95,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-7d93ab6b51ec87b8170e,Samy Nemir Olivares,f932a0e1d2a9e7099320124f-69f2d5a0ff3d,race-7d93ab6b51ec87b8170e,https://jimowles.org/news/candidate-answers-to-joldc-samy-olivares-for-ny-assembly-district-54-2022,https://jimowles.org/news/candidate-answers-to-joldc-samy-olivares-for-ny-assembly-district-54-2022,candidate_questionnaire,2022-01-27,2026-09-23T08:11:17.145856+00:00,data/raw/questionnaire_library/joldc/post-61f30ef8c3c4b76777938437-159f3aaed77823aafa2a616492bd66ac2ccc48d687e122aabaf85bede8ee1057.html,69f2d5a0ff3d4f152425b8121d3aa4272a7f06a4cc0b9b05138b899725c75827,source_requires_recovery_or_scope_review,reviewed_quote_not_full_text_input,questionnaire,endorsed,0
race-7f202ea8e34ed7d7a624,Keron W. Alleyne,c9265c3fb0b5dfcb2986f0cd,race-7f202ea8e34ed7d7a624,https://workingfamilies.org/,https://workingfamilies.org/,campaign_page,,2026-08-21T04:29:47.613390+00:00,data/raw/candidate_documents/c9265c3fb0b5dfcb2986f0cd/3dabf5dbef9537b235ff7bfb0e7956584d0f20ddf1e6a7e3f859cddfdb1ec1d9.html,e86d33156745f5f196a9c56951029eb8bf07850ffd0e595be78a9909a69986a9,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | unattributed_campaign_homepage,campaign_page,endorsed,1
race-7f202ea8e34ed7d7a624,Keron W. Alleyne,fc0f4277bf8284fbf4a4cebc,race-7f202ea8e34ed7d7a624,https://workingfamilies.org/vote-keron-alleyne-for-state-assembly/,https://workingfamilies.org/vote-keron-alleyne-for-state-assembly/,campaign_platform,,2026-08-21T01:41:48.601223+00:00,data/raw/candidate_documents/fc0f4277bf8284fbf4a4cebc/a479815cd7f31139bca949db2137d7797edd1a16ec1f00baed7a0e414778dbed.html,16b81cf4225d484896c3cbfaaf35d0ce9d02d92ab39b781bd1512f8355c95a7d,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture,policy_page,endorsed,1
race-7f202ea8e34ed7d7a624,Nikki Lucas,53e9cf275b149975ae219e4e,race-7f202ea8e34ed7d7a624,https://jimowles.org/news/candidate-answers-to-joldc-nikki-lucas-for-ny-assembly-district-60-2022,https://jimowles.org/news/candidate-answers-to-joldc-nikki-lucas-for-ny-assembly-district-60-2022,candidate_questionnaire,,2026-08-19T23:50:46.628327+00:00,data/raw/candidate_documents/53e9cf275b149975ae219e4e/1ab65d36f0caed502f965f44aeec665d0796c2d5b6e9b6a349b0147e77d48c1a.html,311db0742a7eec07f0b11e2e8df1b907ff5ce9dc187ca660c3210e82959bc620,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
race-92bef0369296358f5e9b,Todd Scott,77950d3ce3ebb336c65bb7d1,race-92bef0369296358f5e9b,https://ballotready.org/,https://www.ballotready.org/,campaign_page,,2026-08-19T23:57:51.379135+00:00,data/raw/candidate_documents/77950d3ce3ebb336c65bb7d1/88c54303ecc42da6bebe87f6c6c9a264fd3b8aafe2def39faf7a0cc0cc8b9060.html,88c54303ecc42da6bebe87f6c6c9a264fd3b8aafe2def39faf7a0cc0cc8b9060,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | unattributed_campaign_homepage,campaign_page,opponent,1
race-92bef0369296358f5e9b,Todd Scott,54a4556dd65a448699bda203,race-92bef0369296358f5e9b,https://www.ballotready.org/people/todd-c-scott,https://www.ballotready.org/people/todd-c-scott,campaign_platform | candidate_profile,,2026-08-19T23:24:10.564546+00:00,data/raw/candidate_documents/54a4556dd65a448699bda203/2c87f2a35dafadf4581f8d9e991cb9c240a979c0808023cf462bd5d447ac3872.html,2c87f2a35dafadf4581f8d9e991cb9c240a979c0808023cf462bd5d447ac3872,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,profile_or_op_ed,opponent,1
